alpha,MSE,MAE,Time
0.00,0.986694,0.993333,0.002746
0.01,0.909346,0.953561,0.001090
0.02,0.859564,0.926992,0.000998
0.03,0.830185,0.910934,0.000972
0.04,0.793177,0.890214,0.000956
0.05,0.765321,0.874207,0.000938
0.06,0.732696,0.854835,0.000914
0.07,0.698605,0.833877,0.000907
0.08,0.677703,0.820752,0.000900
0.09,0.668693,0.814770,0.000894
0.10,0.649764,0.801970,0.000887
0.11,0.645112,0.799011,0.000884
0.12,0.635680,0.792440,0.000878
0.13,0.622789,0.785440,0.000869
0.14,0.618310,0.782061,0.000863
0.15,0.618310,0.782061,0.000881
0.16,0.618310,0.782061,0.000873
0.17,0.616034,0.780741,0.000867
0.18,0.616034,0.780741,0.000866
0.19,0.613018,0.780370,0.000857
0.20,0.613018,0.780370,0.000854
0.21,0.613018,0.780370,0.000854
0.22,0.614467,0.781067,0.000834
0.23,0.614467,0.781067,0.000831
0.24,0.614467,0.781067,0.000835
0.25,0.614467,0.781067,0.000830
0.26,0.614467,0.781067,0.000828
0.27,0.619605,0.784906,0.000825
0.28,0.619605,0.784906,0.000823
0.29,0.627099,0.788927,0.000817
0.30,0.627099,0.788927,0.000816
0.31,0.627099,0.788927,0.000813
0.32,0.627099,0.788927,0.000814
0.33,0.627099,0.788927,0.000814
0.34,0.639695,0.796908,0.000804
0.35,0.639695,0.796908,0.000812
0.36,0.639695,0.796908,0.000795
0.37,0.675526,0.819659,0.000783
0.38,0.675526,0.819659,0.000778
0.39,0.675526,0.819659,0.000777
0.40,0.675526,0.819659,0.000777
0.41,0.675526,0.819659,0.000777
0.42,0.675526,0.819659,0.000776
0.43,0.675526,0.819659,0.000775
0.44,0.675526,0.819659,0.000776
0.45,0.675526,0.819659,0.000775
0.46,0.675526,0.819659,0.000775
0.47,0.675526,0.819659,0.000775
0.48,0.675526,0.819659,0.000775
0.49,0.675526,0.819659,0.000775
0.50,0.675526,0.819659,0.000775
0.51,0.675526,0.819659,0.000775
0.52,0.675526,0.819659,0.000775
0.53,0.714147,0.843815,0.000774
0.54,0.714147,0.843815,0.000773
0.55,0.714147,0.843815,0.000771
0.56,0.714147,0.843815,0.000771
0.57,0.714147,0.843815,0.000770
0.58,0.714147,0.843815,0.000769
0.59,0.714147,0.843815,0.000768
0.60,0.714147,0.843815,0.000768
0.61,0.714147,0.843815,0.000768
0.62,0.714147,0.843815,0.000768
0.63,0.714147,0.843815,0.000768
0.64,0.714147,0.843815,0.000768
0.65,0.714147,0.843815,0.000767
0.66,0.714147,0.843815,0.000768
0.67,0.714147,0.843815,0.000767
0.68,0.714147,0.843815,0.000767
0.69,0.714147,0.843815,0.000766
0.70,0.714147,0.843815,0.000767
0.71,0.714147,0.843815,0.000766
0.72,0.714147,0.843815,0.000767
0.73,0.714147,0.843815,0.000767
0.74,0.714147,0.843815,0.000767
0.75,0.714147,0.843815,0.000767
0.76,0.714147,0.843815,0.000767
0.77,0.714147,0.843815,0.000768
0.78,0.714147,0.843815,0.000767
0.79,0.714147,0.843815,0.000767
0.80,0.714147,0.843815,0.000767
0.81,0.714147,0.843815,0.000767
0.82,0.714147,0.843815,0.000767
0.83,0.789946,0.888016,0.000761
0.84,0.789946,0.888016,0.000759
0.85,0.789946,0.888016,0.000758
0.86,0.789946,0.888016,0.000758
0.87,0.789946,0.888016,0.000758
0.88,0.789946,0.888016,0.000757
0.89,0.789946,0.888016,0.000756
0.90,0.789946,0.888016,0.000756
0.91,0.789946,0.888016,0.000755
0.92,0.789946,0.888016,0.000755
0.93,0.789946,0.888016,0.000756
0.94,0.789946,0.888016,0.000755
0.95,0.789946,0.888016,0.000755
0.96,0.888370,0.942265,0.000749
0.97,0.888370,0.942265,0.000748
0.98,0.888370,0.942265,0.000748
0.99,0.888370,0.942265,0.000747
1.00,0.888370,0.942265,0.000747

FreqItem (alpha = 0.19)
FreqItem,0.613018,0.780370,0.000857

Mode (each dim)
Mode1,0.986694,0.993333,0.002508

Mode (all dim)
Mode2,0.888370,0.942265,0.000595

Medoid (ID=957)
Medoid,0.692941,0.823558,0.135639

ID,MSE,MAE,DataID
1,0.790132,0.886187,33967915
2,0.820365,0.904490,15944491
3,0.819335,0.903479,31659887
4,0.810888,0.897040,32280100
5,0.814018,0.899060,36856954
6,0.801648,0.894068,7986796
7,0.833775,0.911458,13552707
8,0.837570,0.912855,31058723
9,0.816073,0.902324,11230142
10,0.714567,0.837582,22396429
11,0.709784,0.834241,19300666
12,0.759762,0.868979,25424597
13,0.752133,0.864800,14747856
14,0.746721,0.860017,20756264
15,0.766204,0.872803,38497657
16,0.808071,0.896332,37040813
17,0.812938,0.899564,25701164
18,0.806966,0.894588,28999568
19,0.809990,0.898856,5724844
20,0.798833,0.890521,24539120
21,0.768445,0.874603,659015
22,0.756473,0.867989,9819659
23,0.873872,0.933936,5548129
24,0.742559,0.859633,32512029
25,0.870306,0.931414,6334372
26,0.772422,0.876907,16209764
27,0.843739,0.917242,5247292
28,0.857364,0.924764,4399026
29,0.768430,0.873615,40385479
30,0.806073,0.895961,8823899
31,0.770723,0.874324,20737323
32,0.847868,0.919438,33924434
33,0.749464,0.861715,24768391
34,0.795278,0.889212,11968250
35,0.765829,0.869455,25775575
36,0.800454,0.893134,21196385
37,0.716399,0.838771,19955046
38,0.799180,0.890684,39328282
39,0.771244,0.875668,11826149
40,0.754244,0.866831,31185189
41,0.835598,0.912593,21295751
42,0.785921,0.883698,31126815
43,0.804848,0.895384,16180826
44,0.763420,0.870297,36043608
45,0.760856,0.870515,11454120
46,0.817734,0.901673,14249524
47,0.785071,0.884223,32655462
48,0.816113,0.900280,37155284
49,0.810219,0.898871,2820133
50,0.754176,0.864579,38380306
51,0.858369,0.925319,21265444
52,0.729982,0.851961,3479148
53,0.827237,0.906360,7771005
54,0.778005,0.879339,26813574
55,0.788399,0.885115,35991178
56,0.792145,0.887049,14105378
57,0.797580,0.891583,2594379
58,0.744552,0.861017,809511
59,0.792820,0.888992,18504405
60,0.841183,0.915848,2550899
61,0.829578,0.908307,9633410
62,0.730455,0.850006,39241728
63,0.855984,0.922989,36475334
64,0.750579,0.862499,34401802
