alpha,MSE,MAE,Time
0.00,0.988098,0.994022,0.007290
0.01,0.882628,0.939439,0.002345
0.02,0.818978,0.904826,0.002203
0.03,0.770426,0.877389,0.002163
0.04,0.739425,0.859338,0.002134
0.05,0.713006,0.843547,0.002116
0.06,0.700917,0.836191,0.002100
0.07,0.682859,0.825030,0.002091
0.08,0.669158,0.816457,0.002056
0.09,0.656465,0.808639,0.002046
0.10,0.650702,0.804868,0.002057
0.11,0.639455,0.797528,0.002078
0.12,0.631133,0.792023,0.002055
0.13,0.624407,0.787242,0.002050
0.14,0.620619,0.784631,0.002049
0.15,0.608987,0.776353,0.002021
0.16,0.604286,0.772595,0.002012
0.17,0.603370,0.771703,0.002005
0.18,0.599592,0.768492,0.001985
0.19,0.599141,0.768040,0.001982
0.20,0.598922,0.767673,0.001974
0.21,0.598922,0.767673,0.001979
0.22,0.598922,0.767673,0.001973
0.23,0.598922,0.767673,0.001973
0.24,0.600796,0.768662,0.001968
0.25,0.602104,0.769843,0.001960
0.26,0.605307,0.771321,0.001948
0.27,0.609593,0.774983,0.001932
0.28,0.634666,0.794512,0.001881
0.29,0.634666,0.794512,0.001879
0.30,0.634666,0.794512,0.001886
0.31,0.634666,0.794512,0.001880
0.32,0.639306,0.797439,0.001872
0.33,0.639306,0.797439,0.001875
0.34,0.639306,0.797439,0.001872
0.35,0.644928,0.801063,0.001865
0.36,0.644928,0.801063,0.001866
0.37,0.651509,0.805066,0.001857
0.38,0.651509,0.805066,0.001855
0.39,0.651509,0.805066,0.001854
0.40,0.651509,0.805066,0.001854
0.41,0.685588,0.825368,0.001816
0.42,0.685588,0.825368,0.001812
0.43,0.685588,0.825368,0.001810
0.44,0.696667,0.832305,0.001799
0.45,0.696667,0.832305,0.001800
0.46,0.696667,0.832305,0.001802
0.47,0.696667,0.832305,0.001798
0.48,0.722895,0.848246,0.001773
0.49,0.737591,0.857396,0.001761
0.50,0.737591,0.857396,0.001758
0.51,0.769024,0.875882,0.001740
0.52,0.786027,0.885521,0.001729
0.53,0.823558,0.906980,0.001706
0.54,0.843800,0.918170,0.001686
0.55,0.843800,0.918170,0.001686
0.56,0.843800,0.918170,0.001685
0.57,0.843800,0.918170,0.001684
0.58,0.843800,0.918170,0.001685
0.59,0.843800,0.918170,0.001685
0.60,0.843800,0.918170,0.001685
0.61,0.843800,0.918170,0.001686
0.62,0.843800,0.918170,0.001684
0.63,0.843800,0.918170,0.001685
0.64,0.843800,0.918170,0.001693
0.65,0.843800,0.918170,0.001686
0.66,0.843800,0.918170,0.001685
0.67,0.843800,0.918170,0.001686
0.68,0.843800,0.918170,0.001685
0.69,0.843800,0.918170,0.001686
0.70,0.843800,0.918170,0.001685
0.71,0.843800,0.918170,0.001685
0.72,0.843800,0.918170,0.001685
0.73,0.843800,0.918170,0.001685
0.74,0.843800,0.918170,0.001685
0.75,0.843800,0.918170,0.001685
0.76,0.843800,0.918170,0.001690
0.77,0.843800,0.918170,0.001686
0.78,0.843800,0.918170,0.001685
0.79,0.843800,0.918170,0.001685
0.80,0.843800,0.918170,0.001684
0.81,0.877367,0.936512,0.001665
0.82,0.877367,0.936512,0.001663
0.83,0.912847,0.955357,0.001652
0.84,0.912847,0.955357,0.001651
0.85,0.912847,0.955357,0.001651
0.86,0.912847,0.955357,0.001651
0.87,0.912847,0.955357,0.001651
0.88,0.912847,0.955357,0.001650
0.89,0.912847,0.955357,0.001651
0.90,0.912847,0.955357,0.001651
0.91,0.912847,0.955357,0.001650
0.92,0.912847,0.955357,0.001651
0.93,0.912847,0.955357,0.001653
0.94,0.954195,0.976800,0.001634
0.95,0.954195,0.976800,0.001634
0.96,0.954195,0.976800,0.001633
0.97,0.954195,0.976800,0.001633
0.98,0.954195,0.976800,0.001632
0.99,0.954195,0.976800,0.001633
1.00,0.954195,0.976800,0.001632

FreqItem (alpha = 0.20)
FreqItem,0.598922,0.767673,0.001974

Mode (each dim)
Mode1,0.988098,0.994022,0.007404

Mode (all dim)
Mode2,0.954195,0.976800,0.001533

Medoid (ID=758)
Medoid,0.695172,0.824408,0.385690

ID,MSE,MAE,DataID
1,0.813684,0.900905,4561514
2,0.788344,0.886062,2487501
3,0.799504,0.892597,699601
4,0.861593,0.927386,7420974
5,0.765495,0.868562,2169350
6,0.811122,0.899421,2979122
7,0.766105,0.868044,2373212
8,0.774514,0.876016,2193027
9,0.872087,0.932960,9795374
10,0.811608,0.899368,5018462
11,0.798386,0.891468,5048453
12,0.775045,0.876608,1181175
13,0.857015,0.924856,2522207
14,0.845777,0.918250,961574
15,0.746704,0.856485,8784170
16,0.792152,0.886277,6873772
17,0.838392,0.914694,7403961
18,0.799293,0.892319,3937497
19,0.774399,0.877958,3406643
20,0.803932,0.893408,6806674
21,0.799931,0.892733,2178583
22,0.748041,0.858476,9891748
23,0.753460,0.865953,162189
24,0.891271,0.942971,8918172
25,0.795487,0.890521,4053005
26,0.729793,0.846205,5824597
27,0.825823,0.907281,8536714
28,0.822367,0.905450,7879287
29,0.787645,0.885699,3911781
30,0.795763,0.890652,7086443
31,0.794188,0.887527,7247845
32,0.744552,0.855622,8473295
33,0.890294,0.942817,9573944
34,0.716180,0.837234,7947446
35,0.789217,0.886789,5894270
36,0.745180,0.856098,1743295
37,0.799994,0.892486,926569
38,0.878088,0.935846,8267483
39,0.796257,0.888797,3936322
40,0.759560,0.869537,721943
41,0.747731,0.857294,3285945
42,0.851978,0.919705,8984776
43,0.822395,0.905035,1903118
44,0.821366,0.904558,5808152
45,0.767632,0.869319,9946350
46,0.781903,0.877813,687289
47,0.808402,0.897454,2681924
48,0.734783,0.850844,7350311
49,0.769800,0.871471,4624786
50,0.782146,0.880842,6088568
51,0.823194,0.906157,4156986
52,0.783031,0.878575,6803370
53,0.768385,0.875113,5980317
54,0.846972,0.919047,4319175
55,0.734438,0.850521,5721542
56,0.783986,0.883137,33322
57,0.839885,0.914980,143772
58,0.723548,0.841240,4258257
59,0.747047,0.856712,7912609
60,0.877758,0.935646,4055553
61,0.855419,0.924047,1344700
62,0.826636,0.907811,5160454
63,0.827579,0.908829,2528849
64,0.847354,0.919596,918644
65,0.852846,0.922643,3107901
66,0.728488,0.846828,8423119
67,0.822069,0.905254,2661939
68,0.751538,0.864615,4034470
69,0.845300,0.917348,6690603
70,0.795918,0.890330,6598262
71,0.855771,0.923886,4756414
72,0.828446,0.908670,9976548
73,0.753275,0.861546,5583038
74,0.779375,0.879396,6659533
75,0.731631,0.847272,5784700
76,0.759368,0.863726,5529389
77,0.760523,0.864864,7346822
78,0.825929,0.906771,8466625
79,0.717929,0.839143,2879701
80,0.888021,0.941261,1971609
81,0.791937,0.885679,4555193
82,0.762639,0.866510,7036687
83,0.763956,0.870256,8774979
84,0.747961,0.860049,535510
85,0.740118,0.858531,1355862
86,0.860048,0.926020,4496521
87,0.796328,0.890395,568833
88,0.798833,0.890523,1499635
89,0.823653,0.906054,8754779
90,0.717480,0.839036,8481442
91,0.850375,0.921188,5555189
92,0.777245,0.879820,99479
93,0.878859,0.936399,3641897
94,0.853908,0.921293,8084039
95,0.787977,0.885547,1018124
96,0.778648,0.881080,6749799
97,0.849398,0.920502,6507159
98,0.780935,0.882308,3680064
99,0.806995,0.896756,784269
100,0.796091,0.890553,3197762
101,0.819571,0.903959,278327
102,0.716109,0.837393,5540684
103,0.799366,0.892143,3174310
104,0.751683,0.865038,5861366
105,0.733440,0.849613,2200217
106,0.777189,0.879813,8959011
107,0.772707,0.877187,1390755
108,0.714748,0.836556,9547039
109,0.773822,0.873183,7425636
110,0.831697,0.909100,4270457
111,0.727317,0.845003,1518648
112,0.795804,0.890223,1980830
113,0.826096,0.907899,1307145
114,0.778294,0.878775,293627
115,0.741821,0.853510,2516341
116,0.830170,0.910001,2663008
117,0.713112,0.835734,4790149
118,0.718623,0.839423,3085174
119,0.760352,0.866233,4162643
120,0.872361,0.932613,3544928
121,0.827923,0.908787,1566617
122,0.777550,0.880232,9717833
123,0.816728,0.902459,3644408
124,0.759875,0.867785,5208515
125,0.785153,0.883785,7801872
126,0.714347,0.837709,4662533
127,0.774642,0.878282,1958314
128,0.806206,0.896107,4309031
129,0.828197,0.908845,8342597
130,0.843315,0.917350,2742584
131,0.776295,0.879533,7506793
132,0.849619,0.920910,8620924
133,0.807987,0.895635,8283268
134,0.768604,0.874712,681104
135,0.755361,0.862389,4482291
136,0.810282,0.898394,483486
137,0.863218,0.928208,9640115
138,0.816826,0.902380,5873047
139,0.797553,0.891506,30525
140,0.840864,0.915045,7065752
141,0.734138,0.850231,143504
