alpha,MSE,MAE,Time
0.00,0.996463,0.998230,0.035025
0.01,0.830854,0.911176,0.029859
0.02,0.720130,0.847369,0.029812
0.03,0.711021,0.841919,0.029819
0.04,0.691696,0.830028,0.029807
0.05,0.691696,0.830028,0.029803
0.06,0.682217,0.824294,0.029801
0.07,0.673326,0.818995,0.029801
0.08,0.673326,0.818995,0.029799
0.09,0.673326,0.818995,0.029797
0.10,0.665543,0.813910,0.029797
0.11,0.665543,0.813910,0.029795
0.12,0.659123,0.809799,0.029799
0.13,0.639352,0.798344,0.029788
0.14,0.639352,0.798344,0.029785
0.15,0.639352,0.798344,0.029785
0.16,0.639352,0.798344,0.029785
0.17,0.639352,0.798344,0.029784
0.18,0.639352,0.798344,0.029784
0.19,0.639352,0.798344,0.029784
0.20,0.639352,0.798344,0.029787
0.21,0.639352,0.798344,0.029784
0.22,0.639352,0.798344,0.029784
0.23,0.639352,0.798344,0.029783
0.24,0.639352,0.798344,0.029783
0.25,0.639352,0.798344,0.029784
0.26,0.639352,0.798344,0.029783
0.27,0.639352,0.798344,0.029784
0.28,0.639352,0.798344,0.029783
0.29,0.639352,0.798344,0.029783
0.30,0.650727,0.805845,0.029771
0.31,0.650727,0.805845,0.029770
0.32,0.650727,0.805845,0.029769
0.33,0.665914,0.813709,0.029771
0.34,0.685823,0.825452,0.029769
0.35,0.685823,0.825452,0.029767
0.36,0.685823,0.825452,0.029766
0.37,0.712002,0.840988,0.029768
0.38,0.712002,0.840988,0.029766
0.39,0.712002,0.840988,0.029765
0.40,0.712002,0.840988,0.029764
0.41,0.712002,0.840988,0.029762
0.42,0.712002,0.840988,0.029762
0.43,0.712002,0.840988,0.029761
0.44,0.712002,0.840988,0.029761
0.45,0.712002,0.840988,0.029760
0.46,0.712002,0.840988,0.029760
0.47,0.712002,0.840988,0.029761
0.48,0.712002,0.840988,0.029759
0.49,0.712002,0.840988,0.029760
0.50,0.712002,0.840988,0.029759
0.51,0.712002,0.840988,0.029759
0.52,0.764374,0.872478,0.029764
0.53,0.764374,0.872478,0.029764
0.54,0.764374,0.872478,0.029761
0.55,0.764374,0.872478,0.029761
0.56,0.764374,0.872478,0.029759
0.57,0.764374,0.872478,0.029758
0.58,0.764374,0.872478,0.029758
0.59,0.764374,0.872478,0.029757
0.60,0.764374,0.872478,0.029757
0.61,0.764374,0.872478,0.029756
0.62,0.764374,0.872478,0.029756
0.63,0.764374,0.872478,0.029756
0.64,0.764374,0.872478,0.029755
0.65,0.764374,0.872478,0.029755
0.66,0.764374,0.872478,0.029755
0.67,0.764374,0.872478,0.029755
0.68,0.764374,0.872478,0.029755
0.69,0.851428,0.922191,0.029752
0.70,0.851428,0.922191,0.029752
0.71,0.851428,0.922191,0.029751
0.72,0.851428,0.922191,0.029751
0.73,0.851428,0.922191,0.029750
0.74,0.851428,0.922191,0.029751
0.75,0.851428,0.922191,0.029750
0.76,0.851428,0.922191,0.029750
0.77,0.851428,0.922191,0.029751
0.78,0.851428,0.922191,0.029750
0.79,0.851428,0.922191,0.029750
0.80,0.851428,0.922191,0.029750
0.81,0.851428,0.922191,0.029750
0.82,0.851428,0.922191,0.029750
0.83,0.851428,0.922191,0.029751
0.84,0.851428,0.922191,0.029750
0.85,0.851428,0.922191,0.029750
0.86,0.851428,0.922191,0.029750
0.87,0.851428,0.922191,0.029750
0.88,0.851428,0.922191,0.029750
0.89,0.851428,0.922191,0.029751
0.90,0.851428,0.922191,0.029750
0.91,0.851428,0.922191,0.029750
0.92,0.851428,0.922191,0.029750
0.93,0.851428,0.922191,0.029751
0.94,0.851428,0.922191,0.029750
0.95,0.851428,0.922191,0.029750
0.96,0.851428,0.922191,0.029750
0.97,0.851428,0.922191,0.029750
0.98,0.851428,0.922191,0.029750
0.99,0.851428,0.922191,0.029750
1.00,0.851428,0.922191,0.029751

FreqItem (alpha = 0.13)
FreqItem,0.639352,0.798344,0.029788

Mode (each dim)
Mode1,0.996463,0.998230,0.005223

Mode (all dim)
Mode2,0.851428,0.922191,0.000487

Medoid (ID=508)
Medoid,0.780162,0.881279,0.081825

ID,MSE,MAE,DataID
1,0.889289,0.941179,68420933
2,0.885123,0.939010,95824060
3,0.893362,0.943977,107304941
4,0.819739,0.904100,68844081
5,0.843950,0.916342,80975643
6,0.834570,0.911855,874369
7,0.846267,0.918225,40205667
8,0.882428,0.938035,28675387
9,0.878377,0.935976,103755308
10,0.817551,0.902647,66454327
11,0.833596,0.911324,35368665
12,0.885027,0.938978,97727306
13,0.900393,0.947836,32794141
14,0.818950,0.902562,52272539
15,0.834570,0.911855,76967126
16,0.898788,0.945954,63807843
17,0.829590,0.908901,51404030
18,0.813156,0.899012,7551726
19,0.953473,0.975250,14113942
20,0.836290,0.913437,121111128
21,0.833531,0.911177,131534655
22,0.914227,0.954719,147640476
23,0.921173,0.958378,78000997
24,0.816383,0.901880,42539394
25,0.820333,0.904431,26955440
26,0.813264,0.899093,53757350
27,0.896754,0.945720,65690135
28,0.834570,0.911855,127759548
29,0.811595,0.899494,102218221
30,0.819709,0.904034,117644279
31,0.856939,0.922520,57805384
32,0.846484,0.918375,21000050
33,0.818385,0.903264,63829236
34,0.798654,0.891632,15471221
35,0.796057,0.889873,89844132
36,0.893529,0.943032,144804879
37,0.816401,0.900219,16345591
38,0.836178,0.913362,130049799
39,0.820236,0.904378,23841163
40,0.820333,0.904431,120100899
41,0.834570,0.911855,46865022
42,0.845268,0.917653,59209829
43,0.832801,0.910677,68189101
44,0.811595,0.899494,79659163
45,0.869429,0.929913,111482369
46,0.832871,0.910620,145156228
47,0.798867,0.891776,143467007
48,0.844957,0.917469,13247295
49,0.820333,0.904431,3068851
50,0.835588,0.913036,7941845
51,0.834365,0.911733,134358424
52,0.819914,0.904156,134603507
53,0.813264,0.899093,5943218
54,0.844442,0.917141,62720317
55,0.836282,0.913426,27503797
56,0.860717,0.926391,32898659
57,0.820333,0.904431,116477668
58,0.809961,0.898081,93193933
59,0.820333,0.904431,11019103
60,0.819520,0.903954,69056786
61,0.833947,0.911436,61199109
62,0.815223,0.901150,68824487
63,0.809445,0.897754,90056837
64,0.858239,0.923693,125028345
65,0.836392,0.911918,84295709
66,0.806237,0.896161,30261865
67,0.834570,0.911855,120194121
68,0.857980,0.924474,100641300
69,0.846381,0.918308,10672561
70,0.833014,0.910684,144035285
71,0.816668,0.900582,71103096
72,0.909104,0.951928,57537583
73,0.836383,0.913484,53606010
74,0.834570,0.911855,139292198
75,0.846387,0.918323,137196747
76,0.861100,0.926585,15449275
77,0.813264,0.899093,134809322
78,0.834473,0.911802,131024651
79,0.858518,0.924670,28696571
80,0.836383,0.913484,137878174
81,0.832635,0.910703,138966497
82,0.820333,0.904431,13415892
83,0.846887,0.918607,122842577
84,0.831729,0.909846,144909715
85,0.904564,0.949403,76136209
86,0.834570,0.911855,707271
87,0.834570,0.911855,28169271
88,0.846887,0.918607,42974773
89,0.903936,0.949165,93901204
90,0.846887,0.918607,39188374
91,0.819909,0.903475,112031559
92,0.880582,0.936760,5461210
93,0.822145,0.904803,108012862
94,0.818924,0.903604,52449292
95,0.846585,0.918433,130489555
96,0.834182,0.911645,42669467
97,0.799968,0.891692,82711158
98,0.808569,0.896895,101044572
99,0.881903,0.937621,143310768
100,0.809961,0.898081,93383719
101,0.856365,0.923526,95440754
102,0.813264,0.899093,64774760
103,0.834359,0.911719,1282199
104,0.819706,0.904036,149046764
105,0.846686,0.918491,54427854
106,0.862193,0.927192,138478947
107,0.893335,0.942927,14856936
108,0.882428,0.938035,39598073
109,0.819937,0.904210,119864495
110,0.833956,0.911486,43553508
111,0.845888,0.918035,27837143
112,0.871672,0.932244,109191888
113,0.846182,0.918200,56969400
114,0.831854,0.910038,1040617
115,0.857980,0.924474,104462500
116,0.834570,0.911855,133105609
117,0.862515,0.927415,1747888
118,0.834570,0.911855,132631771
119,0.895799,0.945320,26441279
120,0.811195,0.899268,95649093
121,0.844966,0.917491,22181042
122,0.881935,0.937762,138472839
123,0.795583,0.890482,101110303
124,0.834570,0.911855,130193904
125,0.834570,0.911855,41283028
126,0.838024,0.913743,81960755
127,0.909287,0.951946,23224268
128,0.881903,0.937621,123994186
129,0.819726,0.904074,33366224
130,0.846887,0.918607,16895932
131,0.836383,0.913484,67738802
132,0.820333,0.904431,128806978
133,0.838330,0.913923,81670692
134,0.896103,0.944785,69021002
135,0.820333,0.904431,128214638
136,0.825892,0.906445,136098547
137,0.834570,0.911855,57860846
138,0.882428,0.938035,143071575
139,0.882025,0.937802,26057516
140,0.804557,0.895083,28086237
141,0.916762,0.955936,36985979
142,0.801709,0.892666,53894660
143,0.894081,0.943805,137278126
144,0.809961,0.898081,93955379
145,0.845683,0.917913,54935278
146,0.790276,0.886833,92101522
147,0.813264,0.899093,77421885
148,0.882428,0.938035,56683166
149,0.846887,0.918607,75094189
150,0.857980,0.924474,103863164
151,0.834570,0.911855,2693156
152,0.871672,0.932244,97275231
