alpha,MSE,MAE,Time
0.00,0.977912,0.988894,0.012125
0.01,0.696189,0.834015,0.004334
0.02,0.528789,0.726158,0.004068
0.03,0.423802,0.649040,0.003961
0.04,0.342173,0.581811,0.003896
0.05,0.284796,0.529219,0.003858
0.06,0.261234,0.505928,0.003823
0.07,0.230433,0.473249,0.003791
0.08,0.223813,0.465898,0.003796
0.09,0.212929,0.453615,0.003761
0.10,0.206528,0.446245,0.003750
0.11,0.198311,0.436091,0.003741
0.12,0.196190,0.433689,0.003734
0.13,0.190474,0.426162,0.003729
0.14,0.185140,0.418799,0.003717
0.15,0.185140,0.418799,0.003709
0.16,0.185140,0.418799,0.003708
0.17,0.183105,0.416875,0.003710
0.18,0.177682,0.410861,0.003686
0.19,0.170742,0.403058,0.003685
0.20,0.167297,0.399195,0.003677
0.21,0.167297,0.399195,0.003676
0.22,0.163871,0.395560,0.003675
0.23,0.162545,0.393882,0.003665
0.24,0.161053,0.392244,0.003663
0.25,0.158337,0.389159,0.003661
0.26,0.144442,0.367208,0.003647
0.27,0.143254,0.365700,0.003636
0.28,0.142283,0.364099,0.003635
0.29,0.142283,0.364099,0.003633
0.30,0.142283,0.364099,0.003631
0.31,0.140553,0.361604,0.003627
0.32,0.140553,0.361604,0.003621
0.33,0.139938,0.360761,0.003620
0.34,0.139521,0.359838,0.003619
0.35,0.139127,0.359008,0.003620
0.36,0.138289,0.357994,0.003618
0.37,0.138289,0.357994,0.003614
0.38,0.138289,0.357994,0.003615
0.39,0.138289,0.357994,0.003635
0.40,0.138289,0.357994,0.003622
0.41,0.138417,0.358013,0.003627
0.42,0.138417,0.358013,0.003625
0.43,0.138417,0.358013,0.003624
0.44,0.138417,0.358013,0.003623
0.45,0.138417,0.358013,0.003621
0.46,0.138417,0.358013,0.003624
0.47,0.140088,0.358997,0.003627
0.48,0.140088,0.358997,0.003623
0.49,0.140088,0.358997,0.003622
0.50,0.140088,0.358997,0.003623
0.51,0.140088,0.358997,0.003632
0.52,0.140088,0.358997,0.003614
0.53,0.140088,0.358997,0.003615
0.54,0.140088,0.358997,0.003614
0.55,0.141534,0.360996,0.003618
0.56,0.141534,0.360996,0.003615
0.57,0.141534,0.360996,0.003616
0.58,0.143240,0.363395,0.003617
0.59,0.143240,0.363395,0.003616
0.60,0.148798,0.372586,0.003588
0.61,0.150651,0.375735,0.003586
0.62,0.150651,0.375735,0.003580
0.63,0.150651,0.375735,0.003581
0.64,0.150651,0.375735,0.003582
0.65,0.150651,0.375735,0.003582
0.66,0.150651,0.375735,0.003581
0.67,0.150651,0.375735,0.003580
0.68,0.150651,0.375735,0.003579
0.69,0.153348,0.380121,0.003582
0.70,0.156126,0.384614,0.003585
0.71,0.156126,0.384614,0.003581
0.72,0.165951,0.398724,0.003582
0.73,0.165951,0.398724,0.003574
0.74,0.177105,0.413554,0.003572
0.75,0.177105,0.413554,0.003566
0.76,0.185449,0.424231,0.003573
0.77,0.185449,0.424231,0.003568
0.78,0.199254,0.440706,0.003570
0.79,0.204235,0.446349,0.003565
0.80,0.214500,0.457804,0.003570
0.81,0.214500,0.457804,0.003563
0.82,0.214500,0.457804,0.003561
0.83,0.214500,0.457804,0.003562
0.84,0.220277,0.464066,0.003562
0.85,0.220277,0.464066,0.003557
0.86,0.220277,0.464066,0.003572
0.87,0.220277,0.464066,0.003561
0.88,0.220277,0.464066,0.003563
0.89,0.226851,0.471072,0.003568
0.90,0.226851,0.471072,0.003564
0.91,0.226851,0.471072,0.003564
0.92,0.233859,0.478712,0.003562
0.93,0.241138,0.486417,0.003560
0.94,0.241138,0.486417,0.003559
0.95,0.288868,0.534163,0.003570
0.96,0.315369,0.558671,0.003569
0.97,0.343403,0.583571,0.003567
0.98,0.373126,0.608807,0.003557
0.99,0.649840,0.805475,0.003511
1.00,0.896425,0.946749,0.003453

FreqItem (alpha = 0.36)
FreqItem,0.138289,0.357994,0.003618

Mode (each dim)
Mode1,0.977912,0.988894,0.012074

Mode (all dim)
Mode2,0.896425,0.946749,0.003412

Medoid (ID=310)
Medoid,0.190047,0.424342,0.404350

ID,MSE,MAE,DataID
1,0.232304,0.475187,1095604
2,0.312197,0.556457,1534403
3,0.206111,0.445495,1718243
4,0.282688,0.528210,1102380
5,0.303427,0.547416,1296639
6,0.265743,0.509918,14001
7,0.249199,0.494355,643801
8,0.224728,0.466741,459170
9,0.213093,0.452657,1661403
10,0.316574,0.559255,1064114
11,0.208346,0.445834,566348
12,0.263097,0.505854,1564879
13,0.246538,0.491767,525123
14,0.225476,0.467915,837025
15,0.275926,0.520194,1232452
16,0.229189,0.472541,1021736
17,0.225929,0.468636,823117
18,0.350917,0.590117,120923
19,0.302941,0.546087,226002
20,0.234844,0.477860,1939317
21,0.290150,0.533883,2106226
22,0.198591,0.436359,2364124
23,0.258342,0.500706,1249007
24,0.202666,0.440066,681171
25,0.228684,0.471268,431629
26,0.203862,0.441929,860801
27,0.206111,0.445495,1051877
28,0.219667,0.460765,2045776
29,0.260615,0.502945,1636791
30,0.193050,0.428332,1883804
31,0.228105,0.471407,925621
32,0.296521,0.540926,336267
33,0.297362,0.541056,1022079
34,0.267988,0.513821,247736
35,0.373096,0.607954,1438648
36,0.237113,0.480302,2318718
37,0.202520,0.439471,261737
38,0.360040,0.597093,2082450
39,0.349464,0.587307,381761
40,0.292212,0.536060,1923141
41,0.208864,0.447727,750436
42,0.209173,0.448497,948109
43,0.236782,0.478894,1091892
44,0.282472,0.525940,1275559
45,0.265249,0.506652,1785135
46,0.241394,0.482797,2324345
47,0.244593,0.485938,2297295
48,0.309496,0.551709,212125
49,0.209686,0.449094,49140
50,0.217600,0.458355,127170
51,0.267051,0.511548,2151442
52,0.224164,0.465114,2155367
53,0.265828,0.511225,95167
54,0.282449,0.526509,1004322
55,0.206421,0.445176,440410
56,0.250167,0.492744,526796
57,0.342635,0.580160,1865123
58,0.285376,0.529986,1492287
59,0.280237,0.523587,176445
60,0.245767,0.487280,1105786
61,0.244808,0.486509,979963
62,0.333753,0.574903,1102066
63,0.200221,0.435971,1442054
64,0.270435,0.515360,2002042
65,0.303431,0.546227,1349802
66,0.547675,0.738633,484574
67,0.220110,0.461497,1924633
68,0.229158,0.473219,1611540
69,0.360479,0.592902,170896
