K-Means||
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
10,0.496672,0.694036,33.79,33.36,10,10,3,0.40,0.40,2,9.44,9.09,8.01,7.99,89.55,88.95
999,0.200189,0.430765,526.91,489.03,1000,10,10,0.40,0.40,2,233.89,215.42,29.30,27.36,526.91,489.03
1989,0.174343,0.400428,1017.06,945.20,2000,10,10,0.40,0.40,2,507.51,471.27,50.96,47.39,1017.07,945.20
2992,0.160493,0.383640,1594.12,1487.09,3000,10,10,0.40,0.40,2,802.19,746.75,79.19,74.03,1594.12,1487.09
3985,0.151275,0.372063,2089.69,1942.23,4000,10,10,0.40,0.40,2,1079.87,1005.75,100.98,93.65,2089.69,1942.23
4984,0.144567,0.363152,2692.87,2504.49,5000,10,10,0.40,0.40,2,1370.58,1274.73,132.23,122.98,2692.87,2504.49
5970,0.139988,0.357136,3290.17,3056.95,6000,10,10,0.40,0.40,2,1663.73,1544.14,162.64,151.28,3290.17,3056.95
6973,0.135389,0.350704,3928.82,3641.92,7000,10,10,0.40,0.40,2,1990.08,1847.41,193.87,179.45,3928.83,3641.92
7960,0.132020,0.346314,4578.56,4231.58,8000,10,10,0.40,0.40,2,2330.39,2145.20,224.82,208.64,4578.56,4231.58
8965,0.128984,0.341996,4927.83,4560.40,9000,10,9,0.40,0.40,2,2624.20,2419.51,255.57,237.49,5179.88,4794.44
9963,0.126108,0.338111,5828.96,5404.17,10000,10,10,0.40,0.40,2,2943.17,2728.51,288.58,267.57,5828.96,5404.17

SILK
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.205560,0.433580,349.91,327.56,1000,10,8,0.40,0.40,3,115.82,110.94,29.27,27.18,408.56,382.77
2000,0.178460,0.404937,693.85,646.51,2000,10,9,0.40,0.40,3,241.41,233.06,50.29,46.04,744.29,693.42
3000,0.163335,0.386116,1282.28,1195.85,3000,10,10,0.40,0.40,3,484.40,466.87,79.79,72.90,1282.28,1195.85
3999,0.154788,0.375091,1397.47,1311.48,4000,10,8,0.40,0.40,3,589.66,569.87,100.94,92.62,1599.11,1496.07
4999,0.148356,0.366540,1871.83,1755.05,5000,10,9,0.40,0.40,3,674.06,649.78,133.07,122.80,2004.73,1877.81
5999,0.142901,0.358833,2137.98,2006.98,6000,10,8,0.40,0.40,3,825.34,796.48,164.07,151.32,2466.02,2309.64
7000,0.138373,0.352781,3010.06,2833.45,7000,10,10,0.40,0.40,3,1036.75,1002.93,197.33,183.05,3010.06,2833.45
7999,0.134749,0.347786,3192.53,3012.79,8000,10,9,0.40,0.40,3,1144.14,1105.34,227.62,212.00,3420.37,3225.33
9000,0.131561,0.344095,3544.41,3346.71,9000,10,8,0.40,0.40,3,1448.69,1401.90,261.94,242.98,4068.06,3831.75
9997,0.129063,0.340175,4190.09,3940.85,10000,10,9,0.40,0.40,3,1542.97,1492.60,294.11,272.28,4484.03,4215.40
