K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.266809,0.502765,168.56,168.64,1000,10,10,0.10,0.10,0,0.01,0.02,16.86,16.86,168.56,168.64
1000,0.222697,0.454426,155.08,151.25,1000,10,10,0.10,0.20,0,0.01,0.01,15.51,15.12,155.08,151.25
1000,0.210552,0.440068,150.90,146.63,1000,10,10,0.10,0.30,0,0.01,0.01,15.09,14.66,150.90,146.63
999,0.207818,0.437214,153.32,147.92,1000,10,10,0.10,0.40,0,0.01,0.01,15.33,14.79,153.32,147.92
984,0.209536,0.439738,147.50,145.41,1000,10,10,0.10,0.50,0,0.01,0.01,14.75,14.54,147.51,145.41
957,0.214247,0.445717,126.95,123.13,1000,10,9,0.10,0.60,0,0.01,0.01,14.07,13.65,140.73,136.49
869,0.224411,0.458448,138.29,134.34,1000,10,10,0.10,0.70,0,0.01,0.01,13.83,13.43,138.29,134.34
745,0.248030,0.484337,100.43,97.46,1000,10,8,0.10,0.80,0,0.01,0.02,12.31,12.00,123.15,120.06
523,0.298678,0.534880,98.41,97.39,1000,10,10,0.10,0.90,0,0.01,0.02,9.84,9.74,98.41,97.39
1000,0.218866,0.450267,152.69,148.61,1000,10,10,0.20,0.10,0,0.01,0.01,15.27,14.86,152.69,148.61
1000,0.214783,0.445410,152.45,146.12,1000,10,10,0.20,0.20,0,0.01,0.01,15.24,14.61,152.45,146.12
1000,0.206725,0.435900,151.90,146.54,1000,10,10,0.20,0.30,0,0.01,0.01,15.19,14.65,151.90,146.54
999,0.205852,0.435074,151.78,144.39,1000,10,10,0.20,0.40,0,0.01,0.02,15.18,14.44,151.79,144.39
978,0.208549,0.438625,142.25,138.37,1000,10,10,0.20,0.50,0,0.01,0.02,14.22,13.83,142.25,138.37
932,0.215214,0.447021,127.38,123.19,1000,10,9,0.20,0.60,0,0.01,0.00,14.11,13.64,141.08,136.41
830,0.227821,0.462387,130.00,125.26,1000,10,10,0.20,0.70,0,0.01,0.01,13.00,12.53,130.00,125.26
708,0.254461,0.491005,84.82,83.49,1000,10,7,0.20,0.80,0,0.01,0.01,11.72,11.65,117.21,116.52
487,0.306468,0.541613,70.54,71.21,1000,10,7,0.20,0.90,0,0.01,0.01,9.48,9.73,94.79,97.28
1000,0.208384,0.437658,149.73,141.77,1000,10,10,0.30,0.10,0,0.01,0.02,14.97,14.18,149.74,141.77
1000,0.208259,0.437587,136.86,134.03,1000,10,9,0.30,0.20,0,0.01,0.01,15.18,14.89,151.80,148.87
1000,0.206372,0.435633,152.73,151.04,1000,10,10,0.30,0.30,0,0.01,0.01,15.27,15.10,152.73,151.04
996,0.206762,0.435962,150.45,144.08,1000,10,10,0.30,0.40,0,0.01,0.02,15.04,14.41,150.45,144.08
971,0.209749,0.440090,140.08,135.60,1000,10,10,0.30,0.50,0,0.01,0.02,14.01,13.56,140.08,135.60
916,0.216815,0.448973,129.73,126.27,1000,10,9,0.30,0.60,0,0.01,0.02,14.37,14.01,143.69,140.15
809,0.231342,0.466193,123.96,119.37,1000,10,10,0.30,0.70,0,0.01,0.01,12.40,11.94,123.96,119.37
674,0.259911,0.496335,113.50,112.38,1000,10,10,0.30,0.80,0,0.01,0.01,11.35,11.24,113.50,112.38
458,0.312401,0.546892,60.66,60.58,1000,10,6,0.30,0.90,0,0.01,0.01,8.85,9.09,88.54,90.87
996,0.207496,0.437088,135.50,128.72,1000,10,9,0.40,0.10,0,0.01,0.01,15.03,14.28,150.29,142.76
996,0.207514,0.437071,150.49,142.67,1000,10,10,0.40,0.20,0,0.01,0.01,15.05,14.27,150.49,142.67
996,0.207355,0.437029,122.12,117.28,1000,10,8,0.40,0.30,0,0.01,0.01,15.22,14.62,152.17,146.16
994,0.207188,0.436861,116.68,111.11,1000,10,8,0.40,0.40,0,0.01,0.00,14.48,13.82,144.86,138.16
967,0.211766,0.442295,113.50,109.16,1000,10,8,0.40,0.50,0,0.01,0.01,14.07,13.59,140.72,135.89
899,0.219649,0.452110,126.93,123.63,1000,10,9,0.40,0.60,0,0.01,0.02,14.04,13.71,140.43,137.13
792,0.235406,0.470452,111.80,108.88,1000,10,9,0.40,0.70,0,0.01,0.01,12.33,12.03,123.29,120.33
661,0.265695,0.502211,113.68,112.28,1000,10,10,0.40,0.80,0,0.01,0.01,11.37,11.23,113.68,112.28
434,0.318388,0.552222,84.79,86.45,1000,10,10,0.40,0.90,0,0.01,0.01,8.48,8.64,84.79,86.45
978,0.211130,0.441581,127.03,123.06,1000,10,9,0.50,0.10,0,0.01,0.01,14.08,13.64,140.83,136.43
978,0.211003,0.441503,127.87,123.26,1000,10,9,0.50,0.20,0,0.01,0.01,14.16,13.70,141.62,136.98
975,0.210960,0.441572,128.75,124.28,1000,10,9,0.50,0.30,0,0.01,0.01,14.28,13.78,142.76,137.80
971,0.210993,0.441675,126.90,124.19,1000,10,9,0.50,0.40,0,0.01,0.01,14.06,13.79,140.66,137.87
945,0.214336,0.445416,116.44,112.61,1000,10,8,0.50,0.50,0,0.01,0.01,14.45,14.02,144.54,140.20
876,0.222512,0.455355,111.78,109.51,1000,10,8,0.50,0.60,0,0.01,0.01,13.89,13.63,138.92,136.32
766,0.239675,0.474672,100.00,96.74,1000,10,8,0.50,0.70,0,0.01,0.01,12.36,11.97,123.62,119.69
646,0.269781,0.505949,102.81,101.49,1000,10,9,0.50,0.80,0,0.01,0.01,11.34,11.23,113.38,112.32
414,0.324563,0.558027,62.92,63.30,1000,10,7,0.50,0.90,0,0.01,0.01,8.25,8.47,82.47,84.70
906,0.221430,0.454081,128.57,124.94,1000,10,9,0.60,0.10,0,0.01,0.01,14.24,13.87,142.40,138.70
904,0.221577,0.454219,127.69,125.04,1000,10,9,0.60,0.20,0,0.01,0.02,14.11,13.81,141.15,138.17
904,0.222131,0.454847,127.64,124.00,1000,10,9,0.60,0.30,0,0.01,0.02,14.15,13.75,141.48,137.52
902,0.222437,0.455287,113.47,110.67,1000,10,8,0.60,0.40,0,0.01,0.01,14.09,13.80,140.93,137.96
897,0.223620,0.456626,111.32,106.60,1000,10,8,0.60,0.50,0,0.01,0.00,13.82,13.32,138.26,133.18
850,0.228406,0.462016,123.07,118.12,1000,10,9,0.60,0.60,0,0.01,0.01,13.60,13.08,135.96,130.80
730,0.245260,0.480540,121.19,119.95,1000,10,10,0.60,0.70,0,0.01,0.01,12.12,11.99,121.19,119.95
611,0.275066,0.510760,93.03,92.47,1000,10,9,0.60,0.80,0,0.01,0.01,10.20,10.18,102.05,101.77
390,0.330682,0.563356,62.71,63.42,1000,10,7,0.60,0.90,0,0.01,0.01,8.26,8.52,82.64,85.17
785,0.239183,0.474310,124.18,119.38,1000,10,10,0.70,0.10,0,0.01,0.01,12.42,11.94,124.18,119.38
784,0.239238,0.474358,123.85,119.53,1000,10,10,0.70,0.20,0,0.01,0.01,12.38,11.95,123.86,119.53
783,0.239617,0.474717,123.61,121.22,1000,10,10,0.70,0.30,0,0.01,0.02,12.36,12.12,123.61,121.22
781,0.240484,0.475513,123.86,120.20,1000,10,10,0.70,0.40,0,0.01,0.01,12.39,12.02,123.86,120.20
769,0.241527,0.476474,112.82,108.70,1000,10,9,0.70,0.50,0,0.01,0.00,12.43,11.99,124.32,119.89
751,0.245442,0.480201,111.32,108.14,1000,10,9,0.70,0.60,0,0.01,0.02,12.29,11.95,122.93,119.51
690,0.257786,0.492747,104.01,103.87,1000,10,9,0.70,0.70,0,0.01,0.01,11.46,11.46,114.57,114.58
554,0.290979,0.526009,74.64,73.35,1000,10,7,0.70,0.80,0,0.01,0.00,10.14,10.07,101.41,100.67
361,0.341778,0.573087,55.71,54.37,1000,10,6,0.70,0.90,0,0.01,0.02,8.12,8.19,81.26,81.94
587,0.280246,0.516538,92.30,90.99,1000,10,9,0.80,0.10,0,0.01,0.01,10.12,10.00,101.19,100.01
588,0.280244,0.516537,92.36,91.57,1000,10,9,0.80,0.20,0,0.01,0.01,10.14,10.08,101.37,100.85
588,0.281416,0.517620,91.20,90.45,1000,10,9,0.80,0.30,0,0.01,0.02,10.01,9.93,100.08,99.35
588,0.280145,0.516398,92.24,90.82,1000,10,9,0.80,0.40,0,0.01,0.01,10.12,9.99,101.23,99.87
587,0.281051,0.517241,92.09,91.54,1000,10,9,0.80,0.50,0,0.01,0.02,10.08,10.05,100.84,100.50
584,0.283319,0.519391,90.93,90.71,1000,10,9,0.80,0.60,0,0.01,0.01,9.98,9.96,99.79,99.62
570,0.284670,0.520261,82.52,81.94,1000,10,8,0.80,0.70,0,0.01,0.01,10.04,10.03,100.40,100.35
490,0.302516,0.536672,86.28,87.58,1000,10,9,0.80,0.80,0,0.01,0.01,9.44,9.61,94.41,96.10
330,0.358410,0.588187,74.17,74.90,1000,10,9,0.80,0.90,0,0.01,0.01,8.06,8.19,80.56,81.88
362,0.340463,0.571829,74.47,75.38,1000,10,9,0.90,0.10,0,0.01,0.00,8.09,8.22,80.88,82.20
362,0.340463,0.571829,75.07,75.56,1000,10,9,0.90,0.20,0,0.01,0.01,8.15,8.26,81.54,82.57
357,0.341391,0.572572,80.37,82.11,1000,10,10,0.90,0.30,0,0.01,0.00,8.04,8.21,80.37,82.11
358,0.341486,0.572639,81.25,82.17,1000,10,10,0.90,0.40,0,0.01,0.01,8.12,8.22,81.25,82.17
359,0.341527,0.572305,68.54,69.42,1000,10,8,0.90,0.50,0,0.01,0.02,8.14,8.33,81.45,83.30
352,0.345264,0.575444,80.98,82.33,1000,10,10,0.90,0.60,0,0.01,0.00,8.10,8.23,80.98,82.33
351,0.343155,0.573527,48.94,47.11,1000,10,5,0.90,0.70,0,0.01,0.01,8.09,8.15,80.86,81.51
322,0.359160,0.588003,67.42,67.45,1000,10,8,0.90,0.80,0,0.01,0.02,8.00,8.08,80.00,80.81
260,0.383709,0.608914,75.83,77.43,1000,10,10,0.90,0.90,0,0.01,0.00,7.58,7.74,75.83,77.43
