#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
9069,158.38,0.330598,0.647107,9070,0.434795,0.224478,8,4,-1.00,300,6,4,1,100,0.9,0.8,0.4,0.4,111994,25986,9983,3.98,20.50,133.90,4.09
7721,133.92,0.332021,0.661033,7723,0.440511,0.228647,8,4,-1.00,300,6,4,1,300,0.9,0.8,0.4,0.4,111994,23380,8518,3.97,20.42,109.53,4.12
5248,91.37,0.338006,0.687801,5248,0.459193,0.244441,8,4,-1.00,300,6,6,1,100,0.9,0.8,0.4,0.4,111994,16086,5649,3.99,18.74,68.64,4.15
4777,84.43,0.338451,0.694409,4777,0.464836,0.249408,8,4,-1.00,300,6,6,1,300,0.9,0.8,0.4,0.4,111994,15279,5163,3.98,18.72,61.73,4.19
10459,192.47,0.328795,0.634871,10468,0.428701,0.219085,8,4,-1.00,300,8,4,1,100,0.9,0.8,0.4,0.4,111994,34625,11807,3.93,26.77,161.77,4.09
8837,164.89,0.330617,0.649713,8845,0.436636,0.226188,8,4,-1.00,300,8,4,1,300,0.9,0.8,0.4,0.4,111994,31163,9990,3.96,26.78,134.15,4.14
5985,110.34,0.336786,0.679460,5986,0.455373,0.241000,8,4,-1.00,300,8,6,1,100,0.9,0.8,0.4,0.4,111994,21379,6573,3.97,24.49,81.88,4.15
5426,101.55,0.335921,0.683148,5428,0.459840,0.245332,8,4,-1.00,300,8,6,1,300,0.9,0.8,0.4,0.4,111994,20300,5958,3.94,24.43,73.18,4.16
11359,214.56,0.327424,0.628808,11365,0.426460,0.217685,8,4,-1.00,300,10,4,1,100,0.9,0.8,0.4,0.4,111994,43349,12880,3.98,32.91,177.67,4.07
9511,183.13,0.330058,0.643860,9515,0.431762,0.221639,8,4,-1.00,300,10,4,1,300,0.9,0.8,0.4,0.4,111994,39038,10824,3.95,32.92,146.26,4.15
6480,125.11,0.334985,0.673046,6483,0.454256,0.241109,8,4,-1.00,300,10,6,1,100,0.9,0.8,0.4,0.4,111994,26719,7129,3.93,30.32,90.86,4.16
5834,114.17,0.336174,0.679971,5836,0.456461,0.242490,8,4,-1.00,300,10,6,1,300,0.9,0.8,0.4,0.4,111994,25363,6432,3.94,30.11,80.12,4.17
5325,92.52,0.351897,0.691495,5325,0.450776,0.237462,8,4,-1.00,500,6,4,1,100,0.9,0.8,0.4,0.4,68019,14512,5850,3.96,18.33,70.23,4.16
5216,90.73,0.353812,0.696190,5216,0.452389,0.239086,8,4,-1.00,500,6,4,1,300,0.9,0.8,0.4,0.4,68019,14422,5760,3.94,18.28,68.51,4.12
2942,57.15,0.366572,0.733421,2942,0.477286,0.259644,8,4,-1.00,500,6,6,1,100,0.9,0.8,0.4,0.4,68019,8431,3186,3.98,16.81,36.36,3.83
2933,56.68,0.365624,0.729361,2933,0.477459,0.259719,8,4,-1.00,500,6,6,1,300,0.9,0.8,0.4,0.4,68019,8425,3176,3.96,16.90,35.82,3.82
6158,115.11,0.349778,0.682335,6161,0.444175,0.231541,8,4,-1.00,500,8,4,1,100,0.9,0.8,0.4,0.4,68019,19311,6961,3.93,24.12,87.06,4.17
6027,112.66,0.350874,0.683942,6031,0.445896,0.233031,8,4,-1.00,500,8,4,1,300,0.9,0.8,0.4,0.4,68019,19183,6833,3.95,24.00,84.71,4.12
