Parameters currently used
#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
6027,112.66,0.3509,0.6839,6031,0.4459,0.2330,8,4,-1.00,500,8,4,1,300,0.9,0.8,0.4,0.4,68019,19183,6833,3.95,24.00,84.71,4.12
10482,220.27,0.3090,0.6669,10498,0.4224,0.2186,16,6,-1.00,500,10,4,1,100,0.9,0.8,0.4,0.4,105713,40756,13344,7.10,26.66,186.51,4.19
12002,249.01,0.3286,0.6293,12017,0.4160,0.2095,16,4,-1.00,500,6,4,1,300,0.9,0.8,0.4,0.4,135875,36291,14488,7.17,39.63,202.21,4.17
13810,304.34,0.3258,0.6185,13831,0.4106,0.2054,16,4,-1.00,500,8,4,1,300,0.9,0.8,0.4,0.4,135875,48345,17367,7.13,51.32,245.89,4.16
15434,349.68,0.3234,0.6088,15457,0.4064,0.2023,16,4,-1.00,500,10,4,1,100,0.9,0.8,0.4,0.4,135875,60954,19611,7.12,63.94,278.62,3.89
18823,407.49,0.3179,0.5905,18878,0.3974,0.1956,24,4,-1.00,500,6,4,1,300,0.9,0.8,0.4,0.4,198888,62566,24217,10.27,53.41,343.81,3.90
22393,523.06,0.3139,0.5779,22490,0.3917,0.1916,24,4,-1.00,500,8,4,1,100,0.9,0.8,0.4,0.4,198888,84230,30219,10.22,79.97,432.87,3.88
24110,584.63,0.3130,0.5713,24201,0.3889,0.1895,24,4,-1.00,500,10,4,1,100,0.9,0.8,0.4,0.4,198888,105162,33138,10.17,99.28,475.18,3.85
32330,695.91,0.2978,0.5427,32490,0.3818,0.1845,24,4,-1.00,300,6,4,1,100,0.9,0.8,0.4,0.4,329041,110359,41934,10.19,64.54,621.18,3.91
32135,766.13,0.3020,0.5446,32314,0.3821,0.1850,24,4,-1.00,300,10,4,1,300,0.9,0.8,0.4,0.4,329041,157701,43961,10.31,116.36,639.46,3.90

Parameters for all
#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
k=1000
6027,112.66,0.3509,0.6839,6031,0.4459,0.2330,8,4,-1.00,500,8,4,1,300,0.9,0.8,0.4,0.4,68019,19183,6833,3.95,24.00,84.71,4.12
6587,127.67,0.3494,0.6762,6589,0.4405,0.2282,8,4,-1.00,500,10,4,1,300,0.9,0.8,0.4,0.4,68019,24061,7481,3.95,29.46,94.26,4.05
6722,131.11,0.3489,0.6756,6725,0.4419,0.2301,8,4,-1.00,500,10,4,1,100,0.9,0.8,0.4,0.4,68019,24217,7638,3.94,29.54,97.63,4.08
6783,140.90,0.3369,0.6716,6790,0.4422,0.2307,16,4,-1.00,500,6,6,1,300,0.9,0.8,0.4,0.4,135875,20481,7835,7.13,34.94,98.83,4.27
6818,144.86,0.3191,0.6975,6833,0.4426,0.2349,24,6,-1.00,500,6,6,1,300,0.9,0.8,0.4,0.4,156288,23640,8382,9.90,27.54,107.42,4.17
6937,124.98,0.3120,0.6906,6941,0.4445,0.2359,8,6,-1.00,300,10,4,1,300,0.9,0.8,0.4,0.4,96502,30919,7940,3.97,18.94,102.07,4.12
7024,116.79,0.3129,0.6938,7026,0.4454,0.2369,8,6,-1.00,300,6,4,1,100,0.9,0.8,0.4,0.4,96502,21234,7811,3.97,12.17,100.65,3.93

k=2000
8909,212.02,0.3117,0.6782,8931,0.4307,0.2250,24,6,-1.00,500,10,6,1,100,0.9,0.8,0.4,0.4,156288,39599,11341,9.97,44.87,157.18,4.10
9208,193.55,0.3123,0.6760,9216,0.4282,0.2233,16,6,-1.00,500,8,4,1,300,0.9,0.8,0.4,0.4,105713,32064,11570,7.08,26.37,160.10,4.33
9511,183.13,0.3301,0.6439,9515,0.4318,0.2216,8,4,-1.00,300,10,4,1,300,0.9,0.8,0.4,0.4,111994,39038,10824,3.95,32.92,146.26,4.15
