K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
992,0.200613,0.431147,216.34,206.87,1000,10,6,0.40,0.40,2,123.75,114.83,15.32,15.12,276.96,266.05
1992,0.174474,0.400693,418.01,398.96,2000,10,6,0.40,0.40,2,260.91,249.11,25.94,24.68,520.26,495.87
2973,0.160673,0.384113,652.82,624.94,3000,10,6,0.40,0.40,2,410.17,395.92,40.00,37.73,810.13,773.21
3976,0.151517,0.372197,862.02,829.99,4000,10,6,0.40,0.40,2,550.55,536.89,51.54,48.49,1065.92,1021.80
4967,0.145350,0.364164,1100.28,1065.32,5000,10,6,0.40,0.40,2,695.76,688.68,66.79,62.23,1363.67,1310.94
5953,0.139602,0.356719,1340.33,1302.69,6000,10,6,0.40,0.40,2,845.70,844.44,81.67,75.62,1662.42,1600.66
6953,0.135118,0.350596,1605.03,1577.18,7000,10,6,0.40,0.40,2,1011.86,1025.10,97.93,91.07,1991.20,1935.82
7939,0.131480,0.345681,1867.00,1840.61,8000,10,6,0.40,0.40,2,1180.65,1207.40,113.30,104.19,2313.61,2249.30
8941,0.128550,0.341621,2110.83,2089.70,9000,10,6,0.40,0.40,2,1328.11,1366.36,129.16,119.29,2619.74,2559.30
9928,0.125882,0.337629,2376.07,2374.39,10000,10,6,0.40,0.40,2,1489.66,1555.53,146.46,135.19,2954.30,2907.41
