K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.234312,0.463706,139.81,130.65,1000,10,1,0.40,0.40,2,123.75,114.83,15.32,15.12,276.96,266.05
2000,0.208582,0.435828,289.84,277.14,2000,10,1,0.40,0.40,2,260.91,249.11,25.94,24.68,520.26,495.87
3000,0.192556,0.418302,455.17,438.64,3000,10,1,0.40,0.40,2,410.17,395.92,40.00,37.73,810.13,773.21
4000,0.183178,0.407210,607.39,590.47,4000,10,1,0.40,0.40,2,550.55,536.89,51.54,48.49,1065.92,1021.80
5000,0.176204,0.398901,770.01,758.95,5000,10,1,0.40,0.40,2,695.76,688.68,66.79,62.23,1363.67,1310.94
6000,0.170445,0.392146,936.35,929.55,6000,10,1,0.40,0.40,2,845.70,844.44,81.67,75.62,1662.42,1600.66
7000,0.165588,0.386210,1120.33,1126.80,7000,10,1,0.40,0.40,2,1011.86,1025.10,97.93,91.07,1991.20,1935.82
8000,0.162200,0.381997,1306.19,1325.07,8000,10,1,0.40,0.40,2,1180.65,1207.40,113.30,104.19,2313.61,2249.30
9000,0.158833,0.377856,1471.62,1500.71,9000,10,1,0.40,0.40,2,1328.11,1366.36,129.16,119.29,2619.74,2559.30
10000,0.156002,0.373877,1651.25,1706.45,10000,10,1,0.40,0.40,2,1489.66,1555.53,146.46,135.19,2954.30,2907.41
