K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.233813,0.462491,517.92,483.34,1000,10,1,0.40,0.40,2,458.16,426.93,56.54,53.23,1023.59,959.25
2000,0.205276,0.433095,1102.43,1029.68,2000,10,1,0.40,0.40,2,993.13,927.43,98.50,91.50,1978.11,1842.41
3000,0.191941,0.417643,1744.73,1634.70,3000,10,1,0.40,0.40,2,1572.83,1473.61,156.01,145.21,3132.93,2925.74
4000,0.181716,0.405858,2335.32,2185.62,4000,10,1,0.40,0.40,2,2117.66,1982.44,197.00,182.75,4087.70,3809.93
5000,0.174458,0.397480,2971.71,2787.33,5000,10,1,0.40,0.40,2,2684.01,2517.75,262.16,244.14,5305.59,4959.18
6000,0.168826,0.390326,3598.67,3371.49,6000,10,1,0.40,0.40,2,3247.52,3042.74,320.69,298.47,6454.39,6027.41
7000,0.164765,0.385266,4307.13,4044.03,7000,10,1,0.40,0.40,2,3886.92,3649.57,382.72,357.28,7714.15,7222.37
8000,0.160867,0.380527,5023.22,4723.66,8000,10,1,0.40,0.40,2,4536.23,4266.46,445.30,416.13,8989.20,8427.75
9000,0.157742,0.376593,5657.26,5322.55,9000,10,1,0.40,0.40,2,5101.34,4799.85,507.98,474.99,10181.18,9549.71
10000,0.154112,0.371909,6333.59,5956.62,10000,10,1,0.40,0.40,2,5708.91,5369.49,570.85,533.41,11417.45,10703.57
