K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
992,0.207542,0.440814,473.15,1678.90,1000,10,6,0.40,0.40,1,381.54,1589.71,15.01,14.73,531.67,1736.99
1980,0.179728,0.408896,921.26,3332.43,2000,10,6,0.40,0.40,1,762.24,3182.70,26.14,24.79,1023.61,3430.64
2971,0.164993,0.390678,1388.75,5001.98,3000,10,6,0.40,0.40,1,1146.38,4776.21,39.85,37.22,1544.84,5148.42
3956,0.155013,0.378187,1839.01,6660.86,4000,10,6,0.40,0.40,1,1527.26,6371.04,51.53,47.99,2042.57,6850.90
4952,0.148069,0.369236,2313.36,8335.01,5000,10,6,0.40,0.40,1,1909.96,7961.68,66.43,61.84,2574.25,8580.04
5944,0.142584,0.362091,2780.28,10002.60,6000,10,6,0.40,0.40,1,2287.77,9548.30,81.18,74.86,3099.61,10296.90
6935,0.137510,0.355368,3260.17,11679.46,7000,10,6,0.40,0.40,1,2672.41,11142.26,96.90,89.15,3641.44,12033.73
7934,0.133651,0.350231,3735.10,13372.16,8000,10,6,0.40,0.40,1,3052.88,12743.39,112.60,103.93,4178.90,13782.71
8926,0.130597,0.346146,4215.50,15055.90,9000,10,6,0.40,0.40,1,3433.06,14334.86,129.29,119.34,4725.96,15528.27
9901,0.127732,0.342272,4688.05,16711.97,10000,10,6,0.40,0.40,1,3814.75,15910.29,144.07,132.50,5255.49,17235.32
