K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.253419,0.484852,400.09,1606.14,1000,10,1,0.40,0.40,1,381.54,1589.71,15.01,14.73,531.67,1736.99
2000,0.222718,0.452517,794.07,3211.08,2000,10,1,0.40,0.40,1,762.24,3182.70,26.14,24.79,1023.61,3430.64
3000,0.205283,0.433071,1193.55,4818.97,3000,10,1,0.40,0.40,1,1146.38,4776.21,39.85,37.22,1544.84,5148.42
4000,0.194085,0.420547,1586.14,6424.36,4000,10,1,0.40,0.40,1,1527.26,6371.04,51.53,47.99,2042.57,6850.90
5000,0.185457,0.410669,1986.50,8031.44,5000,10,1,0.40,0.40,1,1909.96,7961.68,66.43,61.84,2574.25,8580.04
6000,0.178468,0.402690,2380.46,9632.59,6000,10,1,0.40,0.40,1,2287.77,9548.30,81.18,74.86,3099.61,10296.90
7000,0.172829,0.396020,2782.68,11238.76,7000,10,1,0.40,0.40,1,2672.41,11142.26,96.90,89.15,3641.44,12033.73
8000,0.168068,0.390389,3179.91,12859.27,8000,10,1,0.40,0.40,1,3052.88,12743.39,112.60,103.93,4178.90,13782.71
9000,0.164044,0.385638,3577.90,14467.59,9000,10,1,0.40,0.40,1,3433.06,14334.86,129.29,119.34,4725.96,15528.27
10000,0.160685,0.381607,3977.19,16054.44,10000,10,1,0.40,0.40,1,3814.75,15910.29,144.07,132.50,5255.49,17235.32
