K,MSE,MAE,Total_Time,Embed_Time,C_Time,GA,LA
1000,0.22115,0.44927,4597.26,3345.15,1252.11,0.4,0.4
2000,0.19642,0.42151,5787.64,3345.15,2442.49,0.4,0.4
3000,0.18393,0.40641,6711.28,3345.15,3366.13,0.4,0.4
4000,0.17533,0.39602,7669.60,3345.15,4324.45,0.4,0.4
5000,0.16928,0.38854,8631.00,3345.15,5285.85,0.4,0.4
6000,0.16484,0.38279,9601.77,3345.15,6256.62,0.4,0.4
7000,0.16086,0.37762,10703.06,3345.15,7357.91,0.4,0.4
8000,0.15741,0.37321,11771.83,3345.15,8426.68,0.4,0.4
9000,0.15453,0.36939,12698.81,3345.15,9053.66,0.4,0.4
10000,0.15221,0.36613,13756.06,3345.15,12210.91,0.4,0.4
