K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.251399,0.478758,18.24,16.57,1000,10,1,0.40,0.40,0,0.02,0.02,15.29,14.77,152.89,147.76
2000,0.220005,0.445887,30.74,28.14,2000,10,1,0.40,0.40,0,0.01,0.01,26.19,24.61,261.96,246.10
3000,0.203854,0.428271,47.03,42.98,3000,10,1,0.40,0.40,0,0.01,0.01,40.24,37.72,402.40,377.22
3999,0.193275,0.416213,58.60,53.80,4000,10,1,0.40,0.40,0,0.01,0.01,52.17,48.55,521.73,485.54
4999,0.185335,0.406980,76.02,69.43,5000,10,1,0.40,0.40,0,0.01,0.02,66.69,61.81,666.96,618.14
5995,0.179218,0.399764,92.32,84.96,6000,10,1,0.40,0.40,0,0.01,0.01,82.07,76.28,820.71,762.77
6995,0.174301,0.393820,109.68,101.24,7000,10,1,0.40,0.40,0,0.01,0.02,97.60,90.69,976.04,906.87
7992,0.170684,0.389303,126.45,112.63,8000,10,1,0.40,0.40,0,0.02,0.01,112.87,103.93,1128.72,1039.33
8988,0.167134,0.384923,144.32,133.40,9000,10,1,0.40,0.40,0,0.02,0.01,128.92,119.52,1289.22,1195.17
9984,0.163788,0.380755,161.56,148.37,10000,10,1,0.40,0.40,0,0.02,0.01,145.35,134.32,1453.54,1343.26
