K,MSE,MAE,Total_Time,Embed_Time,C_Time,GA,LA
1000,0.21138,0.43893,1347.99,25.57,1322.42,0.4,0.4
2000,0.18611,0.41017,2198.05,25.57,2172.48,0.4,0.4
3000,0.17189,0.39316,3037.38,25.57,3011.81,0.4,0.4
4000,0.16316,0.38217,3909.39,25.57,3883.82,0.4,0.4
5000,0.15649,0.37341,4768.88,25.57,4743.31,0.4,0.4
6000,0.15098,0.36643,5617.45,25.57,5591.88,0.4,0.4
7000,0.14684,0.36096,6706.10,25.57,6680.53,0.4,0.4
8000,0.14370,0.35674,7844.60,25.57,7819.03,0.4,0.4
9000,0.14055,0.35222,8422.68,25.57,8397.11,0.4,0.4
10000,0.13834,0.34921,8982.10,25.57,8956.53,0.4,0.4
