K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.204534,0.432821,124.38,120.05,1000,10,3,0.40,0.40,3,72.48,69.63,17.27,16.77,245.22,237.29
2000,0.179574,0.406471,236.17,228.44,2000,10,3,0.40,0.40,3,152.80,151.07,27.53,25.54,428.10,406.45
3000,0.163780,0.386856,381.40,370.17,3000,10,3,0.40,0.40,3,260.96,258.79,40.02,36.95,661.19,628.33
4000,0.155185,0.375650,470.47,457.70,4000,10,3,0.40,0.40,3,318.58,319.53,50.45,45.96,823.04,779.12
4999,0.149542,0.368218,569.80,556.40,5000,10,3,0.40,0.40,3,368.32,371.79,66.94,61.33,1037.76,985.10
5999,0.143042,0.359184,686.87,675.53,6000,10,3,0.40,0.40,3,439.27,447.35,82.26,75.70,1261.86,1204.33
6998,0.139429,0.354285,751.05,750.91,7000,10,2,0.40,0.40,3,552.24,566.70,99.59,91.21,1548.11,1478.76
7999,0.136158,0.349701,842.70,843.58,8000,10,2,0.40,0.40,3,613.14,631.97,114.33,104.86,1756.41,1680.57
8999,0.133220,0.346132,1006.62,1018.49,9000,10,2,0.40,0.40,3,743.36,775.50,131.02,120.82,2053.54,1983.72
9999,0.130604,0.342283,1103.67,1116.08,10000,10,2,0.40,0.40,3,807.91,844.25,147.23,135.36,2280.21,2197.83
