K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.211145,0.439411,89.97,86.77,1000,10,1,0.40,0.40,3,72.48,69.63,17.27,16.77,245.22,237.29
2000,0.184069,0.411450,180.63,177.37,2000,10,1,0.40,0.40,3,152.80,151.07,27.53,25.54,428.10,406.45
3000,0.168520,0.392363,301.42,296.38,3000,10,1,0.40,0.40,3,260.96,258.79,40.02,36.95,661.19,628.33
4000,0.159458,0.380648,369.56,366.04,4000,10,1,0.40,0.40,3,318.58,319.53,50.45,45.96,823.04,779.12
4999,0.153164,0.372540,435.93,434.08,5000,10,1,0.40,0.40,3,368.32,371.79,66.94,61.33,1037.76,985.10
5999,0.147074,0.364137,522.35,524.10,6000,10,1,0.40,0.40,3,439.27,447.35,82.26,75.70,1261.86,1204.33
6999,0.142469,0.358129,652.08,660.00,7000,10,1,0.40,0.40,3,552.24,566.70,99.59,91.21,1548.11,1478.76
7999,0.138864,0.353148,728.31,738.30,8000,10,1,0.40,0.40,3,613.14,631.97,114.33,104.86,1756.41,1680.57
9000,0.136321,0.350181,875.43,898.15,9000,10,1,0.40,0.40,3,743.36,775.50,131.02,120.82,2053.54,1983.72
9999,0.133442,0.345915,956.39,980.72,10000,10,1,0.40,0.40,3,807.91,844.25,147.23,135.36,2280.21,2197.83
