K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.211830,0.440083,47.08,46.23,1000,10,1,0.40,0.40,3,73.30,71.56,7.58,7.73,149.13,148.86
2000,0.184804,0.412128,97.77,97.27,2000,10,1,0.40,0.40,3,135.89,135.94,13.81,12.62,273.98,262.15
3000,0.168832,0.392919,170.77,173.14,3000,10,1,0.40,0.40,3,149.57,152.87,21.00,19.37,359.52,346.53
4000,0.160097,0.381683,211.67,214.65,4000,10,1,0.40,0.40,3,185.26,190.77,26.12,23.76,446.41,428.36
5000,0.153271,0.372469,248.75,256.67,5000,10,1,0.40,0.40,3,213.98,224.18,34.57,31.94,559.67,543.56
6000,0.147422,0.364736,297.91,310.48,6000,10,1,0.40,0.40,3,255.44,271.59,42.08,38.69,676.29,658.44
7000,0.142643,0.358402,373.44,392.02,7000,10,1,0.40,0.40,3,322.76,345.37,50.27,46.43,825.51,809.70
7998,0.138906,0.353369,421.60,445.65,8000,10,1,0.40,0.40,3,363.03,391.36,58.36,54.02,946.67,931.52
9000,0.135789,0.349684,476.81,515.90,9000,10,1,0.40,0.40,3,410.10,453.87,66.47,61.12,1074.75,1065.10
9999,0.133381,0.345872,544.18,589.84,10000,10,1,0.40,0.40,3,469.46,520.69,74.80,68.45,1217.50,1205.16
