K,MSE,MAE,WTime,k,m1,h1,m2,h2
1000,0.205130,0.436037,137.67,1000,8,4,6,6
4500,0.157998,0.378315,419.42,4500,16,4,6,6
7000,0.143318,0.359241,703.14,7000,24,4,6,6
1300,0.195148,0.424982,164.39,1300,8,4,8,6
4999,0.153675,0.372988,489.32,5000,16,4,8,6
8000,0.139062,0.353453,810.90,8000,24,4,8,6
1500,0.190958,0.419846,185.98,1500,8,4,10,6
5500,0.151205,0.369782,546.15,5500,16,4,10,6
8395,0.137391,0.351370,906.27,8400,24,4,10,6
2800,0.171548,0.396032,257.77,2800,8,4,6,4
3899,0.163077,0.385278,331.77,3900,8,4,8,4
4198,0.160220,0.381775,360.08,4200,8,4,10,4
6999,0.143051,0.358758,670.85,7000,16,4,6,4
7800,0.139994,0.354691,767.54,7800,16,4,8,4
8297,0.137352,0.351293,842.95,8300,16,4,10,4
9495,0.132393,0.344385,1025.96,9500,24,4,6,4
9800,0.130638,0.342350,1159.20,9800,24,4,8,4
9999,0.129854,0.341337,1247.28,10000,24,4,10,4
1400,0.193622,0.420424,158.54,1400,8,6,6,4
2000,0.182859,0.406829,202.62,2000,8,6,8,4
2500,0.177697,0.400234,232.82,2500,8,6,10,4
4900,0.156234,0.372550,460.87,4900,16,6,6,4
5999,0.150594,0.364855,554.19,6000,16,6,8,4
6499,0.147658,0.360991,614.81,6500,16,6,10,4
7500,0.142735,0.354439,749.23,7500,24,6,6,4
8499,0.138738,0.349069,894.94,8500,24,6,8,4
8999,0.136867,0.346613,970.54,9000,24,6,10,4
