K-Means||
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.295528,0.530292,298.82,292.56,1000,10,10,0.30,0.30,2,136.88,133.07,16.19,15.95,298.82,292.56
2000,0.276660,0.512487,574.06,555.40,2000,10,10,0.30,0.30,2,289.34,279.95,28.47,27.54,574.06,555.40
3000,0.266185,0.502132,881.04,850.71,3000,10,10,0.30,0.30,2,458.57,444.17,42.25,40.65,881.04,850.71
4000,0.258827,0.494954,1201.82,1163.91,4000,10,10,0.30,0.30,2,645.45,625.65,55.64,53.83,1201.82,1163.91
5000,0.253357,0.489469,1684.26,1636.60,5000,10,10,0.30,0.30,2,949.49,924.92,73.48,71.17,1684.26,1636.60
6000,0.248990,0.485188,2194.24,2134.32,6000,10,10,0.30,0.30,2,1292.28,1261.13,90.20,87.32,2194.24,2134.32
7000,0.245218,0.481373,2696.51,2628.74,7000,10,10,0.30,0.30,2,1641.22,1606.86,105.53,102.19,2696.51,2628.74
7999,0.241780,0.477928,3220.27,3143.93,8000,10,10,0.30,0.30,2,2012.83,1974.18,120.74,116.97,3220.27,3143.93
9000,0.239059,0.475048,3786.10,3697.82,9000,10,10,0.30,0.30,2,2386.19,2341.49,139.99,135.63,3786.10,3697.82
10000,0.236741,0.472655,4259.27,4161.59,10000,10,10,0.30,0.30,2,2722.93,2672.92,153.63,148.87,4259.27,4161.59

SILK
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.295949,0.529865,214.27,209.31,1000,10,9,0.30,0.30,3,77.87,76.37,15.16,14.79,229.50,224.29
2000,0.277821,0.512301,385.59,371.03,2000,10,10,0.30,0.30,3,116.53,113.68,26.91,25.73,385.59,371.03
3000,0.267160,0.502358,591.57,571.09,3000,10,10,0.30,0.30,3,182.23,179.01,40.93,39.21,591.57,571.09
4000,0.260594,0.495497,737.99,712.18,4000,10,10,0.30,0.30,3,193.56,189.74,54.44,52.24,737.99,712.18
5000,0.254699,0.489724,995.81,963.41,5000,10,10,0.30,0.30,3,279.47,274.55,71.63,68.89,995.81,963.41
6000,0.251619,0.486062,1223.57,1184.73,6000,10,10,0.30,0.30,3,336.59,331.24,88.70,85.35,1223.57,1184.73
7000,0.247411,0.482033,1409.33,1364.35,7000,10,10,0.30,0.30,3,359.86,353.64,104.95,101.07,1409.33,1364.35
8000,0.244197,0.478835,1650.02,1599.11,8000,10,10,0.30,0.30,3,444.84,437.97,120.52,116.11,1650.02,1599.11
8999,0.240800,0.475455,2009.50,1951.25,9000,10,10,0.30,0.30,3,640.84,631.76,136.87,131.95,2009.50,1951.25
9998,0.238885,0.473255,2258.89,2194.26,10000,10,10,0.30,0.30,3,723.82,713.55,153.51,148.07,2258.89,2194.26
