Random
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.299029,0.532591,78.43,83.82,1000,10,10,0.30,0.30,0,0.01,0.00,7.84,8.38,78.43,83.82
1999,0.279943,0.514720,138.72,140.75,2000,10,10,0.30,0.30,0,0.01,0.00,13.87,14.07,138.72,140.75
3000,0.269036,0.504147,211.31,210.87,3000,10,10,0.30,0.30,0,0.01,0.00,21.13,21.09,211.32,210.87
4000,0.261609,0.496879,280.49,277.52,4000,10,10,0.30,0.30,0,0.01,0.00,28.05,27.75,280.49,277.52
5000,0.255518,0.490754,371.55,361.17,5000,10,10,0.30,0.30,0,0.01,0.00,37.15,36.12,371.55,361.17
5999,0.251177,0.486318,453.46,439.75,6000,10,10,0.30,0.30,0,0.01,0.01,45.35,43.97,453.47,439.75
7000,0.247424,0.482482,534.09,518.41,7000,10,10,0.30,0.30,0,0.01,0.00,53.41,51.84,534.09,518.41
8000,0.244240,0.479233,613.24,595.13,8000,10,10,0.30,0.30,0,0.01,0.01,61.32,59.51,613.24,595.13
9000,0.241397,0.476375,709.36,687.49,9000,10,10,0.30,0.30,0,0.01,0.01,70.94,68.75,709.36,687.49
10000,0.238932,0.473835,776.45,752.14,10000,10,10,0.30,0.30,0,0.01,0.01,77.64,75.21,776.45,752.14

K-Means++
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.296743,0.531477,272.47,1226.12,1000,10,10,0.30,0.30,1,195.29,1144.21,7.72,8.19,272.47,1226.12
2000,0.278600,0.514631,527.23,2425.31,2000,10,10,0.30,0.30,1,391.36,2288.33,13.59,13.70,527.23,2425.31
3000,0.267552,0.503797,793.90,3639.23,3000,10,10,0.30,0.30,1,586.35,3433.91,20.76,20.53,793.91,3639.23
4000,0.260237,0.496647,1058.15,4849.92,4000,10,10,0.30,0.30,1,780.00,4575.03,27.82,27.49,1058.15,4849.92
5000,0.254595,0.491004,1339.50,6074.95,5000,10,10,0.30,0.30,1,974.13,5718.34,36.54,35.66,1339.50,6074.95
6000,0.250075,0.486446,1617.97,7298.42,6000,10,10,0.30,0.30,1,1169.81,6863.09,44.82,43.53,1617.97,7298.42
7000,0.246320,0.482678,1896.35,8522.16,7000,10,10,0.30,0.30,1,1368.03,8009.61,52.83,51.26,1896.35,8522.16
8000,0.243058,0.479389,2170.89,9746.06,8000,10,10,0.30,0.30,1,1565.71,9160.11,60.52,58.60,2170.89,9746.07
