K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.362055,0.592749,92.26,101.69,1000,10,10,0.10,0.10,0,0.00,0.00,9.23,10.17,92.26,101.69
1000,0.307021,0.541200,80.84,88.13,1000,10,10,0.10,0.20,0,0.00,0.01,8.08,8.81,80.84,88.14
1000,0.298897,0.532622,78.35,84.57,1000,10,10,0.10,0.30,0,0.00,0.01,7.83,8.46,78.35,84.57
1000,0.302148,0.535060,74.97,80.74,1000,10,10,0.10,0.40,0,0.00,0.00,7.50,8.07,74.97,80.74
998,0.310573,0.542521,66.19,70.97,1000,10,9,0.10,0.50,0,0.00,0.00,7.32,7.86,73.16,78.64
983,0.327281,0.557616,57.21,60.93,1000,10,8,0.10,0.60,0,0.00,0.00,7.04,7.54,70.37,75.39
869,0.357918,0.584193,56.24,60.29,1000,10,9,0.10,0.70,0,0.00,0.01,6.19,6.65,61.91,66.55
611,0.405191,0.623683,56.60,60.67,1000,10,10,0.10,0.80,0,0.00,0.01,5.66,6.07,56.60,60.67
323,0.472468,0.675610,33.71,35.73,1000,10,7,0.10,0.90,0,0.00,0.01,4.38,4.73,43.80,47.34
1000,0.306320,0.540491,80.31,87.70,1000,10,10,0.20,0.10,0,0.00,0.00,8.03,8.77,80.31,87.70
1000,0.304350,0.538506,78.29,85.34,1000,10,10,0.20,0.20,0,0.00,0.00,7.83,8.53,78.29,85.34
1000,0.299046,0.532665,76.73,82.93,1000,10,10,0.20,0.30,0,0.00,0.00,7.67,8.29,76.73,82.93
1000,0.303135,0.535957,73.52,79.31,1000,10,10,0.20,0.40,0,0.00,0.01,7.35,7.93,73.52,79.31
997,0.312562,0.544450,65.66,70.41,1000,10,9,0.20,0.50,0,0.00,0.01,7.24,7.78,72.45,77.86
974,0.329494,0.559521,62.33,66.66,1000,10,9,0.20,0.60,0,0.00,0.01,6.88,7.38,68.81,73.77
852,0.361127,0.586845,56.28,60.13,1000,10,9,0.20,0.70,0,0.00,0.00,6.20,6.65,61.98,66.45
595,0.407676,0.625487,54.89,59.07,1000,10,10,0.20,0.80,0,0.00,0.00,5.49,5.91,54.89,59.07
324,0.471574,0.675061,33.07,35.12,1000,10,7,0.20,0.90,0,0.00,0.01,4.33,4.68,43.28,46.84
1000,0.298941,0.532585,76.22,82.52,1000,10,10,0.30,0.10,0,0.00,0.00,7.62,8.25,76.22,82.53
1000,0.298942,0.532585,76.06,82.39,1000,10,10,0.30,0.20,0,0.00,0.00,7.61,8.24,76.06,82.39
1000,0.299029,0.532591,74.67,80.90,1000,10,10,0.30,0.30,0,0.00,0.00,7.47,8.09,74.67,80.90
1000,0.303946,0.536700,59.62,63.85,1000,10,8,0.30,0.40,0,0.00,0.02,7.36,7.92,73.62,79.24
994,0.314078,0.545738,57.39,61.44,1000,10,8,0.30,0.50,0,0.00,0.00,7.08,7.63,70.83,76.26
972,0.330486,0.560459,70.66,75.64,1000,10,10,0.30,0.60,0,0.00,0.00,7.07,7.56,70.66,75.64
851,0.362596,0.588293,62.44,66.90,1000,10,10,0.30,0.70,0,0.00,0.01,6.24,6.69,62.44,66.90
579,0.411327,0.628271,53.36,57.34,1000,10,10,0.30,0.80,0,0.00,0.00,5.34,5.73,53.36,57.34
306,0.482520,0.682833,37.11,39.46,1000,10,8,0.30,0.90,0,0.00,0.00,4.40,4.73,43.97,47.33
1000,0.303296,0.536124,66.51,71.63,1000,10,9,0.40,0.10,0,0.00,0.01,7.36,7.94,73.59,79.43
1000,0.303296,0.536124,67.39,72.48,1000,10,9,0.40,0.20,0,0.00,0.00,7.45,8.03,74.49,80.29
1000,0.303305,0.536133,67.37,72.52,1000,10,9,0.40,0.30,0,0.00,0.01,7.44,8.02,74.39,80.25
1000,0.304991,0.537630,72.19,77.83,1000,10,10,0.40,0.40,0,0.00,0.01,7.22,7.78,72.19,77.83
994,0.315680,0.547165,71.00,76.33,1000,10,10,0.40,0.50,0,0.00,0.01,7.10,7.63,71.00,76.33
964,0.332450,0.562242,62.07,66.50,1000,10,9,0.40,0.60,0,0.00,0.00,6.85,7.36,68.54,73.63
839,0.365814,0.591034,60.39,64.84,1000,10,10,0.40,0.70,0,0.00,0.00,6.04,6.48,60.39,64.84
561,0.414154,0.630507,36.35,38.21,1000,10,6,0.40,0.80,0,0.00,0.00,5.51,5.92,55.09,59.18
304,0.479763,0.680961,42.67,46.14,1000,10,10,0.40,0.90,0,0.00,0.00,4.27,4.61,42.67,46.14
995,0.313418,0.545161,57.20,61.26,1000,10,8,0.50,0.10,0,0.00,0.00,7.05,7.59,70.50,75.91
995,0.313418,0.545161,57.20,61.28,1000,10,8,0.50,0.20,0,0.00,0.00,7.03,7.57,70.27,75.70
995,0.313418,0.545161,58.10,62.25,1000,10,8,0.50,0.30,0,0.00,0.00,7.16,7.71,71.59,77.09
995,0.313457,0.545192,64.42,68.99,1000,10,9,0.50,0.40,0,0.00,0.00,7.11,7.64,71.14,76.37
993,0.316222,0.547639,57.28,61.26,1000,10,8,0.50,0.50,0,0.00,0.00,7.06,7.59,70.58,75.89
961,0.335136,0.564532,56.41,60.02,1000,10,8,0.50,0.60,0,0.00,0.00,6.98,7.47,69.83,74.68
