#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
550,8.14,0.479987,0.880809,551,0.590292,0.370156,8,4,-1.00,300,6,4,1,200,0.9,0.8,0.3,0.3,17555,1145,573,1.53,3.38,3.23,2.23
5239,48.80,0.461137,0.718413,5262,0.537983,0.311680,8,4,-1.00,30,8,4,1,30,0.9,0.8,0.3,0.3,191134,11329,5514,1.54,8.97,38.29,2.57
15707,160.74,0.439188,0.648305,15869,0.523449,0.299022,16,4,-1.00,30,8,4,1,30,0.9,0.8,0.3,0.3,380148,35634,17292,2.29,13.61,144.84,2.11
5239,48.92,0.461137,0.718413,5262,0.537983,0.311680,8,4,-1.00,30,8,4,1,30,0.9,0.8,0.3,0.3,191134,11329,5514,1.53,8.68,38.71,2.02
3702,34.72,0.469061,0.733606,3711,0.551546,0.327146,8,4,-1.00,30,8,4,1,50,0.9,0.8,0.3,0.3,191134,7501,3895,1.52,8.71,24.49,2.44
2665,25.06,0.477988,0.751314,2677,0.548631,0.322101,8,4,-1.00,30,8,4,1,80,0.9,0.8,0.3,0.3,191134,5191,2820,1.50,6.42,17.14,2.03
3177,28.29,0.476066,0.751981,3186,0.543859,0.316457,8,4,-1.00,30,8,6,1,30,0.9,0.8,0.3,0.3,191134,6001,3297,1.48,6.16,20.65,2.49
2416,25.55,0.487940,0.769573,2426,0.552614,0.326485,8,4,-1.00,30,8,6,1,50,0.9,0.8,0.3,0.3,191134,4182,2515,1.53,8.52,15.50,2.01
1866,21.90,0.496465,0.783887,1874,0.560550,0.335526,8,4,-1.00,30,8,6,1,80,0.9,0.8,0.3,0.3,191134,3025,1933,1.50,8.60,11.80,2.12
5913,55.84,0.460722,0.710389,5949,0.541639,0.316722,8,4,-1.00,30,10,4,1,30,0.9,0.8,0.3,0.3,191134,14244,6241,1.53,10.41,43.90,2.35
4245,41.38,0.469630,0.724815,4261,0.545605,0.320203,8,4,-1.00,30,10,4,1,50,0.9,0.8,0.3,0.3,191134,9478,4473,1.54,10.53,29.31,2.64
3104,32.38,0.478940,0.743364,3115,0.543600,0.316316,8,4,-1.00,30,10,4,1,80,0.9,0.8,0.3,0.3,191134,6576,3279,1.51,10.42,20.45,2.17
3641,36.27,0.476161,0.739465,3658,0.551750,0.327062,8,4,-1.00,30,10,6,1,30,0.9,0.8,0.3,0.3,191134,7484,3786,1.50,10.09,24.68,2.01
2822,30.14,0.488024,0.757646,2835,0.546436,0.319295,8,4,-1.00,30,10,6,1,50,0.9,0.8,0.3,0.3,191134,5221,2942,1.51,10.18,18.45,2.26
2202,25.59,0.497607,0.773990,2212,0.554101,0.327995,8,4,-1.00,30,10,6,1,80,0.9,0.8,0.3,0.3,191134,3788,2287,1.50,10.20,13.89,2.22
6636,64.19,0.460208,0.702752,6681,0.536397,0.310644,8,4,-1.00,30,12,4,1,30,0.9,0.8,0.3,0.3,191134,17111,7047,1.50,12.06,50.63,2.47
4819,48.71,0.469456,0.717512,4844,0.540418,0.314153,8,4,-1.00,30,12,4,1,50,0.9,0.8,0.3,0.3,191134,11410,5117,1.52,12.23,34.96,2.77
3565,37.78,0.478513,0.735033,3578,0.551118,0.326375,8,4,-1.00,30,12,4,1,80,0.9,0.8,0.3,0.3,191134,7913,3778,1.53,12.18,24.07,2.17
4149,42.22,0.476294,0.734282,4171,0.546128,0.320560,8,4,-1.00,30,12,6,1,30,0.9,0.8,0.3,0.3,191134,8983,4351,1.50,11.70,29.02,2.14
3254,31.97,0.487178,0.749753,3267,0.541921,0.314078,8,4,-1.00,30,12,6,1,50,0.9,0.8,0.3,0.3,191134,6245,3415,1.48,8.83,21.66,2.45
2554,29.43,0.497227,0.765464,2564,0.549222,0.322314,8,4,-1.00,30,12,6,1,80,0.9,0.8,0.3,0.3,191134,4536,2671,1.51,11.80,16.12,2.21
4324,37.85,0.459848,0.734363,4334,0.546567,0.321691,8,4,-1.00,40,8,4,1,30,0.9,0.8,0.3,0.3,142937,9406,4556,1.52,5.81,30.52,2.04
3238,30.81,0.462167,0.747532,3242,0.546563,0.320378,8,4,-1.00,40,8,4,1,50,0.9,0.8,0.3,0.3,142937,7016,3401,1.50,7.97,21.34,2.02
2316,24.33,0.471538,0.766064,2320,0.556207,0.331299,8,4,-1.00,40,8,4,1,80,0.9,0.8,0.3,0.3,142937,4818,2449,1.50,7.91,14.92,2.28
2387,24.47,0.473291,0.765550,2391,0.555684,0.330289,8,4,-1.00,40,8,6,1,30,0.9,0.8,0.3,0.3,142937,4610,2481,1.50,7.74,15.23,2.24
1937,21.40,0.478438,0.777895,1943,0.561913,0.337440,8,4,-1.00,40,8,6,1,50,0.9,0.8,0.3,0.3,142937,3677,2014,1.49,7.71,12.20,2.13
1497,16.33,0.490239,0.798098,1503,0.549903,0.320960,8,4,-1.00,40,8,6,1,80,0.9,0.8,0.3,0.3,142937,2644,1559,1.51,5.55,9.27,2.07
