K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.295523,0.529942,116.79,121.42,1000,10,6,0.30,0.30,2,70.17,70.35,7.67,8.39,146.86,154.28
2000,0.276693,0.512511,228.48,234.70,2000,10,6,0.30,0.30,2,145.90,149.85,13.58,13.96,281.70,289.45
3000,0.266091,0.502058,360.54,388.51,3000,10,6,0.30,0.30,2,233.04,260.80,21.00,21.08,442.99,471.57
4000,0.258857,0.494978,492.52,541.28,4000,10,6,0.30,0.30,2,323.45,372.16,27.83,27.69,601.72,649.08
5000,0.253446,0.489473,702.94,768.72,5000,10,6,0.30,0.30,2,479.43,549.62,36.81,36.10,847.58,910.63
6000,0.248718,0.484831,932.12,1020.42,6000,10,6,0.30,0.30,2,657.60,752.47,45.29,44.21,1110.51,1194.56
6998,0.244914,0.481076,1169.05,1313.51,7000,10,6,0.30,0.30,2,844.33,997.82,53.47,52.06,1379.02,1518.40
8000,0.241683,0.477587,1357.96,1544.31,8000,10,6,0.30,0.30,2,988.13,1185.32,60.99,59.22,1598.07,1777.48
9000,0.238787,0.474640,1592.38,1796.81,9000,10,6,0.30,0.30,2,1161.43,1378.55,71.03,69.00,1871.74,2068.51
10000,0.236121,0.471974,1790.79,2039.36,10000,10,6,0.30,0.30,2,1321.31,1583.94,77.52,75.20,2096.50,2335.90
