K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.324282,0.555041,78.73,79.81,1000,10,1,0.30,0.30,2,70.17,70.35,7.67,8.39,146.86,154.28
2000,0.305360,0.538182,161.30,165.69,2000,10,1,0.30,0.30,2,145.90,149.85,13.58,13.96,281.70,289.45
3000,0.293848,0.527423,256.94,284.75,3000,10,1,0.30,0.30,2,233.04,260.80,21.00,21.08,442.99,471.57
4000,0.286962,0.520897,355.61,404.51,4000,10,1,0.30,0.30,2,323.45,372.16,27.83,27.69,601.72,649.08
5000,0.281561,0.515725,521.59,591.45,5000,10,1,0.30,0.30,2,479.43,549.62,36.81,36.10,847.58,910.63
6000,0.277015,0.511420,709.34,803.34,6000,10,1,0.30,0.30,2,657.60,752.47,45.29,44.21,1110.51,1194.56
7000,0.273031,0.507728,905.10,1057.58,7000,10,1,0.30,0.30,2,844.33,997.82,53.47,52.06,1379.02,1518.40
8000,0.269716,0.504297,1057.07,1252.95,8000,10,1,0.30,0.30,2,988.13,1185.32,60.99,59.22,1598.07,1777.48
9000,0.266540,0.501229,1242.38,1457.64,9000,10,1,0.30,0.30,2,1161.43,1378.55,71.03,69.00,1871.74,2068.51
10000,0.264128,0.498848,1408.83,1669.28,10000,10,1,0.30,0.30,2,1321.31,1583.94,77.52,75.20,2096.50,2335.90
