K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.323926,0.555048,154.72,150.66,1000,10,1,0.30,0.30,2,136.88,133.07,16.19,15.95,298.82,292.56
2000,0.305077,0.538035,321.64,311.36,2000,10,1,0.30,0.30,2,289.34,279.95,28.47,27.54,574.06,555.40
3000,0.294305,0.527881,506.10,489.78,3000,10,1,0.30,0.30,2,458.57,444.17,42.25,40.65,881.04,850.71
4000,0.286810,0.520892,708.35,686.73,4000,10,1,0.30,0.30,2,645.45,625.65,55.64,53.83,1201.82,1163.91
5000,0.281357,0.515739,1032.03,1004.63,5000,10,1,0.30,0.30,2,949.49,924.92,73.48,71.17,1684.26,1636.60
6000,0.276877,0.511468,1394.04,1360.11,6000,10,1,0.30,0.30,2,1292.28,1261.13,90.20,87.32,2194.24,2134.32
7000,0.272583,0.507307,1760.05,1722.43,7000,10,1,0.30,0.30,2,1641.22,1606.86,105.53,102.19,2696.51,2628.74
8000,0.269100,0.503951,2149.52,2107.09,8000,10,1,0.30,0.30,2,2012.83,1974.18,120.74,116.97,3220.27,3143.93
9000,0.266097,0.500918,2544.06,2495.14,9000,10,1,0.30,0.30,2,2386.19,2341.49,139.99,135.63,3786.10,3697.82
10000,0.263859,0.498774,2894.39,2839.64,10000,10,1,0.30,0.30,2,2722.93,2672.92,153.63,148.87,4259.27,4161.59
