K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.296995,0.531724,243.16,1194.06,1000,10,6,0.30,0.30,1,195.29,1144.21,7.72,8.19,272.47,1226.12
2000,0.278825,0.514867,475.12,2372.20,2000,10,6,0.30,0.30,1,391.36,2288.33,13.59,13.70,527.23,2425.31
3000,0.267718,0.503950,713.11,3558.58,3000,10,6,0.30,0.30,1,586.35,3433.91,20.76,20.53,793.91,3639.23
4000,0.260402,0.496804,949.30,4741.31,4000,10,6,0.30,0.30,1,780.00,4575.03,27.82,27.49,1058.15,4849.92
5000,0.254805,0.491217,1197.04,5934.88,5000,10,6,0.30,0.30,1,974.13,5718.34,36.54,35.66,1339.50,6074.95
6000,0.250271,0.486645,1442.43,7126.91,6000,10,6,0.30,0.30,1,1169.81,6863.09,44.82,43.53,1617.97,7298.42
7000,0.246521,0.482882,1689.30,8321.18,7000,10,6,0.30,0.30,1,1368.03,8009.61,52.83,51.26,1896.35,8522.16
8000,0.243263,0.479586,1934.22,9515.40,8000,10,6,0.30,0.30,1,1565.71,9160.11,60.52,58.60,2170.89,9746.07
9000,0.240340,0.476574,2180.42,10703.73,9000,10,6,0.30,0.30,1,1754.78,10292.57,70.02,67.70,2454.96,10969.61
9999,0.237896,0.474072,2417.66,11886.58,10000,10,6,0.30,0.30,1,1952.68,11438.01,76.56,73.98,2718.25,12177.83
