K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.329372,0.560109,206.64,1154.12,1000,10,1,0.30,0.30,1,195.29,1144.21,7.72,8.19,272.47,1226.12
2000,0.310991,0.543605,409.69,2305.08,2000,10,1,0.30,0.30,1,391.36,2288.33,13.59,13.70,527.23,2425.31
3000,0.299962,0.533310,612.52,3458.00,3000,10,1,0.30,0.30,1,586.35,3433.91,20.76,20.53,793.91,3639.23
4000,0.292734,0.526598,814.59,4607.49,4000,10,1,0.30,0.30,1,780.00,4575.03,27.82,27.49,1058.15,4849.92
5000,0.287125,0.521299,1018.42,5759.79,5000,10,1,0.30,0.30,1,974.13,5718.34,36.54,35.66,1339.50,6074.95
6000,0.282663,0.517063,1223.46,6913.38,6000,10,1,0.30,0.30,1,1169.81,6863.09,44.82,43.53,1617.97,7298.42
7000,0.278785,0.513374,1431.24,8069.49,7000,10,1,0.30,0.30,1,1368.03,8009.61,52.83,51.26,1896.35,8522.16
8000,0.275521,0.510225,1638.22,9228.65,8000,10,1,0.30,0.30,1,1565.71,9160.11,60.52,58.60,2170.89,9746.07
9000,0.272421,0.507185,1837.28,10371.03,9000,10,1,0.30,0.30,1,1754.78,10292.57,70.02,67.70,2454.96,10969.61
10000,0.269965,0.504820,2042.74,11523.68,10000,10,1,0.30,0.30,1,1952.68,11438.01,76.56,73.98,2718.25,12177.83
