K,MSE,MAE,Total_Time,Embed_Time,C_Time,GA,LA
1000,0.31135,0.54206,1834.38,1314.35,520.03,0.3,0.3
2000,0.29712,0.52856,2284.93,1314.35,970.58,0.3,0.3
3000,0.28856,0.52031,2700.59,1314.35,1386.24,0.3,0.3
4000,0.28346,0.51537,3095.09,1314.35,1780.74,0.3,0.3
5000,0.27927,0.51124,3437.71,1314.35,2123.36,0.3,0.3
6000,0.27597,0.50797,3890.46,1314.35,2576.11,0.3,0.3
7000,0.27357,0.50564,4295.76,1314.35,2981.41,0.3,0.3
8000,0.27157,0.50365,4692.19,1314.35,3377.84,0.3,0.3
9000,0.26999,0.50204,5019.63,1314.35,3705.28,0.3,0.3
10000,0.26863,0.50070,5466.36,1314.35,4152.01,0.3,0.3
