K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.299029,0.532591,78.43,83.82,1000,10,10,0.30,0.30,0,0.01,0.00,7.84,8.38,78.43,83.82
1999,0.279943,0.514720,138.72,140.75,2000,10,10,0.30,0.30,0,0.01,0.00,13.87,14.07,138.72,140.75
3000,0.269036,0.504147,211.31,210.87,3000,10,10,0.30,0.30,0,0.01,0.00,21.13,21.09,211.32,210.87
4000,0.261609,0.496879,280.49,277.52,4000,10,10,0.30,0.30,0,0.01,0.00,28.05,27.75,280.49,277.52
5000,0.255518,0.490754,371.55,361.17,5000,10,10,0.30,0.30,0,0.01,0.00,37.15,36.12,371.55,361.17
5999,0.251177,0.486318,453.46,439.75,6000,10,10,0.30,0.30,0,0.01,0.01,45.35,43.97,453.47,439.75
7000,0.247424,0.482482,534.09,518.41,7000,10,10,0.30,0.30,0,0.01,0.00,53.41,51.84,534.09,518.41
8000,0.244240,0.479233,613.24,595.13,8000,10,10,0.30,0.30,0,0.01,0.01,61.32,59.51,613.24,595.13
9000,0.241397,0.476375,709.36,687.49,9000,10,10,0.30,0.30,0,0.01,0.01,70.94,68.75,709.36,687.49
10000,0.238932,0.473835,776.45,752.14,10000,10,10,0.30,0.30,0,0.01,0.01,77.64,75.21,776.45,752.14
