K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.333844,0.563028,10.73,9.98,1000,10,1,0.30,0.30,0,0.01,0.00,7.84,8.38,78.43,83.82
2000,0.313237,0.544666,17.96,16.98,2000,10,1,0.30,0.30,0,0.01,0.00,13.87,14.07,138.72,140.75
3000,0.301974,0.534230,26.33,24.91,3000,10,1,0.30,0.30,0,0.01,0.00,21.13,21.09,211.32,210.87
4000,0.294295,0.527043,34.62,32.96,4000,10,1,0.30,0.30,0,0.01,0.00,28.05,27.75,280.49,277.52
5000,0.288194,0.521262,44.37,42.05,5000,10,1,0.30,0.30,0,0.01,0.00,37.15,36.12,371.55,361.17
6000,0.283790,0.516991,53.86,51.26,6000,10,1,0.30,0.30,0,0.01,0.01,45.35,43.97,453.47,439.75
7000,0.279898,0.513230,62.75,59.76,7000,10,1,0.30,0.30,0,0.01,0.00,53.41,51.84,534.09,518.41
8000,0.276689,0.510116,71.92,68.68,8000,10,1,0.30,0.30,0,0.01,0.01,61.32,59.51,613.24,595.13
9000,0.273784,0.507303,82.27,78.79,9000,10,1,0.30,0.30,0,0.01,0.01,70.94,68.75,709.36,687.49
10000,0.271208,0.504773,89.89,86.33,10000,10,1,0.30,0.30,0,0.01,0.01,77.64,75.21,776.45,752.14
