K,MSE,MAE,Total_Time,Embed_Time,C_Time,GA,LA
1000,0.31552,0.54525,456.68,26.87,429.81,0.3,0.3
2000,0.30488,0.53532,877.43,26.87,850.56,0.3,0.3
3000,0.29747,0.52842,1209.71,26.87,1182.84,0.3,0.3
3999,0.29622,0.52729,1553.17,26.87,1526.30,0.3,0.3
4999,0.29258,0.52388,1906.57,26.87,1879.70,0.3,0.3
5999,0.28808,0.51957,2244.48,26.87,2217.61,0.3,0.3
6999,0.28664,0.51820,2617.09,26.87,2590.22,0.3,0.3
7999,0.28456,0.51613,2959.66,26.87,2932.79,0.3,0.3
8999,0.28092,0.51254,3271.36,26.87,3244.49,0.3,0.3
9994,0.28026,0.51202,3654.43,26.87,3627.56,0.3,0.3
