K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.295634,0.529534,78.39,82.18,1000,10,4,0.30,0.30,3,49.66,50.32,7.18,7.95,121.44,129.77
2000,0.278841,0.513077,121.76,127.31,2000,10,3,0.30,0.30,3,81.91,86.12,13.37,13.74,215.58,223.51
3000,0.268090,0.503085,180.61,192.10,3000,10,3,0.30,0.30,3,119.09,130.45,20.33,20.39,322.43,334.30
4000,0.261376,0.496111,227.99,244.65,4000,10,4,0.30,0.30,3,119.87,136.88,27.07,26.83,390.59,405.19
4999,0.256005,0.491009,290.22,315.75,5000,10,3,0.30,0.30,3,181.22,209.60,36.27,35.29,543.93,562.45
6000,0.252214,0.486614,359.11,394.05,6000,10,4,0.30,0.30,3,180.90,220.93,44.37,43.00,624.61,650.90
7000,0.247942,0.482585,430.09,473.12,7000,10,4,0.30,0.30,3,219.20,269.14,52.57,50.80,744.92,777.10
8000,0.244586,0.479180,480.58,540.13,8000,10,4,0.30,0.30,3,238.76,305.48,60.50,58.59,843.75,891.41
8998,0.241765,0.476452,568.55,665.97,9000,10,3,0.30,0.30,3,360.60,464.35,69.12,66.91,1051.84,1133.50
9999,0.239965,0.474249,617.88,735.61,10000,10,3,0.30,0.30,3,386.20,510.50,77.17,74.72,1157.86,1257.74
