K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.300978,0.534512,56.87,58.42,1000,10,1,0.30,0.30,3,49.66,50.32,7.18,7.95,121.44,129.77
2000,0.282827,0.516884,95.20,100.01,2000,10,1,0.30,0.30,3,81.91,86.12,13.37,13.74,215.58,223.51
3000,0.272023,0.506862,139.63,151.20,3000,10,1,0.30,0.30,3,119.09,130.45,20.33,20.39,322.43,334.30
4000,0.265746,0.500305,146.96,163.99,4000,10,1,0.30,0.30,3,119.87,136.88,27.07,26.83,390.59,405.19
4999,0.259530,0.494440,217.87,245.27,5000,10,1,0.30,0.30,3,181.22,209.60,36.27,35.29,543.93,562.45
6000,0.256340,0.490619,225.58,264.74,6000,10,1,0.30,0.30,3,180.90,220.93,44.37,43.00,624.61,650.90
7000,0.252162,0.486721,272.20,320.82,7000,10,1,0.30,0.30,3,219.20,269.14,52.57,50.80,744.92,777.10
8000,0.248864,0.483417,299.65,365.20,8000,10,1,0.30,0.30,3,238.76,305.48,60.50,58.59,843.75,891.41
8998,0.245370,0.480077,430.78,532.34,9000,10,1,0.30,0.30,3,360.60,464.35,69.12,66.91,1051.84,1133.50
9999,0.243489,0.477774,464.23,586.45,10000,10,1,0.30,0.30,3,386.20,510.50,77.17,74.72,1157.86,1257.74
