K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.300946,0.534566,166.36,163.29,1000,10,1,0.30,0.30,3,221.49,217.77,30.23,29.33,523.75,511.08
2000,0.282667,0.516955,253.85,249.03,2000,10,1,0.30,0.30,3,339.53,334.11,53.34,51.48,872.90,848.95
3000,0.271746,0.506754,403.77,396.17,3000,10,1,0.30,0.30,3,498.17,490.39,81.88,79.07,1316.95,1281.12
4000,0.265841,0.500489,456.25,447.40,4000,10,1,0.30,0.30,3,625.75,616.23,108.14,104.38,1707.19,1660.08
4999,0.259569,0.494483,652.97,641.01,5000,10,1,0.30,0.30,3,803.48,791.58,143.64,138.90,2239.91,2180.54
5999,0.256635,0.491044,804.63,789.92,6000,10,1,0.30,0.30,3,962.91,948.64,177.02,171.29,2733.14,2661.52
7000,0.252414,0.487032,879.81,863.80,7000,10,1,0.30,0.30,3,1194.71,1177.81,211.46,204.60,3309.32,3223.76
8000,0.249010,0.483751,1066.05,1046.92,8000,10,1,0.30,0.30,3,1378.37,1359.43,244.19,236.19,3820.29,3721.38
9000,0.245587,0.480385,1498.36,1473.51,9000,10,1,0.30,0.30,3,1712.39,1690.35,280.64,271.52,4518.75,4405.52
9998,0.243624,0.478004,1714.55,1686.81,10000,10,1,0.30,0.30,3,2204.51,2178.42,311.68,301.57,5321.33,5194.16
