#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
2280,2229.99,0.509516,0.903607,2281,0.625724,0.405498,8,6,-1.00,3000,8,4,1,3000,0.9,0.8,0.2,0.1,114058,4117,2296,159.80,480.54,1589.65,370.54
1578,1728.77,0.519506,0.911443,1578,0.627418,0.404024,8,6,-1.00,3000,8,4,1,5000,0.9,0.8,0.2,0.1,114058,2652,1582,173.34,475.26,1080.17,373.14
1534,1582.84,0.521453,0.914904,1534,0.631993,0.410737,8,6,-1.00,5000,8,4,1,3000,0.9,0.8,0.2,0.1,63431,2747,1547,173.94,363.91,1044.99,380.61
1291,1372.35,0.532230,0.920769,1291,0.633064,0.413573,8,6,-1.00,5000,8,4,1,5000,0.9,0.8,0.2,0.1,63431,2366,1293,173.82,357.51,841.02,378.15
980,1142.21,0.532750,0.926393,980,0.632670,0.417363,8,6,-1.00,8000,8,4,1,3000,0.9,0.8,0.2,0.1,36959,1756,986,173.17,329.01,640.03,383.41
951,1126.96,0.534015,0.925653,951,0.636244,0.419228,8,6,-1.00,8000,8,4,1,5000,0.9,0.8,0.2,0.1,36959,1725,955,174.14,331.68,621.14,380.30
21022,27366.88,0.511012,0.818047,21129,0.546080,0.336703,8,4,-1.00,1000,8,4,1,1000,0.9,0.8,0.2,0.1,572086,35064,21565,173.38,4233.48,22960.02,468.60
8750,8850.57,0.509932,0.849033,8763,0.567380,0.359529,8,4,-1.00,2000,8,4,1,2000,0.9,0.8,0.2,0.1,283179,15969,8869,174.75,1022.79,7653.03,426.72
6385,6357.78,0.507881,0.860976,6391,0.576400,0.368890,8,4,-1.00,3000,8,4,1,2000,0.9,0.8,0.2,0.1,186000,12042,6450,172.11,961.03,5224.64,398.22
4902,4900.07,0.507795,0.867414,4908,0.583817,0.373937,8,4,-1.00,4000,8,4,1,2000,0.9,0.8,0.2,0.1,137858,9421,4967,171.53,927.08,3801.46,391.65
5156,4950.80,0.509783,0.867316,5160,0.582529,0.373154,8,4,-1.00,3000,6,4,1,2000,0.9,0.8,0.2,0.1,186000,8992,5197,172.85,736.98,4040.97,400.03
6385,6379.02,0.507881,0.860976,6391,0.576400,0.368890,8,4,-1.00,3000,8,4,1,2000,0.9,0.8,0.2,0.1,186000,12042,6450,173.74,973.58,5231.70,399.48
7017,6786.29,0.512462,0.857160,7025,0.572939,0.365137,8,4,-1.00,2000,6,4,1,2000,0.9,0.8,0.2,0.1,283179,11935,7092,169.32,767.36,5849.61,415.58
