#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
-1,686.94,-1.000000,-1.000000,-1,-1.000000,-1.000000,8,4,-1.00,3000,10,4,1,2000,0.9,0.8,0.2,0.1,186000,14931,7271,174.11,512.83,0.00,0.00
10123,10510.93,0.5075,0.8452,10134,0.5635,0.3556,8,4,-1.00,2000,8,4,1,1000,0.9,0.8,0.2,0.1,283179,18298,10259,170.47,1560.93,8779.53,357.43
-1,1160.01,-1.000000,-1.000000,-1,-1.000000,-1.000000,16,4,-1.00,3000,6,4,1,1000,0.9,0.8,0.2,0.1,370361,28869,16397,317.50,842.51,0.00,0.00
-1,1364.87,-1.000000,-1.000000,-1,-1.000000,-1.000000,16,4,-1.00,3000,8,4,1,1000,0.9,0.8,0.2,0.1,370361,38467,20407,312.34,1052.53,0.00,0.00
21022,27366.88,0.5110,0.8180,21129,0.5461,0.3367,8,4,-1.00,1000,8,4,1,1000,0.9,0.8,0.2,0.1,572086,35064,21565,173.38,4233.48,22960.02,468.60
26645,42210.03,0.4907,0.8034,26812,0.5420,0.3332,16,4,-1.00,2000,8,4,1,2000,0.9,0.8,0.2,0.1,562417,50653,27716,241.38,6856.04,35112.61,507.73

#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
7017,6786.29,0.5125,0.8572,7025,0.5729,0.3651,8,4,-1.00,2000,6,4,1,2000,0.9,0.8,0.2,0.1,283179,11935,7092,169.32,767.36,5849.61,415.58
7855,8092.38,0.4986,0.8537,7864,0.5712,0.3643,12,4,-1.00,4000,6,4,1,2000,0.9,0.8,0.2,0.1,208711,14693,7940,239.04,1145.02,6708.32,403.72
7880,7645.22,0.4960,0.8653,7903,0.5809,0.3766,12,6,-1.00,2000,8,4,1,2000,0.9,0.8,0.2,0.1,285398,13116,7989,226.34,555.65,6863.23,335.23
8130,8166.63,0.5106,0.8522,8138,0.5686,0.3608,8,4,-1.00,2000,6,4,1,1000,0.9,0.8,0.2,0.1,283179,13698,8210,171.24,1302.91,6692.48,363.65
-1,729.24,-1.000000,-1.000000,-1,-1.000000,-1.000000,12,4,-1.00,4000,6,4,1,1000,0.9,0.8,0.2,0.1,208711,14662,7961,239.20,490.04,0.00,0.00
-1,686.94,-1.000000,-1.000000,-1,-1.000000,-1.000000,8,4,-1.00,3000,10,4,1,2000,0.9,0.8,0.2,0.1,186000,14931,7271,174.11,512.83,0.00,0.00

10123,10510.93,0.5075,0.8452,10134,0.5635,0.3556,8,4,-1.00,2000,8,4,1,1000,0.9,0.8,0.2,0.1,283179,18298,10259,170.47,1560.93,8779.53,357.43
10160,11220.53,0.4987,0.8439,10176,0.5645,0.3572,12,4,-1.00,3000,6,4,1,2000,0.9,0.8,0.2,0.1,280695,18796,10327,246.44,1856.53,9117.56,525.75
10501,10788.01,0.4992,0.8414,10523,0.5631,0.3556,12,4,-1.00,3000,6,4,1,1000,0.9,0.8,0.2,0.1,280695,19167,10663,245.63,1291.56,9250.82,560.04
11057,11909.58,0.4845,0.8535,11099,0.5720,0.3677,16,6,-1.00,2000,6,4,1,1000,0.9,0.8,0.2,0.1,374596,17142,11252,301.77,1865.95,9741.86,365.38
11817,12051.64,0.4853,0.8476,11876,0.5706,0.3661,16,6,-1.00,2000,8,4,1,2000,0.9,0.8,0.2,0.1,374596,19365,12120,302.58,939.69,10809.37,454.08
-1,1202.69,-1.000000,-1.000000,-1,-1.000000,-1.000000,12,4,-1.00,4000,10,4,1,2000,0.9,0.8,0.2,0.1,208711,24317,11000,218.86,983.83,0.00,0.00

13845,15211.82,0.5009,0.8318,13881,0.5560,0.3478,12,4,-1.00,2000,6,4,1,2000,0.9,0.8,0.2,0.1,425382,24798,14114,239.93,1606.92,13364.97,378.03
