#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
6025,5842.14,0.4942,0.8766,6032,0.5910,0.3875,16,6,-1.00,4000,8,4,1,2000,0.9,0.8,0.2,0.1,170702,10332,6106,311.47,691.88,4838.79,352.31
6310,6051.39,0.4999,0.8724,6318,0.5870,0.3825,12,6,-1.00,2000,6,4,1,2000,0.9,0.8,0.2,0.1,285398,9863,6358,222.32,424.24,5404.83,389.26
6385,6379.02,0.5079,0.8610,6391,0.5764,0.3689,8,4,-1.00,3000,8,4,1,2000,0.9,0.8,0.2,0.1,186000,12042,6450,173.74,973.58,5231.70,399.48
6493,6055.27,0.4906,0.8730,6506,0.5880,0.3844,16,6,-1.00,3000,6,4,1,2000,0.9,0.8,0.2,0.1,236868,10417,6570,317.71,519.19,5218.37,303.18
6597,6464.46,0.5088,0.8608,6601,0.5755,0.3680,8,4,-1.00,3000,8,4,1,1000,0.9,0.8,0.2,0.1,186000,12298,6669,172.42,972.75,5319.29,309.73

8130,8166.63,0.5106,0.8522,8138,0.5686,0.3608,8,4,-1.00,2000,6,4,1,1000,0.9,0.8,0.2,0.1,283179,13698,8210,171.24,1302.91,6692.48,363.65
8750,8801.72,0.5099,0.8490,8763,0.5674,0.3595,8,4,-1.00,2000,8,4,1,2000,0.9,0.8,0.2,0.1,283179,15969,8869,167.56,1001.86,7632.30,414.09
9236,8962.57,0.4900,0.8616,9262,0.5768,0.3724,12,6,-1.00,2000,8,4,1,1000,0.9,0.8,0.2,0.1,285398,15418,9376,244.08,551.62,8166.87,421.47
9401,9040.03,0.4903,0.8571,9439,0.5763,0.3719,16,6,-1.00,2000,6,4,1,2000,0.9,0.8,0.2,0.1,374596,14545,9570,292.35,621.31,8126.37,345.61

11057,11909.58,0.4845,0.8535,11099,0.5720,0.3677,16,6,-1.00,2000,6,4,1,1000,0.9,0.8,0.2,0.1,374596,17142,11252,301.77,1865.95,9741.86,365.38
11817,12051.64,0.4853,0.8476,11876,0.5706,0.3661,16,6,-1.00,2000,8,4,1,2000,0.9,0.8,0.2,0.1,374596,19365,12120,302.58,939.69,10809.37,454.08
11857,12912.71,0.4890,0.8378,11894,0.5606,0.3533,16,4,-1.00,4000,6,4,1,2000,0.9,0.8,0.2,0.1,274785,21911,12111,318.93,2018.02,10575.76,382.58
12015,12821.15,0.4887,0.8368,12042,0.5601,0.3527,16,4,-1.00,4000,6,4,1,1000,0.9,0.8,0.2,0.1,274785,22044,12268,271.40,1864.57,10685.18,394.97

13845,15211.82,0.5009,0.8318,13881,0.5560,0.3478,12,4,-1.00,2000,6,4,1,2000,0.9,0.8,0.2,0.1,425382,24798,14114,239.93,1606.92,13364.97,378.03
14641,16831.50,0.4864,0.8289,14699,0.5557,0.3481,16,4,-1.00,4000,8,4,1,2000,0.9,0.8,0.2,0.1,274785,29194,15023,321.23,2702.63,13807.64,396.85

15591,18329.65,0.4900,0.8273,15645,0.5543,0.3466,16,4,-1.00,3000,6,4,1,2000,0.9,0.8,0.2,0.1,370361,28424,15939,312.53,2966.00,15051.12,632.48
17154,21387.70,0.4987,0.8221,17230,0.5514,0.3429,12,4,-1.00,2000,8,4,1,2000,0.9,0.8,0.2,0.1,425382,33092,17599,212.70,3676.27,17498.73,412.33

19816,23298.04,0.4957,0.8170,19878,0.5477,0.3390,12,4,-1.00,2000,8,4,1,1000,0.9,0.8,0.2,0.1,425382,37876,20308,223.58,2216.66,20857.80,436.11
21022,27366.88,0.5110,0.8180,21129,0.5461,0.3367,8,4,-1.00,1000,8,4,1,1000,0.9,0.8,0.2,0.1,572086,35064,21565,173.38,4233.48,22960.02,468.60
