Random
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.366416,0.593872,302.80,280.85,1000,10,7,0.30,0.40,0,0.04,0.04,42.97,39.79,429.77,397.93
2000,0.341214,0.566265,588.26,535.60,2000,10,8,0.30,0.40,0,0.04,0.03,72.91,66.41,729.09,664.18
3000,0.325085,0.548226,1038.56,946.10,3000,10,9,0.30,0.40,0,0.04,0.04,115.03,104.79,1150.33,1047.90
4000,0.312415,0.534238,1282.61,1160.73,4000,10,9,0.30,0.40,0,0.04,0.03,142.08,128.54,1420.86,1285.43
5000,0.302864,0.523296,1943.73,1747.78,5000,10,10,0.30,0.40,0,0.04,0.05,194.37,174.77,1943.73,1747.78
6000,0.294770,0.514263,1932.60,1696.77,6000,10,8,0.30,0.40,0,0.04,0.03,240.08,210.89,2400.87,2108.93
7000,0.287981,0.506671,2857.06,2465.67,7000,10,10,0.30,0.40,0,0.04,0.04,285.70,246.56,2857.07,2465.67
8000,0.282304,0.499996,2952.95,2539.00,8000,10,9,0.30,0.40,0,0.04,0.04,327.29,281.37,3272.92,2813.71
9000,0.276952,0.493771,3336.13,2870.35,9000,10,9,0.30,0.40,0,0.04,0.04,369.71,317.47,3697.15,3174.75
9999,0.272422,0.488532,3726.51,3231.07,10000,10,9,0.30,0.40,0,0.04,0.05,412.97,358.21,4129.77,3582.12

K-Means++
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.368117,0.594886,1354.41,3463.95,1000,10,7,0.30,0.40,1,1052.73,3184.41,42.44,39.22,1477.14,3576.65
1999,0.341966,0.567433,2832.09,7023.89,2000,10,10,0.30,0.40,1,2107.23,6363.53,72.49,66.04,2832.09,7023.89
2999,0.325980,0.550453,4174.63,10473.39,3000,10,9,0.30,0.40,1,3157.52,9546.17,112.72,102.70,4284.70,10573.17
4000,0.313603,0.537154,5476.50,13886.52,4000,10,9,0.30,0.40,1,4215.41,12748.82,139.72,125.82,5612.62,14006.98
5000,0.303824,0.526675,7176.79,17646.94,5000,10,10,0.30,0.40,1,5268.17,15923.79,190.86,172.32,7176.79,17646.95
5999,0.295473,0.517509,8677.50,21218.34,6000,10,10,0.30,0.40,1,6330.41,19150.03,234.71,206.83,8677.51,21218.34
6999,0.288277,0.509449,10316.29,24941.11,7000,10,10,0.30,0.40,1,7518.39,22496.18,279.79,244.49,10316.29,24941.11
7999,0.282321,0.502852,11820.97,28513.12,8000,10,10,0.30,0.40,1,8610.61,25726.10,321.04,278.70,11820.97,28513.13
9000,0.276861,0.496888,13242.28,31983.84,9000,10,10,0.30,0.40,1,9611.57,28874.96,363.07,310.89,13242.29,31983.85
10000,0.272190,0.491775,14593.82,35362.18,10000,10,10,0.30,0.40,1,10545.50,31908.71,404.83,345.35,14593.83,35362.18

K-Means||
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.358780,0.585513,694.96,633.83,1000,10,8,0.30,0.40,2,369.42,329.59,40.46,37.69,774.01,706.47
2000,0.331839,0.556705,1262.64,1130.92,2000,10,7,0.30,0.40,2,761.23,678.20,70.75,64.05,1468.68,1318.68
3000,0.316768,0.540175,2096.16,1896.91,3000,10,8,0.30,0.40,2,1193.75,1075.10,112.11,101.75,2314.85,2092.60
4000,0.305984,0.528462,2708.42,2445.77,4000,10,8,0.30,0.40,2,1592.61,1436.51,138.56,125.14,2978.17,2687.92
5000,0.295237,0.517435,3898.60,3516.29,5000,10,10,0.30,0.40,2,2023.41,1832.16,187.52,168.41,3898.61,3516.29
5999,0.287674,0.508721,4762.86,4272.68,6000,10,10,0.30,0.40,2,2458.12,2220.66,230.47,205.20,4762.86,4272.68
7000,0.281512,0.501908,5413.59,4885.95,7000,10,9,0.30,0.40,2,2934.73,2697.86,274.73,242.45,5681.99,5122.39
7999,0.274663,0.494137,6258.16,5644.74,8000,10,9,0.30,0.40,2,3415.61,3147.99,315.02,276.30,6565.81,5910.98
9000,0.270286,0.489156,7357.72,6595.95,9000,10,10,0.30,0.40,2,3801.57,3503.63,355.62,309.23,7357.73,6595.96
10000,0.265592,0.484118,7409.57,6660.02,10000,10,8,0.30,0.40,2,4207.05,3879.91,398.07,345.29,8187.71,7332.81

SILK
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.349405,0.573110,381.35,359.41,1000,10,5,0.30,0.40,3,173.79,165.74,41.42,38.58,587.96,551.56
2000,0.321939,0.542507,708.86,658.33,2000,10,6,0.30,0.40,3,278.12,265.67,71.73,65.40,995.41,919.67
3000,0.307175,0.525914,1148.39,1065.36,3000,10,7,0.30,0.40,3,344.12,330.69,114.78,104.78,1491.87,1378.50
4000,0.295953,0.513272,1550.36,1433.47,4000,10,8,0.30,0.40,3,423.02,408.84,140.92,128.01,1832.23,1688.89

1000,0.358280,0.579493,367.00,346.78,1000,10,6,0.30,0.40,3,116.66,111.14,41.76,39.05,534.22,501.66
1000,0.352443,0.576131,368.39,344.35,1000,10,6,0.30,0.40,3,118.33,113.09,41.56,38.52,533.89,498.32
1000,0.352590,0.575820,555.54,519.95,1000,10,10,0.30,0.40,3,142.38,136.25,41.32,38.37,555.54,519.95
1000,0.351464,0.575093,391.35,365.59,1000,10,6,0.30,0.40,3,143.67,137.65,41.25,38.04,556.20,518.08
1000,0.352296,0.576762,360.41,339.19,1000,10,5,0.30,0.40,3,153.41,147.10,41.37,38.38,567.14,530.85
1000,0.352624,0.576322,361.29,341.14,1000,10,5,0.30,0.40,3,153.96,147.21,41.33,38.56,567.22,532.79
1000,0.354513,0.577734,474.71,445.20,1000,10,8,0.30,0.40,3,143.59,136.71,41.37,38.41,557.27,520.77
1000,0.350853,0.574880,440.57,416.13,1000,10,7,0.30,0.40,3,150.27,143.87,41.38,38.68,564.06,530.70
1000,0.353442,0.577207,401.54,378.10,1000,10,6,0.30,0.40,3,152.21,145.35,41.48,38.73,567.04,532.65
1000,0.352781,0.576806,440.11,411.59,1000,10,7,0.30,0.40,3,152.82,145.81,41.01,37.90,562.90,524.83
1000,0.354189,0.577216,480.20,454.94,1000,10,7,0.30,0.40,3,190.14,182.17,41.42,38.77,604.35,569.87
1000,0.350521,0.574681,501.97,470.30,1000,10,8,0.30,0.40,3,170.30,162.58,41.46,38.42,584.91,546.75
1000,0.352007,0.576582,426.99,401.66,1000,10,6,0.30,0.40,3,178.58,171.52,41.47,38.46,593.31,556.09
1000,0.350425,0.574413,419.67,395.22,1000,10,6,0.30,0.40,3,170.90,163.26,41.38,38.46,584.69,547.87
1000,0.351489,0.576035,514.30,483.59,1000,10,8,0.30,0.40,3,184.10,176.61,41.29,38.39,596.95,560.53
1000,0.350347,0.574354,609.77,574.28,1000,10,10,0.30,0.40,3,194.24,186.41,41.55,38.79,609.77,574.28
1000,0.350894,0.575030,435.16,409.80,1000,10,6,0.30,0.40,3,185.47,178.30,41.59,38.73,601.35,565.58
1000,0.351481,0.576163,490.89,463.07,1000,10,7,0.30,0.40,3,200.01,191.83,41.48,38.74,614.81,579.28
1000,0.349405,0.573110,381.35,359.41,1000,10,5,0.30,0.40,3,173.79,165.74,41.42,38.58,587.96,551.56
1000,0.352848,0.577067,482.71,455.29,1000,10,7,0.30,0.40,3,193.21,184.60,41.30,38.55,606.16,570.12
1000,0.350352,0.575169,450.41,424.38,1000,10,6,0.30,0.40,3,201.29,193.12,41.40,38.58,615.30,578.91
1000,0.352035,0.575650,493.55,463.77,1000,10,7,0.30,0.40,3,204.48,196.35,41.24,38.29,616.87,579.20
1000,0.351222,0.574873,462.25,433.51,1000,10,6,0.30,0.40,3,213.27,203.50,41.41,38.28,627.32,586.33
999,0.350675,0.574956,444.18,417.16,1000,10,6,0.30,0.40,3,193.48,184.14,41.73,38.65,610.82,570.63
1000,0.350362,0.575229,387.40,366.57,1000,10,5,0.30,0.40,3,179.22,171.23,41.55,38.91,594.73,560.37
1000,0.350677,0.574309,517.27,488.42,1000,10,7,0.30,0.40,3,226.47,216.82,41.44,38.64,640.89,603.26
1000,0.350664,0.574667,440.99,414.34,1000,10,6,0.30,0.40,3,193.88,184.53,41.17,38.38,605.59,568.31
1000,0.351938,0.575321,488.28,461.24,1000,10,6,0.30,0.40,3,241.05,230.94,41.17,38.27,652.77,613.66
1000,0.350458,0.574625,493.11,463.40,1000,10,7,0.30,0.40,3,203.79,194.03,41.32,38.48,616.98,578.82
1000,0.353157,0.577733,485.99,458.79,1000,10,7,0.30,0.40,3,196.60,188.28,41.23,38.54,608.87,573.71
1000,0.353203,0.578362,450.70,426.14,1000,10,6,0.30,0.40,3,201.57,193.05,41.34,38.40,614.99,577.09
1000,0.349837,0.573944,504.76,478.12,1000,10,6,0.30,0.40,3,255.69,245.79,41.43,38.63,669.97,632.09
999,0.353540,0.578703,452.33,426.30,1000,10,6,0.30,0.40,3,202.41,194.07,41.70,38.70,619.41,581.11
1000,0.350885,0.574892,489.62,460.97,1000,10,7,0.30,0.40,3,199.88,191.45,41.34,38.55,613.30,576.92
1000,0.351985,0.575879,487.54,457.53,1000,10,7,0.30,0.40,3,199.12,190.15,41.10,38.09,610.16,571.08
1000,0.353402,0.577236,449.27,421.72,1000,10,6,0.30,0.40,3,201.63,191.91,41.30,38.43,614.65,576.22
1000,0.352959,0.577161,449.33,421.24,1000,10,6,0.30,0.40,3,199.54,189.46,41.47,38.44,614.25,573.90
1000,0.352264,0.576734,501.04,472.21,1000,10,7,0.30,0.40,3,211.00,201.58,41.37,38.63,624.65,587.90

2000,0.324017,0.544342,714.17,662.67,2000,10,7,0.30,0.40,3,215.79,207.18,71.16,65.01,927.43,857.29
2000,0.324563,0.544817,594.30,553.78,2000,10,5,0.30,0.40,3,235.49,226.69,71.63,65.35,951.75,880.20
2000,0.325891,0.545939,789.21,730.23,2000,10,8,0.30,0.40,3,213.98,205.65,71.86,65.58,932.59,861.42
2000,0.324368,0.545369,749.15,698.18,2000,10,7,0.30,0.40,3,247.08,238.83,71.66,65.51,963.67,893.94
2000,0.324765,0.545366,754.20,700.00,2000,10,7,0.30,0.40,3,252.33,241.59,71.67,65.49,969.00,896.53
2000,0.327039,0.549674,724.02,674.93,2000,10,7,0.30,0.40,3,225.03,217.54,71.20,65.19,937.02,869.48
1999,0.326313,0.548696,800.38,743.69,2000,10,8,0.30,0.40,3,226.39,218.64,71.73,65.58,943.69,874.41
2000,0.325088,0.546223,723.29,672.99,2000,10,7,0.30,0.40,3,223.47,216.02,71.37,65.22,937.13,868.22
2000,0.324687,0.545505,745.09,690.85,2000,10,7,0.30,0.40,3,243.84,234.18,71.56,65.20,959.41,886.23
2000,0.325353,0.546654,740.62,689.40,2000,10,7,0.30,0.40,3,241.20,232.14,71.33,65.07,954.54,882.83
2000,0.326429,0.547298,875.52,811.61,2000,10,9,0.30,0.40,3,233.80,224.23,71.29,65.28,946.73,876.99
