K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.387071,0.616139,464.77,436.95,1000,10,9,0.10,0.10,0,0.04,0.03,51.64,48.59,516.46,485.91
1000,0.373398,0.601096,389.69,364.88,1000,10,8,0.10,0.20,0,0.04,0.03,48.77,45.77,487.72,457.78
1000,0.368505,0.596086,370.23,348.29,1000,10,8,0.10,0.30,0,0.04,0.04,46.08,43.34,460.88,433.47
999,0.369674,0.596699,458.84,429.13,1000,10,10,0.10,0.40,0,0.04,0.04,45.88,42.91,458.84,429.13
997,0.371761,0.599232,313.67,293.10,1000,10,7,0.10,0.50,0,0.04,0.03,44.47,41.59,444.72,415.94
993,0.375283,0.603363,344.66,318.25,1000,10,8,0.10,0.60,0,0.04,0.02,42.72,39.63,427.22,396.28
961,0.382196,0.611162,262.43,244.24,1000,10,6,0.10,0.70,0,0.04,0.03,43.11,40.28,431.11,402.87
881,0.390656,0.620693,255.64,237.96,1000,10,6,0.10,0.80,0,0.04,0.04,41.67,38.95,416.72,389.50
718,0.404997,0.637187,313.06,289.85,1000,10,9,0.10,0.90,0,0.04,0.03,34.46,31.90,344.61,319.00
1000,0.368521,0.596517,331.66,311.94,1000,10,7,0.20,0.10,0,0.04,0.04,47.50,44.68,475.05,446.89
1000,0.367502,0.595517,448.95,421.30,1000,10,10,0.20,0.20,0,0.04,0.04,44.89,42.13,448.95,421.30
1000,0.366058,0.593818,402.44,375.41,1000,10,9,0.20,0.30,0,0.04,0.03,44.67,41.62,446.69,416.23
1000,0.367337,0.594478,308.59,284.94,1000,10,7,0.20,0.40,0,0.04,0.04,43.61,40.29,436.19,402.96
998,0.369579,0.597394,375.32,349.11,1000,10,9,0.20,0.50,0,0.04,0.04,41.67,38.67,416.70,386.78
986,0.372888,0.601301,380.25,352.77,1000,10,9,0.20,0.60,0,0.04,0.04,42.11,39.04,421.09,390.48
945,0.380214,0.609687,292.99,273.74,1000,10,7,0.20,0.70,0,0.04,0.04,41.41,38.65,414.19,386.59
818,0.390463,0.620867,333.92,309.02,1000,10,9,0.20,0.80,0,0.04,0.04,36.90,34.13,369.06,341.33
667,0.411195,0.642794,295.36,273.80,1000,10,9,0.20,0.90,0,0.04,0.04,32.43,30.09,324.33,300.97
1000,0.365577,0.593621,350.50,324.83,1000,10,8,0.30,0.10,0,0.04,0.03,43.74,40.58,437.46,405.79
1000,0.365432,0.593509,349.90,324.76,1000,10,8,0.30,0.20,0,0.04,0.03,43.70,40.71,437.04,407.17
1000,0.365530,0.593558,345.08,318.62,1000,10,8,0.30,0.30,0,0.04,0.03,42.97,39.78,429.73,397.85
1000,0.366416,0.593872,293.95,272.79,1000,10,7,0.30,0.40,0,0.04,0.03,41.51,38.44,415.09,384.38
997,0.369114,0.597274,327.82,302.88,1000,10,8,0.30,0.50,0,0.04,0.03,40.68,37.52,406.87,375.21
979,0.372994,0.601745,289.87,268.43,1000,10,7,0.30,0.60,0,0.04,0.03,40.79,37.90,407.92,379.05
925,0.380516,0.610281,280.98,258.58,1000,10,7,0.30,0.70,0,0.04,0.03,39.62,36.46,396.27,364.61
