#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
11570,615.38,0.415122,0.742384,11571,0.531023,0.328896,8,4,-1.00,1000,6,4,1,1000,0.9,0.8,0.3,0.4,61655,43218,13549,14.50,82.09,518.79,12.73
5499,319.59,0.427510,0.765188,5501,0.559874,0.354645,8,4,-1.00,1000,6,4,1,2000,0.9,0.8,0.3,0.4,61655,20331,6471,14.63,86.26,218.70,12.75
8870,462.17,0.420577,0.760993,8871,0.544063,0.339837,8,4,-1.00,1000,6,6,1,1000,0.9,0.8,0.3,0.4,61655,29571,10054,14.52,74.14,373.51,12.80
4195,240.83,0.429264,0.778414,4195,0.571898,0.364841,8,4,-1.00,1000,6,6,1,2000,0.9,0.8,0.3,0.4,61655,13877,4769,14.46,73.37,153.00,12.78
12657,711.32,0.414245,0.739783,12658,0.526049,0.324105,8,4,-1.00,1000,8,4,1,1000,0.9,0.8,0.3,0.4,61655,57553,15290,14.50,109.12,587.70,12.62
6058,372.66,0.425005,0.756868,6058,0.554275,0.349041,8,4,-1.00,1000,8,4,1,2000,0.9,0.8,0.3,0.4,61655,27051,7317,14.48,106.82,251.36,12.69
9782,542.85,0.417742,0.754892,9784,0.539606,0.336020,8,4,-1.00,1000,8,6,1,1000,0.9,0.8,0.3,0.4,61655,39390,11430,14.46,90.05,438.34,12.78
4649,284.44,0.425414,0.771153,4650,0.567536,0.361327,8,4,-1.00,1000,8,6,1,2000,0.9,0.8,0.3,0.4,61655,18451,5441,14.51,89.85,180.08,12.75
13123,754.41,0.414818,0.738353,13123,0.524374,0.322746,8,4,-1.00,1000,10,4,1,1000,0.9,0.8,0.3,0.4,61655,71969,15951,14.55,129.58,610.28,12.68
6251,408.21,0.426750,0.757923,6251,0.553288,0.348377,8,4,-1.00,1000,10,4,1,2000,0.9,0.8,0.3,0.4,61655,33709,7638,14.62,127.65,265.94,12.75
10147,582.36,0.418187,0.753209,10147,0.536027,0.332682,8,4,-1.00,1000,10,6,1,1000,0.9,0.8,0.3,0.4,61655,49258,11997,14.45,107.45,460.46,12.68
4874,315.28,0.427534,0.771032,4874,0.563460,0.357279,8,4,-1.00,1000,10,6,1,2000,0.9,0.8,0.3,0.4,61655,23125,5738,14.49,106.59,194.20,12.78
6564,356.74,0.427250,0.757762,6564,0.551327,0.346439,8,4,-1.00,2000,6,4,1,1000,0.9,0.8,0.3,0.4,30092,23948,7749,14.54,75.40,266.80,12.60
5490,305.29,0.428453,0.763282,5491,0.558565,0.353184,8,4,-1.00,2000,6,4,1,2000,0.9,0.8,0.3,0.4,30092,20554,6467,14.43,69.56,221.30,13.08
4831,265.95,0.428671,0.775257,4831,0.566727,0.360151,8,4,-1.00,2000,6,6,1,1000,0.9,0.8,0.3,0.4,30092,15738,5526,14.46,66.44,185.05,12.70
4151,227.83,0.428395,0.778229,4151,0.571560,0.364235,8,4,-1.00,2000,6,6,1,2000,0.9,0.8,0.3,0.4,30092,13913,4729,14.43,61.18,152.22,12.74
7249,413.25,0.426930,0.755074,7249,0.547378,0.343165,8,4,-1.00,2000,8,4,1,1000,0.9,0.8,0.3,0.4,30092,31887,8823,14.51,91.74,307.00,12.70
6024,358.20,0.426938,0.759597,6024,0.554798,0.349616,8,4,-1.00,2000,8,4,1,2000,0.9,0.8,0.3,0.4,30092,27351,7308,14.50,91.95,251.75,12.75
5371,309.84,0.428037,0.771032,5371,0.564464,0.358987,8,4,-1.00,2000,8,6,1,1000,0.9,0.8,0.3,0.4,30092,20922,6320,14.41,80.62,214.81,12.74
4596,271.88,0.426519,0.772036,4596,0.568646,0.362415,8,4,-1.00,2000,8,6,1,2000,0.9,0.8,0.3,0.4,30092,18507,5392,14.48,80.40,177.00,12.86
7508,454.34,0.425530,0.752513,7508,0.546168,0.342051,8,4,-1.00,2000,10,4,1,1000,0.9,0.8,0.3,0.4,30092,39767,9226,14.56,108.76,331.02,12.59
6263,375.98,0.424583,0.755335,6264,0.553142,0.348473,8,4,-1.00,2000,10,4,1,2000,0.9,0.8,0.3,0.4,30092,34107,7615,14.46,99.24,262.28,12.67
5618,339.74,0.427698,0.769097,5619,0.560684,0.355040,8,4,-1.00,2000,10,6,1,1000,0.9,0.8,0.3,0.4,30092,26172,6654,14.43,95.01,230.30,12.63
4803,297.88,0.425967,0.772062,4803,0.566257,0.360142,8,4,-1.00,2000,10,6,1,2000,0.9,0.8,0.3,0.4,30092,23189,5671,14.52,95.23,188.13,12.69
4230,242.48,0.433781,0.768380,4230,0.567424,0.360984,8,4,-1.00,3000,6,4,1,1000,0.9,0.8,0.3,0.4,19324,15326,4985,14.41,69.41,158.66,12.72
4172,240.80,0.432839,0.769528,4172,0.568630,0.362373,8,4,-1.00,3000,6,4,1,2000,0.9,0.8,0.3,0.4,19324,15261,4922,14.46,69.26,157.08,12.75
3074,182.53,0.433642,0.784132,3074,0.583177,0.374842,8,4,-1.00,3000,6,6,1,1000,0.9,0.8,0.3,0.4,19324,9958,3501,14.40,62.41,105.72,12.19
3046,182.62,0.435204,0.785826,3046,0.584446,0.376084,8,4,-1.00,3000,6,6,1,2000,0.9,0.8,0.3,0.4,19324,9954,3485,14.53,62.62,105.47,12.24
4683,284.15,0.432329,0.764100,4683,0.563587,0.357382,8,4,-1.00,3000,8,4,1,1000,0.9,0.8,0.3,0.4,19324,20394,5682,14.44,83.98,185.73,12.78
4624,275.70,0.431761,0.765926,4625,0.563768,0.357588,8,4,-1.00,3000,8,4,1,2000,0.9,0.8,0.3,0.4,19324,20311,5602,14.42,78.03,183.25,12.68
3396,203.23,0.432853,0.778066,3396,0.580518,0.373185,8,4,-1.00,3000,8,6,1,1000,0.9,0.8,0.3,0.4,19324,13187,3997,14.43,75.41,113.39,12.28
