#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
1701,100.07,0.4130,0.8011,1701,0.6072,0.4000,8,8,-1.00,3000,6,6,1,2000,0.9,0.8,0.3,0.4,18619,5079,2071,14.05,30.91,55.11,12.62
1720,100.83,0.4118,0.8027,1720,0.6045,0.3966,8,8,-1.00,3000,6,6,1,1000,0.9,0.8,0.3,0.4,18619,5094,2092,14.04,31.03,55.76,12.31
1945,125.37,0.4043,0.7964,1945,0.5978,0.3899,8,8,-1.00,3000,8,6,1,2000,0.9,0.8,0.3,0.4,18619,6793,2453,14.05,38.64,72.67,12.11
1956,126.16,0.4037,0.7967,1956,0.5973,0.3888,8,8,-1.00,3000,8,6,1,1000,0.9,0.8,0.3,0.4,18619,6810,2483,14.10,38.73,73.33,12.81
2039,136.19,0.4033,0.7943,2039,0.5957,0.3875,8,8,-1.00,3000,10,6,1,2000,0.9,0.8,0.3,0.4,18619,8440,2633,14.08,46.70,75.41,12.18
2102,129.91,0.4030,0.7940,2102,0.5948,0.3865,8,8,-1.00,3000,10,6,1,1000,0.9,0.8,0.3,0.4,18619,8463,2670,14.06,41.13,74.72,12.17
2239,125.37,0.4020,0.7929,2239,0.5933,0.3851,8,8,-1.00,2000,6,6,1,2000,0.9,0.8,0.3,0.4,30512,6952,2750,14.06,33.84,77.47,12.19
2257,131.88,0.4129,0.7952,2257,0.5916,0.3835,8,6,-1.00,3000,6,6,1,2000,0.9,0.8,0.3,0.4,20337,7107,2745,14.10,43.56,74.22,12.30
2292,133.88,0.4002,0.7914,2292,0.5914,0.3828,8,8,-1.00,1000,6,6,1,2000,0.9,0.8,0.3,0.4,67060,6989,2796,14.01,39.07,80.80,12.57
2296,135.16,0.4110,0.7921,2296,0.5913,0.3831,8,6,-1.00,3000,6,6,1,1000,0.9,0.8,0.3,0.4,20337,7127,2770,14.03,43.63,77.50,12.62
2506,172.03,0.3946,0.7843,2506,0.5874,0.3825,12,8,-1.00,3000,6,6,1,2000,0.9,0.8,0.3,0.4,27989,9456,3463,21.47,43.79,106.77,12.44
2540,156.44,0.3978,0.7855,2540,0.5885,0.3814,8,8,-1.00,2000,8,6,1,2000,0.9,0.8,0.3,0.4,30512,9308,3237,14.11,43.01,99.32,12.21
2545,159.43,0.4088,0.7876,2545,0.5836,0.3755,8,6,-1.00,3000,8,6,1,2000,0.9,0.8,0.3,0.4,20337,9442,3192,14.04,48.19,97.20,12.33
2555,151.77,0.3884,0.7763,2555,0.5857,0.3786,8,8,-1.00,3000,6,4,1,2000,0.9,0.8,0.3,0.4,18619,9173,3318,13.90,35.30,102.57,12.32
2582,165.05,0.4128,0.7904,2583,0.5829,0.3753,8,6,-1.00,3000,8,6,1,1000,0.9,0.8,0.3,0.4,20337,9466,3223,14.00,53.15,97.90,12.24
2600,174.74,0.3903,0.7813,2600,0.5853,0.3795,12,8,-1.00,3000,6,6,1,1000,0.9,0.8,0.3,0.4,27989,9503,3559,21.45,43.69,109.60,12.43
2603,165.84,0.3988,0.7879,2603,0.5871,0.3800,8,8,-1.00,1000,8,6,1,2000,0.9,0.8,0.3,0.4,67060,9357,3297,14.05,49.60,102.19,12.15
2668,180.64,0.4059,0.7835,2668,0.5821,0.3742,8,6,-1.00,3000,10,6,1,2000,0.9,0.8,0.3,0.4,20337,11785,3389,14.14,62.87,103.63,12.22
