Parameters currently used
#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
4680,318.68,0.3923,0.7550,4680,0.5581,0.3546,12,6,-1.00,3000,6,4,1,2000,0.9,0.8,0.3,0.4,30554,20686,6550,23.58,69.31,225.79,12.72
5233,377.64,0.3894,0.7493,5235,0.5532,0.3506,12,6,-1.00,3000,8,4,1,2000,0.9,0.8,0.3,0.4,30554,27629,7649,23.44,86.43,267.77,12.64
6772,504.04,0.3814,0.7405,6773,0.5424,0.3412,12,6,-1.00,2000,10,4,1,2000,0.9,0.8,0.3,0.4,48913,44891,10018,23.56,119.01,361.47,12.71
8764,606.04,0.3817,0.7344,8765,0.5318,0.3318,12,6,-1.00,2000,8,4,1,1000,0.9,0.8,0.3,0.4,48913,45803,12947,23.41,98.18,484.45,12.78
10321,612.47,0.3835,0.7392,10323,0.5284,0.3280,8,6,-1.00,1000,8,4,1,1000,0.9,0.8,0.3,0.4,69289,45747,13429,14.15,80.90,517.42,12.61
10657,707.37,0.3595,0.7284,10659,0.5250,0.3268,12,8,-1.00,1000,6,4,1,1000,0.9,0.8,0.3,0.4,100957,48341,15574,23.23,76.88,607.26,12.54
12036,896.57,0.3552,0.7191,12038,0.5193,0.3220,12,8,-1.00,1000,10,4,1,1000,0.9,0.8,0.3,0.4,100957,80319,19160,23.48,121.40,751.69,13.06
13238,837.93,0.3750,0.7258,13240,0.5150,0.3170,12,6,-1.00,1000,6,4,1,1000,0.9,0.8,0.3,0.4,104472,58917,18378,22.68,92.87,722.38,12.57
14542,989.24,0.3721,0.7186,14543,0.5102,0.3131,12,6,-1.00,1000,8,4,1,1000,0.9,0.8,0.3,0.4,104472,78560,21157,23.53,127.95,837.76,12.62
14542,989.24,0.3721,0.7186,14543,0.5102,0.3131,12,6,-1.00,1000,8,4,1,1000,0.9,0.8,0.3,0.4,104472,78560,21157,23.53,127.95,837.76,12.62

Parameters for all
#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
4401,287.69,0.3896,0.7663,4402,0.5629,0.3584,12,6,-1.00,2000,6,6,1,2000,0.9,0.8,0.3,0.4,48913,17938,5824,23.66,66.76,197.27,12.73
4444,248.03,0.3825,0.7637,4444,0.5632,0.3591,8,8,-1.00,2000,6,4,1,1000,0.9,0.8,0.3,0.4,30512,15502,5751,13.92,39.75,194.36,12.67
4680,318.68,0.3923,0.7550,4680,0.5581,0.3546,12,6,-1.00,3000,6,4,1,2000,0.9,0.8,0.3,0.4,30554,20686,6550,23.58,69.31,225.79,12.72
4766,307.19,0.4244,0.7669,4766,0.5609,0.3556,12,4,-1.00,3000,6,6,1,1000,0.9,0.8,0.3,0.4,29787,18299,5879,23.89,88.74,194.56,12.91
4817,310.00,0.4335,0.7629,4817,0.5624,0.3564,8,4,-1.00,3000,10,4,1,1000,0.9,0.8,0.3,0.4,19324,25420,5938,14.43,99.68,195.89,12.71
4846,311.00,0.3945,0.7610,4847,0.5587,0.3549,8,6,-1.00,2000,10,4,1,2000,0.9,0.8,0.3,0.4,32571,26171,6405,14.01,79.39,217.60,12.58

5233,377.64,0.3894,0.7493,5235,0.5532,0.3506,12,6,-1.00,3000,8,4,1,2000,0.9,0.8,0.3,0.4,30554,27629,7649,23.44,86.43,267.77,12.64
5385,390.56,0.3908,0.7477,5386,0.5525,0.3500,12,6,-1.00,3000,10,4,1,2000,0.9,0.8,0.3,0.4,30554,34579,8068,23.55,104.33,262.68,12.80
5400,374.57,0.3901,0.7490,5400,0.5526,0.3502,12,6,-1.00,3000,8,4,1,1000,0.9,0.8,0.3,0.4,30554,28014,8034,23.65,86.81,264.11,12.59
5497,312.79,0.3994,0.7645,5497,0.5543,0.3508,8,6,-1.00,2000,6,4,1,1000,0.9,0.8,0.3,0.4,32571,19621,6924,14.16,54.43,244.20,12.60
5949,367.91,0.3851,0.7513,5949,0.5494,0.3473,12,6,-1.00,2000,6,4,1,2000,0.9,0.8,0.3,0.4,48913,26892,8235,23.25,77.75,266.91,12.61
5985,386.43,0.3875,0.7516,5987,0.5489,0.3469,12,6,-1.00,1000,6,4,1,2000,0.9,0.8,0.3,0.4,104472,26606,8283,23.43,90.00,273.00,12.86

6340,379.50,0.4224,0.7514,6341,0.5472,0.3432,12,4,-1.00,3000,6,4,1,1000,0.9,0.8,0.3,0.4,29787,26670,8170,24.08,99.05,256.37,12.88
6585,495.27,0.3829,0.7437,6586,0.5442,0.3429,12,6,-1.00,1000,8,4,1,2000,0.9,0.8,0.3,0.4,104472,35551,9605,23.56,124.08,347.63,12.74
6772,504.04,0.3814,0.7405,6773,0.5424,0.3412,12,6,-1.00,2000,10,4,1,2000,0.9,0.8,0.3,0.4,48913,44891,10018,23.56,119.01,361.47,12.71
6826,465.28,0.4210,0.7443,6829,0.5451,0.3415,12,4,-1.00,3000,8,4,1,2000,0.9,0.8,0.3,0.4,29787,35276,9084,24.10,123.32,317.86,12.68
6882,543.02,0.3840,0.7411,6883,0.5421,0.3405,12,6,-1.00,1000,10,4,1,2000,0.9,0.8,0.3,0.4,104472,44404,10132,23.64,151.23,368.15,12.63

7954,510.05,0.3869,0.7434,7954,0.5373,0.3366,12,6,-1.00,2000,6,4,1,1000,0.9,0.8,0.3,0.4,48913,34347,11139,23.81,72.01,414.23,12.65
8045,498.47,0.4172,0.7441,8048,0.5390,0.3360,12,4,-1.00,2000,6,4,1,2000,0.9,0.8,0.3,0.4,46390,35008,10261,23.93,109.51,365.03,12.67
8608,544.80,0.3686,0.7403,8609,0.5357,0.3353,8,8,-1.00,1000,10,4,1,1000,0.9,0.8,0.3,0.4,67060,45652,11820,14.09,75.05,455.66,12.55
8648,568.35,0.4155,0.7478,8650,0.5376,0.3349,12,4,-1.00,2000,10,6,1,1000,0.9,0.8,0.3,0.4,46390,48231,11107,24.05,132.63,411.67,12.81
8764,606.04,0.3817,0.7344,8765,0.5318,0.3318,12,6,-1.00,2000,8,4,1,1000,0.9,0.8,0.3,0.4,48913,45803,12947,23.41,98.18,484.45,12.78

9047,636.83,0.4142,0.7349,9049,0.5332,0.3306,12,4,-1.00,2000,10,4,1,2000,0.9,0.8,0.3,0.4,46390,58258,12067,24.02,165.05,447.75,12.74
9907,604.87,0.4162,0.7389,9911,0.5303,0.3282,12,4,-1.00,2000,6,4,1,1000,0.9,0.8,0.3,0.4,46390,41857,12682,23.63,110.63,470.61,12.83
10321,612.47,0.3835,0.7392,10323,0.5284,0.3280,8,6,-1.00,1000,8,4,1,1000,0.9,0.8,0.3,0.4,69289,45747,13429,14.15,80.90,517.42,12.61
10691,647.81,0.3860,0.7421,10694,0.5256,0.3257,8,6,-1.00,1000,10,4,1,1000,0.9,0.8,0.3,0.4,69289,57144,14085,14.43,87.82,545.56,12.61

10657,707.37,0.3595,0.7284,10659,0.5250,0.3268,12,8,-1.00,1000,6,4,1,1000,0.9,0.8,0.3,0.4,100957,48341,15574,23.23,76.88,607.26,12.54
10845,702.74,0.4139,0.7337,10846,0.5256,0.3242,12,4,-1.00,2000,8,4,1,1000,0.9,0.8,0.3,0.4,46390,55778,14485,23.66,139.17,539.91,12.75

11248,756.30,0.4133,0.7298,11248,0.5241,0.3227,12,4,-1.00,2000,10,4,1,1000,0.9,0.8,0.3,0.4,46390,69691,15154,23.87,166.18,566.25,12.81
12036,896.57,0.3552,0.7191,12038,0.5193,0.3220,12,8,-1.00,1000,10,4,1,1000,0.9,0.8,0.3,0.4,100957,80319,19160,23.48,121.40,751.69,13.06

12036,896.57,0.3552,0.7191,12038,0.5193,0.3220,12,8,-1.00,1000,10,4,1,1000,0.9,0.8,0.3,0.4,100957,80319,19160,23.48,121.40,751.69,13.06
13238,837.93,0.3750,0.7258,13240,0.5150,0.3170,12,6,-1.00,1000,6,4,1,1000,0.9,0.8,0.3,0.4,104472,58917,18378,22.68,92.87,722.38,12.57

