K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.358864,0.585595,576.76,523.53,1000,10,5,0.30,0.40,2,369.42,329.59,40.46,37.69,774.01,706.47
2000,0.331890,0.556744,1125.37,1006.09,2000,10,5,0.30,0.40,2,761.23,678.20,70.75,64.05,1468.68,1318.68
3000,0.316803,0.540211,1768.35,1597.87,3000,10,5,0.30,0.40,2,1193.75,1075.10,112.11,101.75,2314.85,2092.60
4000,0.306055,0.528525,2303.85,2079.80,4000,10,5,0.30,0.40,2,1592.61,1436.51,138.56,125.14,2978.17,2687.92
5000,0.295301,0.517498,2983.47,2687.37,5000,10,5,0.30,0.40,2,2023.41,1832.16,187.52,168.41,3898.61,3516.29
5999,0.287802,0.508854,3639.36,3277.45,6000,10,5,0.30,0.40,2,2458.12,2220.66,230.47,205.20,4762.86,4272.68
7000,0.281650,0.502063,4340.08,3942.72,7000,10,5,0.30,0.40,2,2934.73,2697.86,274.73,242.45,5681.99,5122.39
7999,0.274822,0.494302,5026.86,4567.39,8000,10,5,0.30,0.40,2,3415.61,3147.99,315.02,276.30,6565.81,5910.98
9000,0.270404,0.489272,5619.30,5082.70,9000,10,5,0.30,0.40,2,3801.57,3503.63,355.62,309.23,7357.73,6595.96
10000,0.265658,0.484183,6242.58,5658.22,10000,10,5,0.30,0.40,2,4207.05,3879.91,398.07,345.29,8187.71,7332.81
