K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.384640,0.608358,419.73,377.66,1000,10,1,0.30,0.40,2,369.42,329.59,40.46,37.69,774.01,706.47
2000,0.359135,0.581004,849.71,756.87,2000,10,1,0.30,0.40,2,761.23,678.20,70.75,64.05,1468.68,1318.68
3000,0.343250,0.564038,1330.05,1198.45,3000,10,1,0.30,0.40,2,1193.75,1075.10,112.11,101.75,2314.85,2092.60
4000,0.336038,0.555440,1762.65,1590.58,4000,10,1,0.30,0.40,2,1592.61,1436.51,138.56,125.14,2978.17,2687.92
5000,0.319335,0.538991,2252.10,2038.68,5000,10,1,0.30,0.40,2,2023.41,1832.16,187.52,168.41,3898.61,3516.29
6000,0.306385,0.525563,2738.90,2472.50,6000,10,1,0.30,0.40,2,2458.12,2220.66,230.47,205.20,4762.86,4272.68
7000,0.303889,0.522225,3267.37,2998.81,7000,10,1,0.30,0.40,2,2934.73,2697.86,274.73,242.45,5681.99,5122.39
8000,0.295781,0.513219,3795.34,3487.92,8000,10,1,0.30,0.40,2,3415.61,3147.99,315.02,276.30,6565.81,5910.98
9000,0.289537,0.506704,4228.12,3875.75,9000,10,1,0.30,0.40,2,3801.57,3503.63,355.62,309.23,7357.73,6595.96
10000,0.285333,0.502157,4684.05,4312.75,10000,10,1,0.30,0.40,2,4207.05,3879.91,398.07,345.29,8187.71,7332.81
