K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.368156,0.594916,1272.71,3387.44,1000,10,5,0.30,0.40,1,1052.73,3184.41,42.44,39.22,1477.14,3576.65
1999,0.342079,0.567533,2479.98,6702.66,2000,10,5,0.30,0.40,1,2107.23,6363.53,72.49,66.04,2832.09,7023.89
2999,0.326154,0.550630,3736.15,10072.68,3000,10,5,0.30,0.40,1,3157.52,9546.17,112.72,102.70,4284.70,10573.17
4000,0.313698,0.537242,4933.44,13396.62,4000,10,5,0.30,0.40,1,4215.41,12748.82,139.72,125.82,5612.62,14006.98
5000,0.304021,0.526874,6246.71,16803.12,5000,10,5,0.30,0.40,1,5268.17,15923.79,190.86,172.32,7176.79,17646.95
5999,0.295601,0.517634,7533.20,20206.80,6000,10,5,0.30,0.40,1,6330.41,19150.03,234.71,206.83,8677.51,21218.34
6999,0.288493,0.509645,8950.56,23748.80,7000,10,5,0.30,0.40,1,7518.39,22496.18,279.79,244.49,10316.29,24941.11
7999,0.282471,0.502999,10252.41,27151.98,8000,10,5,0.30,0.40,1,8610.61,25726.10,321.04,278.70,11820.97,28513.13
9000,0.277093,0.497136,11465.56,30465.05,9000,10,5,0.30,0.40,1,9611.57,28874.96,363.07,310.89,13242.29,31983.85
10000,0.272423,0.492034,12612.74,33677.16,10000,10,5,0.30,0.40,1,10545.50,31908.71,404.83,345.35,14593.83,35362.18
