K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.398390,0.622004,1106.86,3233.77,1000,10,1,0.30,0.40,1,1052.73,3184.41,42.44,39.22,1477.14,3576.65
2000,0.372326,0.594494,2198.26,6444.97,2000,10,1,0.30,0.40,1,2107.23,6363.53,72.49,66.04,2832.09,7023.89
3000,0.356532,0.577944,3296.43,9672.26,3000,10,1,0.30,0.40,1,3157.52,9546.17,112.72,102.70,4284.70,10573.17
4000,0.343250,0.563759,4388.01,12903.31,4000,10,1,0.30,0.40,1,4215.41,12748.82,139.72,125.82,5612.62,14006.98
5000,0.333589,0.553450,5499.21,16131.77,5000,10,1,0.30,0.40,1,5268.17,15923.79,190.86,172.32,7176.79,17646.95
6000,0.324697,0.543935,6613.27,19402.23,6000,10,1,0.30,0.40,1,6330.41,19150.03,234.71,206.83,8677.51,21218.34
7000,0.317907,0.536440,7853.19,22791.59,7000,10,1,0.30,0.40,1,7518.39,22496.18,279.79,244.49,10316.29,24941.11
8000,0.311928,0.529870,8992.26,26060.67,8000,10,1,0.30,0.40,1,8610.61,25726.10,321.04,278.70,11820.97,28513.13
9000,0.306428,0.524001,10041.16,29247.24,9000,10,1,0.30,0.40,1,9611.57,28874.96,363.07,310.89,13242.29,31983.85
10000,0.301585,0.518735,11022.10,32324.42,10000,10,1,0.30,0.40,1,10545.50,31908.71,404.83,345.35,14593.83,35362.18
