K,MSE,MAE,Total_Time,Embed_Time,C_Time,GA,LA
999,0.400672,0.615992,4288.422,2246.99,2041.432,0.3,0.4
2000,0.381963,0.597344,6281.752,2246.99,4034.762,0.3,0.4
3000,0.370881,0.585489,7810.454,2246.99,5563.464,0.3,0.4
4000,0.364188,0.578402,9362.172,2246.99,7115.182,0.3,0.4
5000,0.357053,0.570677,10869.937,2246.99,8622.947,0.3,0.4
6000,0.350511,0.563976,12416.053,2246.99,10169.063,0.3,0.4
6999,0.345138,0.558225,13932.916,2246.99,11685.926,0.3,0.4
8000,0.341860,0.554088,15415.493,2246.99,13168.503,0.3,0.4
8999,0.337491,0.549403,16000.118,2246.99,13753.128,0.3,0.4
9997,0.334352,0.546072,17334.772,2246.99,15087.782,0.3,0.4
