K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.366416,0.593872,302.80,280.85,1000,10,7,0.30,0.40,0,0.04,0.04,42.97,39.79,429.77,397.93
2000,0.341214,0.566265,588.26,535.60,2000,10,8,0.30,0.40,0,0.04,0.03,72.91,66.41,729.09,664.18
3000,0.325085,0.548226,926.56,844.08,3000,10,8,0.30,0.40,0,0.04,0.04,115.03,104.79,1150.33,1047.90
4000,0.312415,0.534238,1144.45,1036.15,4000,10,8,0.30,0.40,0,0.04,0.03,142.08,128.54,1420.86,1285.43
5000,0.302865,0.523297,1564.24,1411.57,5000,10,8,0.30,0.40,0,0.04,0.05,194.37,174.77,1943.73,1747.78
6000,0.294770,0.514263,1932.60,1696.77,6000,10,8,0.30,0.40,0,0.04,0.03,240.08,210.89,2400.87,2108.93
7000,0.287992,0.506681,2298.78,1987.93,7000,10,8,0.30,0.40,0,0.04,0.04,285.70,246.56,2857.07,2465.67
8000,0.282306,0.499998,2633.30,2264.89,8000,10,8,0.30,0.40,0,0.04,0.04,327.29,281.37,3272.92,2813.71
9000,0.276954,0.493773,2975.03,2568.79,9000,10,8,0.30,0.40,0,0.04,0.04,369.71,317.47,3697.15,3174.75
9999,0.272423,0.488533,3323.52,2880.44,10000,10,8,0.30,0.40,0,0.04,0.05,412.97,358.21,4129.77,3582.12
