K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.385974,0.611854,53.58,49.66,1000,10,1,0.30,0.40,0,0.04,0.04,42.97,39.79,429.77,397.93
2000,0.363493,0.586549,91.28,83.24,2000,10,1,0.30,0.40,0,0.04,0.03,72.91,66.41,729.09,664.18
3000,0.348402,0.569581,139.44,126.82,3000,10,1,0.30,0.40,0,0.04,0.04,115.03,104.79,1150.33,1047.90
4000,0.335865,0.555860,173.24,157.23,4000,10,1,0.30,0.40,0,0.04,0.03,142.08,128.54,1420.86,1285.43
5000,0.325971,0.544802,233.05,211.53,5000,10,1,0.30,0.40,0,0.04,0.05,194.37,174.77,1943.73,1747.78
6000,0.317990,0.535964,285.66,259.48,6000,10,1,0.30,0.40,0,0.04,0.03,240.08,210.89,2400.87,2108.93
7000,0.311785,0.528996,337.73,307.51,7000,10,1,0.30,0.40,0,0.04,0.04,285.70,246.56,2857.07,2465.67
8000,0.306501,0.522876,385.37,351.11,8000,10,1,0.30,0.40,0,0.04,0.04,327.29,281.37,3272.92,2813.71
9000,0.301370,0.516973,432.45,394.17,9000,10,1,0.30,0.40,0,0.04,0.04,369.71,317.47,3697.15,3174.75
10000,0.297090,0.512044,482.73,439.68,10000,10,1,0.30,0.40,0,0.04,0.05,412.97,358.21,4129.77,3582.12
