K,MSE,MAE,Total_Time,Embed_Time,C_Time,GA,LA
1000,0.38750,0.59309,2929.35,220.90,2708.45,0.3,0.4
2000,0.36498,0.56779,4841.80,220.90,4620.90,0.3,0.4
3000,0.34888,0.55063,6635.70,220.90,6414.80,0.3,0.4
4000,0.33794,0.53927,8448.13,220.90,8227.23,0.3,0.4
5000,0.33008,0.53060,10357.22,220.90,10136.32,0.3,0.4
6000,0.32250,0.52316,12177.80,220.90,11956.90,0.3,0.4
7000,0.31787,0.51741,14417.12,220.90,14196.22,0.3,0.4
8000,0.31065,0.51042,16132.41,220.90,15911.50,0.3,0.4
9000,0.30704,0.50628,17996.71,220.90,17775.81,0.3,0.4
10000,0.30160,0.50072,19527.46,220.90,19306.56,0.3,0.4
