K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.350237,0.574134,256.66,242.97,1000,10,2,0.30,0.40,3,343.77,326.27,41.28,37.95,756.57,705.75
2000,0.322152,0.542738,494.11,462.68,2000,10,3,0.30,0.40,3,406.51,389.00,70.95,64.29,1116.02,1031.93
3000,0.307384,0.526080,689.87,647.59,3000,10,3,0.30,0.40,3,537.12,516.65,113.91,103.90,1676.26,1555.61
4000,0.296128,0.513433,846.42,794.18,4000,10,3,0.30,0.40,3,650.44,623.40,143.94,129.86,2089.87,1922.03
4999,0.288496,0.506052,1048.08,985.30,5000,10,2,0.30,0.40,3,657.85,632.60,193.52,174.74,2593.02,2379.97
5999,0.279940,0.494747,1241.78,1163.57,6000,10,2,0.30,0.40,3,757.05,728.41,240.60,216.25,3163.04,2890.90
6997,0.273326,0.486993,1526.42,1435.86,7000,10,2,0.30,0.40,3,949.97,917.40,286.65,257.65,3816.50,3493.88
7997,0.267771,0.481393,1885.45,1761.81,8000,10,3,0.30,0.40,3,899.95,870.92,327.40,295.84,4173.96,3829.32
8999,0.262229,0.474488,2171.60,2034.63,9000,10,3,0.30,0.40,3,1055.48,1022.62,371.19,336.74,4767.41,4389.97
9998,0.258134,0.469391,2299.36,2155.80,10000,10,3,0.30,0.40,3,1044.14,1015.31,417.79,379.58,5222.03,4811.12
