K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.353342,0.577190,215.42,204.43,1000,10,1,0.30,0.40,3,343.77,326.27,41.28,37.95,756.57,705.75
2000,0.324707,0.545186,350.53,331.97,2000,10,1,0.30,0.40,3,406.51,389.00,70.95,64.29,1116.02,1031.93
3000,0.310202,0.528715,459.91,436.75,3000,10,1,0.30,0.40,3,537.12,516.65,113.91,103.90,1676.26,1555.61
4000,0.298651,0.515802,564.82,538.24,4000,10,1,0.30,0.40,3,650.44,623.40,143.94,129.86,2089.87,1922.03
4999,0.290909,0.508388,854.43,810.49,5000,10,1,0.30,0.40,3,657.85,632.60,193.52,174.74,2593.02,2379.97
5999,0.282023,0.496808,1000.73,948.24,6000,10,1,0.30,0.40,3,757.05,728.41,240.60,216.25,3163.04,2890.90
6997,0.275381,0.489010,1239.74,1178.52,7000,10,1,0.30,0.40,3,949.97,917.40,286.65,257.65,3816.50,3493.88
7997,0.270458,0.483983,1231.12,1171.12,8000,10,1,0.30,0.40,3,899.95,870.92,327.40,295.84,4173.96,3829.32
8999,0.264973,0.477179,1429.13,1362.22,9000,10,1,0.30,0.40,3,1055.48,1022.62,371.19,336.74,4767.41,4389.97
9998,0.260911,0.472036,1462.64,1395.33,10000,10,1,0.30,0.40,3,1044.14,1015.31,417.79,379.58,5222.03,4811.12
