Random
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
20,0.852558,0.922840,1.14,0.57,20,10,4,0.20,0.20,0,0.00,0.00,0.15,0.08,1.52,0.78
40,0.836514,0.913840,1.37,0.72,40,10,9,0.20,0.20,0,0.00,0.00,0.14,0.08,1.43,0.76
60,0.823769,0.906626,0.82,0.81,60,10,10,0.20,0.20,0,0.00,0.00,0.08,0.08,0.82,0.81
80,0.814024,0.901031,0.84,0.84,80,10,10,0.20,0.20,0,0.00,0.00,0.08,0.08,0.84,0.84
100,0.804725,0.895490,1.76,0.87,100,10,10,0.20,0.20,0,0.00,0.00,0.18,0.09,1.76,0.87
120,0.800640,0.893164,1.53,0.80,120,10,10,0.20,0.20,0,0.00,0.00,0.15,0.08,1.53,0.80
140,0.792331,0.888092,1.38,0.74,140,10,8,0.20,0.20,0,0.00,0.00,0.15,0.08,1.52,0.82
160,0.783247,0.882324,1.55,0.81,160,10,10,0.20,0.20,0,0.00,0.00,0.15,0.08,1.55,0.81
180,0.778004,0.879018,1.57,0.84,180,10,10,0.20,0.20,0,0.00,0.00,0.16,0.08,1.57,0.84
200,0.774319,0.876896,1.66,0.89,200,10,10,0.20,0.20,0,0.00,0.00,0.17,0.09,1.66,0.89

K-Means++
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
20,0.854467,0.923878,1.56,0.90,20,10,10,0.20,0.20,1,0.18,0.17,0.14,0.07,1.56,0.90
40,0.836494,0.913895,1.55,0.95,40,10,6,0.20,0.20,1,0.37,0.35,0.14,0.07,1.78,1.08
60,0.821862,0.905488,1.99,1.30,60,10,9,0.20,0.20,1,0.61,0.58,0.14,0.08,2.05,1.34
80,0.811095,0.899190,2.25,1.51,80,10,10,0.20,0.20,1,0.77,0.72,0.15,0.08,2.25,1.51
100,0.804188,0.895199,2.78,1.74,100,10,10,0.20,0.20,1,0.96,0.92,0.18,0.08,2.78,1.74
120,0.796686,0.890781,3.00,1.92,120,10,10,0.20,0.20,1,1.14,1.10,0.19,0.08,3.00,1.92
140,0.790310,0.886738,3.19,2.12,140,10,10,0.20,0.20,1,1.37,1.32,0.18,0.08,3.19,2.12
160,0.783497,0.882705,3.40,2.30,160,10,10,0.20,0.20,1,1.55,1.48,0.19,0.08,3.40,2.30
180,0.777532,0.879171,3.66,2.55,180,10,10,0.20,0.20,1,1.78,1.72,0.19,0.08,3.66,2.55
200,0.773244,0.876578,3.59,2.76,200,10,10,0.20,0.20,1,1.98,1.91,0.16,0.08,3.59,2.76

K-Means||
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
20,0.856170,0.924740,0.82,0.81,20,10,10,0.20,0.20,2,0.49,0.48,0.03,0.03,0.82,0.81
40,0.836996,0.914093,0.87,0.86,40,10,10,0.20,0.20,2,0.52,0.51,0.04,0.03,0.87,0.86
60,0.821698,0.905438,1.67,0.90,60,10,10,0.20,0.20,2,1.04,0.53,0.06,0.04,1.67,0.90
80,0.809761,0.898270,1.71,0.92,80,10,10,0.20,0.20,2,1.05,0.53,0.07,0.04,1.71,0.92
100,0.803884,0.895002,1.70,0.91,100,10,10,0.20,0.20,2,1.04,0.53,0.07,0.04,1.70,0.91
120,0.794376,0.889276,1.76,0.95,120,10,10,0.20,0.20,2,1.10,0.58,0.07,0.04,1.76,0.95
140,0.791622,0.887570,1.81,0.99,140,10,10,0.20,0.20,2,1.13,0.59,0.07,0.04,1.81,0.99
160,0.782722,0.882262,1.84,1.03,160,10,10,0.20,0.20,2,1.13,0.62,0.07,0.04,1.84,1.03
180,0.778317,0.879607,2.04,1.06,180,10,10,0.20,0.20,2,1.34,0.65,0.07,0.04,2.04,1.06
200,0.772473,0.875675,1.98,1.11,200,10,10,0.20,0.20,2,1.26,0.69,0.07,0.04,1.98,1.11

SILK
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
20,0.847964,0.920165,1.41,0.74,20,10,8,0.20,0.20,3,0.95,0.47,0.06,0.03,1.51,0.80
40,0.831791,0.910929,1.70,0.72,40,10,7,0.20,0.20,3,1.30,0.48,0.06,0.03,1.88,0.82
60,0.818719,0.903551,1.96,0.90,60,10,10,0.20,0.20,3,1.31,0.52,0.06,0.04,1.96,0.90
80,0.807630,0.896918,1.79,0.98,80,10,10,0.20,0.20,3,1.13,0.59,0.07,0.04,1.79,0.98
100,0.799598,0.892060,1.85,1.01,100,10,10,0.20,0.20,3,1.15,0.61,0.07,0.04,1.85,1.01
120,0.792916,0.887974,1.84,1.01,120,10,10,0.20,0.20,3,1.18,0.62,0.07,0.04,1.84,1.01
140,0.785994,0.883615,1.26,1.23,140,10,10,0.20,0.20,3,0.78,0.76,0.05,0.05,1.26,1.23
160,0.781499,0.881035,2.04,1.12,160,10,10,0.20,0.20,3,1.33,0.71,0.07,0.04,2.04,1.12
180,0.776517,0.877818,1.52,1.51,180,10,10,0.20,0.20,3,1.00,0.99,0.05,0.05,1.52,1.51
200,0.770383,0.873928,1.85,1.84,200,10,10,0.20,0.20,3,1.30,1.29,0.06,0.06,1.85,1.84


