Random
K,Purity,ARI,NMI,AMI,Homogeneity,Completeness,V_measure,Seeding
20,0.222902,0.080252,0.183805,0.181203,0.175917,0.192433,0.183805,0
40,0.299980,0.118986,0.235669,0.231123,0.251334,0.221842,0.235669,0
60,0.339623,0.109190,0.260802,0.254534,0.296921,0.232518,0.260802,0
80,0.390255,0.114041,0.291435,0.283606,0.346403,0.251522,0.291435,0
100,0.431554,0.108209,0.313353,0.304139,0.385656,0.263881,0.313353,0
120,0.438930,0.097891,0.318061,0.307154,0.400597,0.263725,0.318061,0
140,0.478824,0.097485,0.335850,0.323581,0.432257,0.274605,0.335850,0
160,0.487605,0.089092,0.342516,0.328715,0.448066,0.277214,0.342516,0
180,0.497039,0.086607,0.349298,0.333966,0.462387,0.280656,0.349298,0
200,0.503412,0.082414,0.350750,0.333853,0.470810,0.279480,0.350750,0

K-Means++
K,Purity,ARI,NMI,AMI,Homogeneity,Completeness,V_measure,Seeding
20,0.204637,0.077944,0.164492,0.161833,0.158123,0.171396,0.164492,1
40,0.292102,0.111071,0.227917,0.223379,0.245620,0.212593,0.227917,1
60,0.357236,0.119436,0.271479,0.265313,0.310282,0.241302,0.271479,1
80,0.411431,0.119733,0.306776,0.299158,0.365803,0.264151,0.306776,1
100,0.421819,0.110944,0.312195,0.302923,0.384058,0.262986,0.312195,1
120,0.438077,0.099596,0.320060,0.309186,0.403529,0.265204,0.320060,1
140,0.461712,0.095770,0.333428,0.321056,0.428580,0.272851,0.333428,1
160,0.485147,0.096250,0.345327,0.331552,0.451891,0.279432,0.345327,1
180,0.502559,0.089637,0.354601,0.339404,0.470962,0.284346,0.354601,1
200,0.507276,0.083923,0.358013,0.341292,0.481593,0.284905,0.358013,1

K-Means||
K,Purity,ARI,NMI,AMI,Homogeneity,Completeness,V_measure,Seeding
20,0.207096,0.068335,0.148686,0.145966,0.142090,0.155923,0.148686,2
40,0.298424,0.108856,0.228484,0.223928,0.244926,0.214110,0.228484,2
60,0.371036,0.124616,0.278841,0.272774,0.319974,0.247078,0.278841,2
80,0.385287,0.102301,0.284835,0.276978,0.339291,0.245442,0.284835,2
100,0.429697,0.101409,0.308342,0.299099,0.381297,0.258821,0.308342,2
120,0.442694,0.100132,0.320841,0.310064,0.406214,0.265121,0.320841,2
140,0.438177,0.086166,0.314525,0.301895,0.404926,0.257121,0.314525,2
160,0.483240,0.088479,0.344387,0.330694,0.452278,0.278057,0.344387,2
180,0.498294,0.086854,0.346660,0.331357,0.461810,0.277473,0.346660,2
200,0.505871,0.075973,0.353819,0.337133,0.476569,0.281352,0.353819,2

SILK
K,Purity,ARI,NMI,AMI,Homogeneity,Completeness,V_measure,Seeding
20,0.218236,0.097337,0.198481,0.195940,0.191233,0.206300,0.198481,3
40,0.317894,0.123171,0.256906,0.252452,0.272613,0.242911,0.256906,3
60,0.386441,0.125614,0.294199,0.288268,0.338588,0.260100,0.294199,3
80,0.409625,0.121381,0.303441,0.295742,0.360575,0.261937,0.303441,3
100,0.434615,0.114721,0.321507,0.312238,0.392733,0.272150,0.321507,3
120,0.455088,0.104468,0.330754,0.319958,0.415412,0.274760,0.330754,3
140,0.483842,0.106393,0.350829,0.338672,0.448532,0.288078,0.350829,3
160,0.494330,0.096435,0.355250,0.341579,0.460586,0.289127,0.355250,3
180,0.505721,0.093263,0.357492,0.342314,0.469037,0.288808,0.357492,3
200,0.511090,0.087513,0.362629,0.345906,0.483075,0.290258,0.362629,3


20,0.228723,0.082847,0.182526,0.179878,0.173383,0.192686,0.182526,3
20,0.188278,0.058068,0.132846,0.130079,0.127080,0.139159,0.132846,3
20,0.232688,0.077099,0.177630,0.174949,0.166584,0.190244,0.177630,3
20,0.224659,0.087711,0.180521,0.177937,0.174584,0.186876,0.180521,3
20,0.225411,0.079682,0.178097,0.175467,0.170097,0.186885,0.178097,3
20,0.215727,0.075537,0.180156,0.177557,0.173371,0.187494,0.180156,3
20,0.210407,0.076299,0.169417,0.166711,0.159816,0.180246,0.169417,3
20,0.181654,0.052386,0.131008,0.128185,0.123812,0.139091,0.131008,3
20,0.240516,0.093788,0.196876,0.194345,0.190564,0.203621,0.196876,3
20,0.180098,0.075768,0.152012,0.149268,0.143476,0.161629,0.152012,3
20,0.239613,0.094300,0.206959,0.204430,0.198038,0.216722,0.206959,3
20,0.256473,0.099419,0.208630,0.206061,0.197522,0.221063,0.208630,3
20,0.228573,0.090504,0.191949,0.189334,0.181393,0.203810,0.191949,3
20,0.218236,0.097337,0.198481,0.195940,0.191233,0.206300,0.198481,3
20,0.173876,0.050858,0.128206,0.125419,0.122470,0.134506,0.128206,3
20,0.242623,0.087155,0.194828,0.192256,0.186076,0.204444,0.194828,3

40,0.306704,0.103955,0.243620,0.239112,0.259078,0.229902,0.243620,3
40,0.310317,0.113722,0.247310,0.242827,0.262737,0.233594,0.247310,3
40,0.297371,0.107560,0.238803,0.234261,0.253913,0.225390,0.238803,3
40,0.304948,0.109302,0.240555,0.236031,0.256747,0.226283,0.240555,3
40,0.330088,0.122093,0.258587,0.254238,0.278847,0.241072,0.258587,3
40,0.307808,0.112484,0.251469,0.247059,0.269946,0.235360,0.251469,3
40,0.306855,0.100069,0.239604,0.235105,0.256835,0.224539,0.239604,3
40,0.285578,0.100651,0.225464,0.220809,0.237648,0.214468,0.225464,3
40,0.319801,0.116677,0.253641,0.249223,0.271308,0.238134,0.253641,3
40,0.325221,0.115774,0.256260,0.251889,0.275664,0.239409,0.256260,3
40,0.317894,0.123171,0.256906,0.252452,0.272613,0.242911,0.256906,3
40,0.317744,0.120185,0.242678,0.238244,0.261876,0.226102,0.242678,3
40,0.314231,0.111485,0.247128,0.242685,0.264913,0.231580,0.247128,3
40,0.310869,0.103231,0.248171,0.243670,0.262807,0.235079,0.248171,3

60,0.345243,0.102638,0.263781,0.257471,0.298914,0.236038,0.263781,3
60,0.374599,0.110516,0.291656,0.285597,0.331099,0.260610,0.291656,3
60,0.369029,0.111208,0.276144,0.269951,0.313148,0.246961,0.276144,3
60,0.356885,0.111325,0.269029,0.262814,0.306947,0.239450,0.269029,3
60,0.372441,0.121776,0.284308,0.278139,0.321077,0.255095,0.284308,3
60,0.377559,0.117863,0.283256,0.277169,0.322609,0.252460,0.283256,3
60,0.372642,0.109712,0.285876,0.279803,0.325638,0.254768,0.285876,3
60,0.352670,0.115512,0.270107,0.263867,0.306357,0.241527,0.270107,3
60,0.380420,0.122189,0.287103,0.281001,0.325464,0.256832,0.287103,3
60,0.386441,0.125614,0.294199,0.288268,0.338588,0.260100,0.294199,3
60,0.358591,0.115065,0.279932,0.273700,0.314891,0.251959,0.279932,3
60,0.365365,0.114834,0.282300,0.276158,0.320181,0.252435,0.282300,3
60,0.358942,0.112429,0.277128,0.270936,0.314703,0.247569,0.277128,3

80,0.386391,0.115314,0.300937,0.293215,0.357579,0.259786,0.300937,3
80,0.406764,0.112665,0.301969,0.294241,0.357887,0.261164,0.301969,3
80,0.401094,0.119307,0.301998,0.294201,0.357255,0.261545,0.301998,3
80,0.397531,0.120407,0.302043,0.294331,0.359485,0.260429,0.302043,3
80,0.401947,0.115609,0.300776,0.293011,0.356794,0.259962,0.300776,3
80,0.406865,0.116875,0.304503,0.296831,0.362191,0.262667,0.304503,3
80,0.400592,0.110432,0.302031,0.294236,0.356115,0.262209,0.302031,3
80,0.391560,0.103019,0.295081,0.287331,0.352205,0.253901,0.295081,3
80,0.387646,0.115148,0.296391,0.288537,0.349539,0.257273,0.296391,3
80,0.387344,0.109403,0.287455,0.279625,0.343087,0.247348,0.287455,3
80,0.426034,0.124640,0.318094,0.310579,0.378595,0.274265,0.318094,3
80,0.409775,0.117172,0.306125,0.298460,0.363773,0.264248,0.306125,3
80,0.402449,0.113658,0.300989,0.293212,0.355972,0.260718,0.300989,3
80,0.399438,0.116381,0.302123,0.294398,0.358659,0.260984,0.302123,3
80,0.409625,0.121381,0.303441,0.295742,0.360575,0.261937,0.303441,3

100,0.455941,0.110847,0.331704,0.322657,0.407755,0.279563,0.331704,3
100,0.425733,0.115395,0.313829,0.304457,0.383884,0.265397,0.313829,3
100,0.417654,0.100983,0.304219,0.294798,0.373615,0.256564,0.304219,3
100,0.413137,0.107396,0.307863,0.298317,0.374105,0.261551,0.307863,3
100,0.437124,0.103550,0.319186,0.309969,0.392313,0.269037,0.319186,3
100,0.418456,0.104605,0.313703,0.304382,0.384200,0.265066,0.313703,3
100,0.434615,0.114721,0.321507,0.312238,0.392733,0.272150,0.321507,3
100,0.422973,0.105547,0.315469,0.306085,0.384462,0.267471,0.315469,3
100,0.433310,0.101066,0.316400,0.307168,0.388759,0.266750,0.316400,3
100,0.418055,0.113950,0.310783,0.301350,0.378930,0.263411,0.310783,3
100,0.422973,0.102440,0.312268,0.302854,0.381407,0.264349,0.312268,3
100,0.415295,0.101724,0.313997,0.304672,0.384507,0.265340,0.313997,3

120,0.460207,0.103034,0.333952,0.323186,0.418417,0.277860,0.333952,3
120,0.445303,0.106535,0.322871,0.311832,0.402807,0.269408,0.322871,3
120,0.442593,0.098446,0.322494,0.311625,0.406246,0.267373,0.322494,3
120,0.452880,0.099115,0.325256,0.314552,0.412167,0.268615,0.325256,3
120,0.456042,0.104316,0.329632,0.318731,0.411636,0.274873,0.329632,3
120,0.455088,0.104468,0.330754,0.319958,0.415412,0.274760,0.330754,3
120,0.440185,0.106195,0.324161,0.313130,0.403512,0.270890,0.324161,3
120,0.458902,0.114179,0.335404,0.324582,0.418169,0.279989,0.335404,3
120,0.449719,0.104393,0.330128,0.319347,0.414529,0.274282,0.330128,3
120,0.451877,0.102476,0.331149,0.320292,0.414553,0.275685,0.331149,3
120,0.438278,0.098664,0.321299,0.310375,0.403052,0.267119,0.321299,3
120,0.434163,0.108311,0.319505,0.308404,0.398236,0.266766,0.319505,3
120,0.448163,0.098584,0.328400,0.317580,0.412776,0.272665,0.328400,3
120,0.440536,0.097910,0.316682,0.305676,0.397759,0.263060,0.316682,3
120,0.456594,0.095205,0.331335,0.320580,0.416489,0.275091,0.331335,3
120,0.475361,0.100711,0.343467,0.332822,0.430105,0.285880,0.343467,3
120,0.451827,0.102508,0.335879,0.325220,0.422572,0.278702,0.335879,3

140,0.462866,0.096722,0.332696,0.320257,0.425813,0.272997,0.332696,3
140,0.466530,0.093408,0.336611,0.324132,0.429879,0.276599,0.336611,3
140,0.466028,0.098521,0.335598,0.323235,0.429556,0.275366,0.335598,3
140,0.483842,0.106393,0.350829,0.338672,0.448532,0.288078,0.350829,3
140,0.467132,0.107349,0.339115,0.326551,0.429744,0.280054,0.339115,3
140,0.447260,0.094323,0.327858,0.315335,0.420158,0.268807,0.327858,3
140,0.449217,0.099149,0.329840,0.317218,0.419680,0.271682,0.329840,3
140,0.481935,0.095623,0.344898,0.332703,0.442744,0.282471,0.344898,3
140,0.484795,0.098270,0.348761,0.336565,0.445427,0.286570,0.348761,3
140,0.442342,0.092291,0.319914,0.307258,0.410241,0.262185,0.319914,3

160,0.479326,0.094982,0.346810,0.332900,0.449248,0.282413,0.346810,3
160,0.498344,0.096232,0.355502,0.341867,0.462955,0.288533,0.355502,3
160,0.494330,0.096435,0.355250,0.341579,0.460586,0.289127,0.355250,3
160,0.481634,0.099897,0.344851,0.330960,0.447281,0.280593,0.344851,3
160,0.474107,0.093389,0.342620,0.328747,0.445542,0.278325,0.342620,3
160,0.468537,0.088267,0.339253,0.325281,0.439780,0.276133,0.339253,3
160,0.476365,0.088522,0.342678,0.328776,0.446187,0.278151,0.342678,3
160,0.476666,0.085077,0.345812,0.331975,0.450496,0.280606,0.345812,3
160,0.495132,0.096958,0.352304,0.338511,0.455698,0.287151,0.352304,3
160,0.483440,0.100847,0.347341,0.333536,0.452610,0.281800,0.347341,3

180,0.494681,0.090264,0.351511,0.336154,0.463702,0.283033,0.351511,3
180,0.484293,0.083843,0.347812,0.332411,0.458861,0.280040,0.347812,3
180,0.489010,0.090105,0.351463,0.336094,0.462316,0.283489,0.351463,3
180,0.484444,0.085004,0.349461,0.334061,0.460967,0.281393,0.349461,3
180,0.485548,0.088081,0.343400,0.327817,0.451675,0.276998,0.343400,3
180,0.505721,0.093263,0.357492,0.342314,0.469037,0.288808,0.357492,3
180,0.488810,0.082554,0.345716,0.330178,0.454505,0.278947,0.345716,3
180,0.503663,0.092374,0.353434,0.338152,0.464859,0.285097,0.353434,3
180,0.511592,0.098116,0.364902,0.349814,0.478853,0.294758,0.364902,3
180,0.498444,0.081398,0.355341,0.340167,0.470772,0.285370,0.355341,3
180,0.506523,0.092228,0.362730,0.347628,0.476434,0.292842,0.362730,3
180,0.488760,0.077588,0.346461,0.331030,0.457763,0.278698,0.346461,3

200,0.512244,0.086034,0.363256,0.346449,0.483184,0.291023,0.363256,3
200,0.490064,0.076948,0.352644,0.335755,0.469864,0.282233,0.352644,3
200,0.507979,0.080510,0.358391,0.341520,0.479137,0.286253,0.358391,3
200,0.507427,0.082976,0.362813,0.346060,0.481962,0.290898,0.362813,3
200,0.513900,0.085618,0.361454,0.344696,0.479819,0.289932,0.361454,3
200,0.515205,0.085212,0.363822,0.347066,0.483966,0.291466,0.363822,3
200,0.511090,0.087513,0.362629,0.345906,0.483075,0.290258,0.362629,3
