SILK
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
20,0.086296,0.852728,0.922913,0.214773,0.96,5.13,0.2,0.2,3
20,0.060847,0.856911,0.925101,0.172621,0.94,6.21,0.2,0.2,3
20,0.112171,0.850599,0.92166,0.262746,0.83,4.36,0.2,0.2,3
20,0.093534,0.851606,0.922164,0.248093,0.84,5.35,0.2,0.2,3
20,0.090652,0.850746,0.921731,0.227318,1.18,8.09,0.2,0.2,3
20,0.095025,0.851908,0.922469,0.247943,0.91,5.74,0.2,0.2,3
20,0.07782,0.85507,0.924011,0.209253,0.94,7.13,0.2,0.2,3
20,0.084058,0.852373,0.922702,0.22511,1.03,10.87,0.2,0.2,3
20,0.106601,0.850628,0.921604,0.258932,0.82,4.47,0.2,0.2,3
20,0.099656,0.849794,0.921195,0.246839,0.93,6.79,0.2,0.2,3
20,0.063278,0.853709,0.923199,0.193747,0.76,3.37,0.2,0.2,3
20,0.069389,0.852797,0.922774,0.199267,0.77,3.96,0.2,0.2,3
20,0.096595,0.850177,0.921389,0.240666,0.87,6.33,0.2,0.2,3
20,0.057,0.857974,0.925683,0.184765,0.74,3.3,0.2,0.2,3
20,0.09631,0.850663,0.921659,0.244179,0.86,5.26,0.2,0.2,3
20,0.086747,0.852742,0.922785,0.239412,0.89,5.94,0.2,0.2,3
20,0.095682,0.851679,0.922351,0.228222,1.18,13.44,0.2,0.2,3
20,0.084527,0.851709,0.922066,0.20845,0.86,4.78,0.2,0.2,3
20,0.09551,0.853725,0.923418,0.241821,0.84,5.08,0.2,0.2,3
20,0.097105,0.850737,0.921762,0.236702,1.33,9.69,0.2,0.2,3
20,0.089268,0.851038,0.921974,0.230128,1,7.03,0.2,0.2,3
20,0.098126,0.851209,0.922096,0.236,1.34,6.44,0.2,0.2,3
20,0.084056,0.85389,0.923322,0.183561,0.81,3.99,0.2,0.2,3
20,0.064707,0.854191,0.923699,0.209053,0.88,5.85,0.2,0.2,3
20,0.087689,0.852424,0.922634,0.220945,0.87,5.21,0.2,0.2,3
20,0.083027,0.852416,0.922772,0.223404,0.9,5.94,0.2,0.2,3
20,0.100029,0.850722,0.921622,0.248394,0.82,3.9,0.2,0.2,3
20,0.090426,0.848945,0.920735,0.247441,1.22,13.97,0.2,0.2,3
20,0.087535,0.851952,0.922437,0.248846,0.96,6.55,0.2,0.2,3
20,0.09571,0.850619,0.921596,0.237605,0.91,5.84,0.2,0.2,3
20,0.089561,0.852097,0.922557,0.227369,0.84,4.22,0.2,0.2,3
20,0.069859,0.851563,0.922232,0.21678,0.92,4.39,0.2,0.2,3
20,0.098358,0.852281,0.922684,0.234394,0.86,4.45,0.2,0.2,3
20,0.074284,0.853853,0.923283,0.20549,1.14,13.48,0.2,0.2,3

40,0.113712,0.83343,0.911802,0.326827,0.86,4.48,0.2,0.2,3
40,0.121954,0.830975,0.910571,0.357537,1.19,11.97,0.2,0.2,3
40,0.113165,0.830249,0.910037,0.325823,1.01,7.43,0.2,0.2,3
40,0.114916,0.832654,0.911424,0.301636,0.91,6.53,0.2,0.2,3
40,0.115176,0.833712,0.91217,0.330389,0.94,6.24,0.2,0.2,3
40,0.129394,0.832495,0.911488,0.335909,0.98,6.81,0.2,0.2,3
40,0.116732,0.834519,0.912763,0.327931,0.96,6.41,0.2,0.2,3
40,0.102824,0.831686,0.910765,0.297521,1.19,11.85,0.2,0.2,3
40,0.11319,0.832063,0.911148,0.334303,0.97,6.35,0.2,0.2,3
40,0.12391,0.830641,0.910369,0.335257,1.21,12.34,0.2,0.2,3
40,0.104157,0.832215,0.911239,0.287987,1.04,7.37,0.2,0.2,3
40,0.117575,0.83296,0.911622,0.318848,0.96,6.53,0.2,0.2,3
40,0.119671,0.83117,0.910581,0.323214,1.11,7.12,0.2,0.2,3
40,0.107076,0.830577,0.910233,0.324267,1.01,6.33,0.2,0.2,3
40,0.119427,0.833769,0.91221,0.305349,1.17,10.86,0.2,0.2,3
40,0.131199,0.830279,0.910212,0.353974,1.03,6.62,0.2,0.2,3
40,0.113777,0.831861,0.910984,0.333099,1.19,12.29,0.2,0.2,3
40,0.1097,0.833735,0.912052,0.321457,1.01,6.37,0.2,0.2,3
40,0.113319,0.834529,0.912802,0.32492,0.95,5.82,0.2,0.2,3
40,0.108586,0.835608,0.913252,0.307055,1.01,7.04,0.2,0.2,3
40,0.122331,0.834027,0.912395,0.320705,1,6.98,0.2,0.2,3
40,0.108511,0.833737,0.912224,0.326776,1.04,6.99,0.2,0.2,3
40,0.11232,0.828262,0.908974,0.33892,1.3,13.99,0.2,0.2,3
40,0.10795,0.832745,0.911457,0.312475,0.99,5.84,0.2,0.2,3
40,0.110721,0.832646,0.911473,0.322461,1.22,11.7,0.2,0.2,3
40,0.129704,0.832173,0.911239,0.336261,1.06,7.28,0.2,0.2,3
40,0.120121,0.834165,0.912512,0.312425,0.99,5.79,0.2,0.2,3
40,0.09366,0.834359,0.912425,0.294761,1,5.38,0.2,0.2,3
40,0.134448,0.830869,0.910551,0.331744,1.07,7,0.2,0.2,3
40,0.114879,0.833883,0.912141,0.323565,1.04,6.91,0.2,0.2,3
40,0.11288,0.833401,0.911997,0.331895,0.95,4.79,0.2,0.2,3

60,0.114067,0.818085,0.903059,0.380771,1.35,13.53,0.2,0.2,3
60,0.131715,0.821318,0.905044,0.385889,1.06,6.2,0.2,0.2,3
60,0.127653,0.818376,0.903331,0.381373,1.36,13.76,0.2,0.2,3
60,0.123924,0.820018,0.90438,0.378061,1.1,7.05,0.2,0.2,3
60,0.120278,0.818269,0.903115,0.361,1.08,6.92,0.2,0.2,3
60,0.122643,0.819012,0.903573,0.386893,1.15,7.61,0.2,0.2,3
60,0.114133,0.820977,0.904868,0.380369,1.11,8.01,0.2,0.2,3
60,0.122186,0.817948,0.903085,0.383531,1.32,12.67,0.2,0.2,3
60,0.11777,0.817884,0.902982,0.380721,1.45,14.97,0.2,0.2,3
60,0.117256,0.820998,0.904798,0.368075,1.13,7.3,0.2,0.2,3
60,0.116393,0.818817,0.903487,0.370735,1.18,7.88,0.2,0.2,3
60,0.112061,0.81982,0.90429,0.360699,1.08,6.78,0.2,0.2,3
60,0.113321,0.821576,0.905105,0.370684,1.27,6.78,0.2,0.2,3
60,0.118867,0.819382,0.903929,0.379215,1.17,7.46,0.2,0.2,3
60,0.109626,0.818223,0.903123,0.367122,1.16,7.44,0.2,0.2,3
60,0.120586,0.820214,0.904229,0.37219,1.15,7.68,0.2,0.2,3
60,0.112596,0.82051,0.904502,0.362104,1.21,9.03,0.2,0.2,3
60,0.115971,0.81721,0.902509,0.377208,1.26,8.16,0.2,0.2,3
60,0.118939,0.820615,0.904614,0.392563,1.5,7.72,0.2,0.2,3
60,0.130152,0.819009,0.903569,0.393517,1.14,7.19,0.2,0.2,3
60,0.12168,0.820864,0.904738,0.389904,1.2,7.59,0.2,0.2,3
60,0.121543,0.820224,0.904335,0.388499,1.15,7.3,0.2,0.2,3
60,0.112536,0.819368,0.90379,0.373193,1.28,11.44,0.2,0.2,3
60,0.118018,0.817617,0.902818,0.384986,1.2,7.27,0.2,0.2,3

