SILK
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
20,0.082847,0.852025,0.922292,0.228723,1.3,0.66,0.2,0.2,3
20,0.058068,0.855088,0.924156,0.188278,1.28,0.66,0.2,0.2,3
20,0.077099,0.855252,0.924086,0.232688,1.54,0.8,0.2,0.2,3
20,0.087711,0.852238,0.9226,0.224659,1.56,0.64,0.2,0.2,3
20,0.079682,0.853312,0.92315,0.225411,1.5,0.78,0.2,0.2,3
20,0.075537,0.851062,0.921907,0.215727,1.75,0.74,0.2,0.2,3
20,0.076299,0.853017,0.922887,0.210407,1.83,0.8,0.2,0.2,3
20,0.052386,0.857245,0.925336,0.181654,1.44,0.77,0.2,0.2,3
20,0.093788,0.849067,0.920745,0.240516,0.86,0.84,0.2,0.2,3
20,0.075768,0.857452,0.925438,0.180098,0.77,0.77,0.2,0.2,3
20,0.0943,0.849639,0.921158,0.239613,1.39,0.72,0.2,0.2,3
20,0.099419,0.85143,0.922027,0.256473,1.47,0.78,0.2,0.2,3
20,0.090504,0.853095,0.922922,0.228573,1.5,0.8,0.2,0.2,3
20,0.097337,0.847964,0.920165,0.218236,1.41,0.74,0.2,0.2,3
20,0.050858,0.854901,0.923906,0.173876,1.24,0.64,0.2,0.2,3
20,0.087155,0.853262,0.923143,0.242623,1.42,0.73,0.2,0.2,3

40,0.103955,0.833432,0.911933,0.306704,1.44,0.76,0.2,0.2,3
40,0.113722,0.834712,0.912756,0.310317,1.51,0.78,0.2,0.2,3
40,0.10756,0.837042,0.91414,0.297371,1.55,0.82,0.2,0.2,3
40,0.109302,0.833026,0.911672,0.304948,1.55,0.83,0.2,0.2,3
40,0.122093,0.833131,0.911876,0.330088,1.64,0.87,0.2,0.2,3
40,0.112484,0.832992,0.911775,0.307808,1.52,0.8,0.2,0.2,3
40,0.100069,0.835981,0.913276,0.306855,1.63,0.86,0.2,0.2,3
40,0.100651,0.836404,0.913544,0.285578,1.33,0.7,0.2,0.2,3
40,0.116677,0.833066,0.911811,0.319801,1.61,0.84,0.2,0.2,3
40,0.115774,0.831574,0.911043,0.325221,1.81,0.81,0.2,0.2,3
40,0.123171,0.831791,0.910929,0.317894,1.7,0.72,0.2,0.2,3
40,0.120185,0.834006,0.912398,0.317744,1.76,0.9,0.2,0.2,3
40,0.111485,0.833732,0.912184,0.314231,0.87,0.86,0.2,0.2,3
40,0.103231,0.832833,0.911597,0.310869,0.83,0.83,0.2,0.2,3

60,0.102638,0.821709,0.905058,0.345243,1.55,0.82,0.2,0.2,3
60,0.110516,0.819704,0.903958,0.374599,1.53,0.81,0.2,0.2,3
60,0.111208,0.820807,0.904443,0.369029,1.57,0.86,0.2,0.2,3
60,0.111325,0.82126,0.904822,0.356885,1.69,0.89,0.2,0.2,3
60,0.121776,0.820846,0.904388,0.372441,1.63,0.87,0.2,0.2,3
60,0.117863,0.821092,0.904865,0.377559,1.62,0.85,0.2,0.2,3
60,0.109712,0.820013,0.904169,0.372642,3.81,0.88,0.2,0.2,3
60,0.115512,0.820014,0.904176,0.35267,1.95,0.86,0.2,0.2,3
60,0.122189,0.821641,0.905298,0.38042,1.97,0.89,0.2,0.2,3
60,0.125614,0.818719,0.903551,0.386441,1.96,0.9,0.2,0.2,3
60,0.115065,0.820238,0.904082,0.358591,1.92,0.85,0.2,0.2,3
60,0.114834,0.822572,0.905852,0.365365,1.9,0.86,0.2,0.2,3
60,0.112429,0.822065,0.90542,0.358942,2.06,0.93,0.2,0.2,3

80,0.115314,0.810543,0.898832,0.386391,2.09,0.97,0.2,0.2,3
80,0.112665,0.809464,0.897964,0.406764,2.07,0.95,0.2,0.2,3
80,0.119307,0.80984,0.898137,0.401094,2.07,0.95,0.2,0.2,3
80,0.120407,0.809983,0.89828,0.397531,1.8,0.98,0.2,0.2,3
80,0.115609,0.808448,0.897174,0.401947,1.06,1.07,0.2,0.2,3
80,0.116875,0.81026,0.898445,0.406865,1.06,1.04,0.2,0.2,3
80,0.110432,0.809278,0.897858,0.400592,1.73,0.93,0.2,0.2,3
80,0.103019,0.809539,0.898038,0.39156,1.73,0.93,0.2,0.2,3
80,0.115148,0.810583,0.898565,0.387646,1.77,0.94,0.2,0.2,3
80,0.109403,0.811212,0.898962,0.387344,1.77,0.94,0.2,0.2,3
80,0.12464,0.810515,0.898677,0.426034,1.73,0.93,0.2,0.2,3
80,0.117172,0.810555,0.898719,0.409775,1.73,0.93,0.2,0.2,3
80,0.113658,0.81071,0.898745,0.402449,1.7,0.91,0.2,0.2,3
80,0.116381,0.810284,0.898549,0.399438,3.32,0.89,0.2,0.2,3
80,0.121381,0.80763,0.896918,0.409625,1.79,0.98,0.2,0.2,3

100,0.110847,0.800274,0.892524,0.455941,1.78,0.96,0.2,0.2,3
100,0.115395,0.801229,0.892863,0.425733,1.8,0.98,0.2,0.2,3
100,0.100983,0.80333,0.894406,0.417654,1.78,0.96,0.2,0.2,3
100,0.107396,0.802744,0.893682,0.413137,1.83,0.99,0.2,0.2,3
100,0.10355,0.804101,0.894921,0.437124,1.78,0.96,0.2,0.2,3
100,0.104605,0.801673,0.893188,0.418456,1.8,0.97,0.2,0.2,3
100,0.114721,0.799598,0.89206,0.434615,1.85,1.01,0.2,0.2,3
100,0.105547,0.800759,0.892625,0.422973,1.71,0.94,0.2,0.2,3
100,0.101066,0.801671,0.893127,0.43331,1.08,1.06,0.2,0.2,3
