Random
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
50,0.117283,0.831332,0.910941,0.312475,1.47,0.79,0.2,0.2,0
100,0.108209,0.804725,0.89549,0.431554,1.76,0.87,0.2,0.2,0
200,0.082414,0.774319,0.876896,0.503412,1.66,0.89,0.2,0.2,0
300,0.066168,0.751393,0.862302,0.54727,1.86,0.98,0.2,0.2,0
399,0.052537,0.73275,0.850324,0.573113,1.89,1.02,0.2,0.2,0
499,0.045195,0.718138,0.840929,0.588569,2.07,1.06,0.2,0.2,0

K-Means++
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
50,0.115379,0.829563,0.909873,0.321507,2.01,1.11,0.2,0.2,1
100,0.110944,0.804188,0.895199,0.421819,2.78,1.74,0.2,0.2,1
200,0.083923,0.773244,0.876578,0.507276,3.59,2.76,0.2,0.2,1
300,0.065658,0.750127,0.861814,0.543908,4.61,3.71,0.2,0.2,1
400,0.053868,0.734572,0.851965,0.567393,5.66,4.69,0.2,0.2,1
500,0.047856,0.717746,0.840616,0.592884,6.89,5.78,0.2,0.2,1

K-Means||
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
50,0.09961,0.829746,0.910002,0.31393,1.61,0.85,0.2,0.2,2
100,0.101409,0.803884,0.895002,0.429697,1.7,0.91,0.2,0.2,2
200,0.075973,0.772473,0.875675,0.505871,1.98,1.11,0.2,0.2,2
300,0.062632,0.750648,0.862028,0.546317,2.42,1.41,0.2,0.2,2
400,0.052028,0.730771,0.849145,0.579536,2.91,1.75,0.2,0.2,2
500,0.043598,0.714894,0.838468,0.598254,3.5,2.14,0.2,0.2,2

SILK
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
50,0.130008,0.82473,0.906892,0.362856,1.57,0.83,0.2,0.2,3
100,0.116355,0.80182,0.893543,0.428643,1.85,1.01,0.2,0.2,3
200,0.090277,0.772036,0.875151,0.517061,2.3,1.32,0.2,0.2,3
300,0.072358,0.749423,0.860918,0.562023,2.92,1.77,0.2,0.2,3
400,0.058221,0.732157,0.849079,0.573414,3.74,2.38,0.2,0.2,3
500,0.050677,0.718605,0.840166,0.58892,5.17,3.4,0.2,0.2,3


50,0.110111,0.825027,0.907055,0.334855,1.62,0.86,0.2,0.2,3
50,0.114151,0.828444,0.909094,0.33325,1.66,0.86,0.2,0.2,3
50,0.109069,0.825735,0.907505,0.349308,1.56,0.86,0.2,0.2,3
50,0.121788,0.826751,0.907883,0.359845,1.64,0.86,0.2,0.2,3
50,0.107002,0.824687,0.906672,0.338268,1.51,0.8,0.2,0.2,3
50,0.108915,0.828666,0.909224,0.332648,1.48,0.79,0.2,0.2,3
50,0.113668,0.825326,0.90733,0.341028,1.38,0.72,0.2,0.2,3
50,0.121605,0.827934,0.90844,0.339974,1.59,0.84,0.2,0.2,3
50,0.114824,0.825376,0.907399,0.368276,1.52,0.81,0.2,0.2,3
50,0.11968,0.827607,0.908527,0.347702,1.61,0.86,0.2,0.2,3
50,0.10602,0.828969,0.909432,0.33049,1.4,0.8,0.2,0.2,3
50,0.123081,0.825909,0.907605,0.344039,1.55,0.82,0.2,0.2,3
50,0.116274,0.826184,0.907898,0.349358,1.6,0.84,0.2,0.2,3
50,0.12474,0.824818,0.907098,0.36381,1.64,0.88,0.2,0.2,3
50,0.122843,0.825089,0.907,0.331293,1.57,0.84,0.2,0.2,3
50,0.109997,0.828738,0.909202,0.315185,1.54,0.8,0.2,0.2,3
50,0.11156,0.823994,0.906408,0.335859,1.66,0.88,0.2,0.2,3
50,0.117885,0.827735,0.908453,0.349358,1.51,0.79,0.2,0.2,3
50,0.095991,0.828579,0.909307,0.31122,1.49,0.78,0.2,0.2,3
50,0.106009,0.826195,0.907849,0.346246,1.66,0.89,0.2,0.2,3
50,0.106053,0.824251,0.906801,0.346899,1.6,0.85,0.2,0.2,3
50,0.124735,0.82822,0.909148,0.335157,1.54,0.82,0.2,0.2,3
50,0.114468,0.82842,0.909102,0.331192,1.57,0.88,0.2,0.2,3
50,0.11695,0.826552,0.908103,0.342383,1.47,0.79,0.2,0.2,3
50,0.110329,0.827994,0.908871,0.331443,1.38,0.73,0.2,0.2,3
50,0.104153,0.826333,0.908001,0.325823,1.51,0.82,0.2,0.2,3
50,0.12115,0.828032,0.909067,0.344289,1.52,0.81,0.2,0.2,3
50,0.115508,0.825593,0.907473,0.360648,1.57,0.84,0.2,0.2,3
50,0.122045,0.826476,0.908024,0.360648,1.67,0.89,0.2,0.2,3
50,0.130008,0.82473,0.906892,0.362856,1.57,0.83,0.2,0.2,3

100,0.10619,0.801813,0.893283,0.438027,1.87,1.02,0.2,0.2,3
100,0.102065,0.800863,0.892692,0.410177,1.91,1.05,0.2,0.2,3
100,0.109006,0.801507,0.893246,0.431102,1.87,1.03,0.2,0.2,3
100,0.113144,0.801288,0.893052,0.423776,1.86,1.03,0.2,0.2,3
100,0.101972,0.802122,0.8935,0.429546,1.86,1.01,0.2,0.2,3
100,0.103083,0.801077,0.892872,0.414442,1.92,1.05,0.2,0.2,3
100,0.106446,0.803493,0.894484,0.42498,1.88,1.02,0.2,0.2,3
100,0.116355,0.80182,0.893543,0.428643,1.85,1.01,0.2,0.2,3
100,0.109043,0.801434,0.893235,0.435317,1.91,1.04,0.2,0.2,3
100,0.110853,0.801521,0.893101,0.434665,1.91,1.05,0.2,0.2,3
100,0.103463,0.800441,0.892678,0.418155,1.94,1.06,0.2,0.2,3
100,0.105232,0.802488,0.893686,0.428242,2.09,1.12,0.2,0.2,3
100,0.095399,0.802602,0.894012,0.394972,1.9,1.05,0.2,0.2,3
100,0.109133,0.805376,0.895745,0.420865,1.79,0.97,0.2,0.2,3
100,0.111512,0.802627,0.89407,0.439382,1.81,0.98,0.2,0.2,3
100,0.113813,0.80094,0.892875,0.4445,1.94,1.06,0.2,0.2,3
100,0.100881,0.805094,0.895367,0.41103,1.92,1.04,0.2,0.2,3
100,0.10536,0.801332,0.893228,0.426987,1.85,0.98,0.2,0.2,3
100,0.11149,0.802192,0.893497,0.437124,1.92,1.04,0.2,0.2,3

200,0.080394,0.772375,0.875213,0.504366,2.25,1.3,0.2,0.2,3
200,0.090118,0.773359,0.876008,0.516359,2.41,1.39,0.2,0.2,3
200,0.081378,0.772393,0.875326,0.496839,2.23,1.27,0.2,0.2,3
200,0.077752,0.772933,0.875584,0.489713,2.29,1.33,0.2,0.2,3
200,0.088369,0.772475,0.875447,0.519922,2.36,1.35,0.2,0.2,3
200,0.078014,0.772205,0.875046,0.503111,2.28,1.3,0.2,0.2,3
200,0.079547,0.771316,0.874593,0.511592,2.27,1.33,0.2,0.2,3
200,0.083464,0.772398,0.875077,0.503312,2.31,1.35,0.2,0.2,3
200,0.090277,0.772036,0.875151,0.517061,2.3,1.32,0.2,0.2,3
200,0.081807,0.771578,0.875056,0.502409,2.28,1.31,0.2,0.2,3
200,0.085234,0.772637,0.875339,0.497993,2.36,1.34,0.2,0.2,3
200,0.080856,0.772611,0.875274,0.483942,2.31,1.32,0.2,0.2,3
200,0.081843,0.772886,0.875794,0.504918,2.37,1.37,0.2,0.2,3
200,0.081873,0.771162,0.874626,0.492975,2.25,1.28,0.2,0.2,3
200,0.086034,0.771139,0.874583,0.512244,2.34,1.36,0.2,0.2,3
200,0.076255,0.772932,0.875827,0.493928,2.39,1.36,0.2,0.2,3
200,0.076948,0.772196,0.875215,0.490064,2.31,1.31,0.2,0.2,3
