#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
1276,0.92,0.716394,0.892594,1300,0.795335,0.664015,12,2,-1.00,2,8,2,1,2,0.9,0.8,0.2,0.2,12666,5709,1323,0.51,0.01,0.40,0.03
541,0.62,0.784751,0.944560,545,0.855468,0.749541,12,2,-1.00,2,8,2,1,3,0.9,0.8,0.2,0.2,12666,2070,554,0.48,0.03,0.11,0.03
274,0.54,0.839864,0.970744,274,0.883506,0.790897,12,2,-1.00,2,8,2,1,4,0.9,0.8,0.2,0.2,12666,896,281,0.47,0.01,0.06,0.02
170,0.53,0.866726,0.981764,170,0.898163,0.813964,12,2,-1.00,2,8,2,1,5,0.9,0.8,0.2,0.2,12666,538,174,0.48,0.01,0.04,0.02
886,0.75,0.760156,0.928257,892,0.822975,0.701720,12,2,-1.00,2,8,4,1,2,0.9,0.8,0.2,0.2,12666,5083,902,0.49,0.01,0.25,0.03
342,0.58,0.820483,0.963013,342,0.873914,0.777102,12,2,-1.00,2,8,4,1,3,0.9,0.8,0.2,0.2,12666,1796,347,0.50,0.01,0.07,0.02
147,0.54,0.870280,0.985020,147,0.901388,0.819393,12,2,-1.00,2,8,4,1,4,0.9,0.8,0.2,0.2,12666,668,150,0.50,0.01,0.03,0.02
86,0.49,0.887444,0.992042,86,0.913324,0.838964,12,2,-1.00,2,8,4,1,5,0.9,0.8,0.2,0.2,12666,389,87,0.47,0.01,0.01,0.03
1372,0.89,0.703252,0.881542,1402,0.789513,0.656764,12,2,-1.00,2,12,2,1,2,0.9,0.8,0.2,0.2,12666,8499,1429,0.49,0.02,0.38,0.03
589,0.64,0.771901,0.936114,595,0.851584,0.744211,12,2,-1.00,2,12,2,1,3,0.9,0.8,0.2,0.2,12666,3050,607,0.49,0.01,0.14,0.03
307,0.57,0.827443,0.964236,308,0.880237,0.786278,12,2,-1.00,2,12,2,1,4,0.9,0.8,0.2,0.2,12666,1330,316,0.49,0.02,0.06,0.02
192,0.53,0.852846,0.977884,193,0.895148,0.809674,12,2,-1.00,2,12,2,1,5,0.9,0.8,0.2,0.2,12666,795,198,0.47,0.02,0.04,0.03
947,0.75,0.749003,0.921778,960,0.818006,0.695320,12,2,-1.00,2,12,4,1,2,0.9,0.8,0.2,0.2,12666,7623,970,0.49,0.02,0.24,0.03
376,0.58,0.808903,0.955826,377,0.870351,0.771791,12,2,-1.00,2,12,4,1,3,0.9,0.8,0.2,0.2,12666,2702,382,0.49,0.02,0.07,0.03
169,0.51,0.862331,0.981458,169,0.897561,0.813196,12,2,-1.00,2,12,4,1,4,0.9,0.8,0.2,0.2,12666,1010,172,0.46,0.01,0.04,0.02
102,0.52,0.879404,0.989816,102,0.909207,0.832285,12,2,-1.00,2,12,4,1,5,0.9,0.8,0.2,0.2,12666,595,103,0.49,0.01,0.02,0.02
1441,0.92,0.695603,0.875705,1474,0.784954,0.651197,12,2,-1.00,2,16,2,1,2,0.9,0.8,0.2,0.2,12666,11212,1505,0.50,0.03,0.39,0.03
629,0.67,0.767879,0.931186,635,0.848702,0.739829,12,2,-1.00,2,16,2,1,3,0.9,0.8,0.2,0.2,12666,3980,647,0.50,0.02,0.15,0.03
328,0.56,0.825408,0.963152,330,0.878306,0.783223,12,2,-1.00,2,16,2,1,4,0.9,0.8,0.2,0.2,12666,1744,338,0.48,0.03,0.05,0.03
211,0.52,0.849340,0.975582,212,0.893136,0.806427,12,2,-1.00,2,16,2,1,5,0.9,0.8,0.2,0.2,12666,1042,217,0.46,0.03,0.03,0.03
1006,0.74,0.743175,0.918018,1022,0.813598,0.689528,12,2,-1.00,2,16,4,1,2,0.9,0.8,0.2,0.2,12666,10136,1032,0.48,0.01,0.25,0.04
403,0.58,0.803053,0.954292,404,0.867557,0.767541,12,2,-1.00,2,16,4,1,3,0.9,0.8,0.2,0.2,12666,3562,410,0.48,0.02,0.08,0.03
184,0.53,0.856313,0.980075,184,0.894500,0.808490,12,2,-1.00,2,16,4,1,4,0.9,0.8,0.2,0.2,12666,1333,187,0.47,0.02,0.04,0.02
110,0.52,0.875009,0.988664,110,0.906739,0.828302,12,2,-1.00,2,16,4,1,5,0.9,0.8,0.2,0.2,12666,775,111,0.47,0.03,0.02,0.02
838,0.72,0.756331,0.919928,852,0.830360,0.712625,12,2,-1.00,3,8,2,1,2,0.9,0.8,0.2,0.2,7260,3205,868,0.50,0.01,0.21,0.03
557,0.62,0.782762,0.942816,561,0.853784,0.746966,12,2,-1.00,3,8,2,1,3,0.9,0.8,0.2,0.2,7260,2378,570,0.48,0.00,0.14,0.02
279,0.53,0.838281,0.969632,279,0.882684,0.789537,12,2,-1.00,3,8,2,1,4,0.9,0.8,0.2,0.2,7260,958,286,0.47,0.01,0.05,0.02
170,0.53,0.864807,0.980397,170,0.898110,0.813859,12,2,-1.00,3,8,2,1,5,0.9,0.8,0.2,0.2,7260,560,174,0.49,0.01,0.03,0.02
456,0.58,0.804047,0.951969,456,0.862446,0.759525,12,2,-1.00,3,8,4,1,2,0.9,0.8,0.2,0.2,7260,2173,462,0.46,0.02,0.10,0.03
345,0.57,0.819425,0.962164,345,0.873335,0.776244,12,2,-1.00,3,8,4,1,3,0.9,0.8,0.2,0.2,7260,1908,350,0.49,0.01,0.07,0.03
148,0.53,0.870103,0.985085,148,0.901203,0.819096,12,2,-1.00,3,8,4,1,4,0.9,0.8,0.2,0.2,7260,676,151,0.49,0.00,0.04,0.02
85,0.50,0.888008,0.991871,85,0.913415,0.839078,12,2,-1.00,3,8,4,1,5,0.9,0.8,0.2,0.2,7260,390,86,0.48,0.00,0.02,0.03
935,0.73,0.738961,0.905647,950,0.824134,0.704216,12,2,-1.00,3,12,2,1,2,0.9,0.8,0.2,0.2,7260,4746,970,0.47,0.01,0.25,0.03
606,0.64,0.772048,0.936153,612,0.850061,0.741814,12,2,-1.00,3,12,2,1,3,0.9,0.8,0.2,0.2,7260,3503,624,0.48,0.01,0.15,0.02
312,0.55,0.827060,0.964002,313,0.879454,0.784953,12,2,-1.00,3,12,2,1,4,0.9,0.8,0.2,0.2,7260,1413,321,0.48,0.02,0.05,0.03
191,0.54,0.853396,0.978203,192,0.895274,0.809736,12,2,-1.00,3,12,2,1,5,0.9,0.8,0.2,0.2,7260,823,197,0.49,0.02,0.03,0.02
510,0.64,0.792574,0.945721,514,0.857035,0.751826,12,2,-1.00,3,12,4,1,2,0.9,0.8,0.2,0.2,7260,3265,520,0.50,0.00,0.14,0.03
380,0.58,0.808265,0.955652,381,0.869891,0.771152,12,2,-1.00,3,12,4,1,3,0.9,0.8,0.2,0.2,7260,2883,386,0.49,0.01,0.08,0.03
169,0.53,0.862845,0.982463,169,0.897525,0.813086,12,2,-1.00,3,12,4,1,4,0.9,0.8,0.2,0.2,7260,1026,172,0.49,0.00,0.04,0.03
100,0.52,0.880169,0.990042,100,0.909695,0.833120,12,2,-1.00,3,12,4,1,5,0.9,0.8,0.2,0.2,7260,596,101,0.49,0.01,0.02,0.03
