#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
k=20
723,0.66,0.7583,0.9201,727,0.8413,0.7287,16,2,-1.00,4,16,2,1,3,0.9,0.8,0.2,0.2,6205,4053,743,0.47,0.02,0.17,0.02
725,0.61,0.7475,0.9145,729,0.8395,0.7267,28,2,-1.00,4,16,4,1,3,0.9,0.8,0.2,0.2,10960,5209,749,0.45,0.02,0.14,0.03
735,0.67,0.7507,0.9202,738,0.8386,0.7260,20,2,-1.00,2,12,4,1,3,0.9,0.8,0.2,0.2,21361,4956,751,0.49,0.03,0.15,0.03
748,0.66,0.7494,0.9187,751,0.8375,0.7242,20,2,-1.00,3,12,4,1,3,0.9,0.8,0.2,0.2,12292,5391,764,0.48,0.02,0.16,0.03
756,0.72,0.7554,0.9195,762,0.8366,0.7219,16,2,-1.00,3,12,4,1,2,0.9,0.8,0.2,0.2,9686,4708,774,0.50,0.01,0.21,0.02
764,0.70,0.7543,0.9143,772,0.8399,0.7264,16,2,-1.00,5,16,2,1,2,0.9,0.8,0.2,0.2,4413,3063,786,0.49,0.01,0.20,0.03
769,0.57,0.7447,0.9101,775,0.8367,0.7227,28,2,-1.00,4,20,4,1,3,0.9,0.8,0.2,0.2,10960,6480,800,0.48,0.01,0.08,0.03
769,0.66,0.7521,0.9213,773,0.8367,0.7221,16,2,-1.00,2,8,2,1,3,0.9,0.8,0.2,0.2,16958,2841,790,0.48,0.03,0.15,0.03
773,0.55,0.7396,0.9066,781,0.8356,0.7215,28,2,-1.00,4,12,4,1,2,0.9,0.8,0.2,0.2,10960,4128,801,0.43,0.01,0.11,0.03
773,0.81,0.7551,0.9181,779,0.8394,0.7261,28,2,-1.00,2,8,2,1,4,0.9,0.8,0.2,0.2,29899,2241,806,0.64,0.04,0.13,0.03
777,0.66,0.7597,0.9217,780,0.8401,0.7267,24,2,-1.00,2,12,2,1,4,0.9,0.8,0.2,0.2,25863,2894,808,0.49,0.05,0.12,0.03
778,0.81,0.7558,0.9169,784,0.8393,0.7258,28,2,-1.00,3,8,2,1,4,0.9,0.8,0.2,0.2,17002,2391,812,0.63,0.03,0.15,0.03
780,0.66,0.7605,0.9213,783,0.8399,0.7262,24,2,-1.00,3,12,2,1,4,0.9,0.8,0.2,0.2,14801,3041,811,0.50,0.02,0.14,0.03
781,0.65,0.7617,0.9224,786,0.8400,0.7264,28,2,-1.00,5,12,2,1,4,0.9,0.8,0.2,0.2,7828,3230,819,0.50,0.02,0.13,0.03
784,0.59,0.7531,0.9174,788,0.8373,0.7230,16,2,-1.00,4,20,2,1,3,0.9,0.8,0.2,0.2,6205,5045,805,0.48,0.01,0.10,0.02
785,0.69,0.7409,0.9116,791,0.8342,0.7198,20,2,-1.00,2,16,4,1,3,0.9,0.8,0.2,0.2,21361,6537,805,0.50,0.03,0.16,0.03
787,0.67,0.7426,0.9130,793,0.8343,0.7198,20,2,-1.00,3,16,4,1,3,0.9,0.8,0.2,0.2,12292,7115,807,0.48,0.01,0.18,0.03
795,0.57,0.7409,0.9104,805,0.8340,0.7192,24,2,-1.00,4,20,4,1,2,0.9,0.8,0.2,0.2,9568,5584,825,0.47,0.01,0.09,0.03
800,0.68,0.7428,0.9143,806,0.8332,0.7178,24,2,-1.00,2,8,4,1,3,0.9,0.8,0.2,0.2,25863,3934,821,0.49,0.02,0.17,0.03
803,0.68,0.7506,0.9170,807,0.8339,0.7179,16,2,-1.00,3,8,2,1,3,0.9,0.8,0.2,0.2,9686,3272,824,0.49,0.01,0.18,0.03
804,0.74,0.7502,0.9137,811,0.8376,0.7232,20,2,-1.00,5,8,2,1,2,0.9,0.8,0.2,0.2,5689,2137,837,0.49,0.01,0.24,0.03
809,0.82,0.7528,0.9164,816,0.8358,0.7209,28,2,-1.00,4,8,2,1,4,0.9,0.8,0.2,0.2,10960,2746,845,0.64,0.02,0.16,0.02
812,0.68,0.7467,0.9118,815,0.8352,0.7202,20,2,-1.00,4,8,2,1,3,0.9,0.8,0.2,0.2,7953,2714,844,0.49,0.01,0.18,0.03
814,0.68,0.7419,0.9139,820,0.8320,0.7159,24,2,-1.00,3,8,4,1,3,0.9,0.8,0.2,0.2,14801,4292,835,0.49,0.01,0.18,0.03
814,0.69,0.7550,0.9195,820,0.8343,0.7182,16,2,-1.00,4,8,2,1,2,0.9,0.8,0.2,0.2,6205,2508,837,0.49,0.00,0.20,0.03
817,0.71,0.7502,0.9118,823,0.8378,0.7236,20,2,-1.00,5,16,2,1,3,0.9,0.8,0.2,0.2,5689,3613,853,0.49,0.01,0.21,0.03
821,0.70,0.7458,0.9122,829,0.8314,0.7147,16,2,-1.00,3,16,4,1,2,0.9,0.8,0.2,0.2,9686,6238,842,0.48,0.01,0.21,0.03
823,0.60,0.7390,0.9079,829,0.8320,0.7164,20,2,-1.00,3,20,4,1,3,0.9,0.8,0.2,0.2,12292,8871,846,0.47,0.02,0.11,0.03
826,0.69,0.7362,0.9061,832,0.8317,0.7160,20,2,-1.00,2,20,4,1,3,0.9,0.8,0.2,0.2,21361,8152,848,0.49,0.03,0.17,0.03
831,0.68,0.7406,0.9104,839,0.8317,0.7154,16,2,-1.00,2,12,2,1,3,0.9,0.8,0.2,0.2,16958,4178,859,0.48,0.02,0.18,0.03
838,0.72,0.7563,0.9199,852,0.8304,0.7126,12,2,-1.00,3,8,2,1,2,0.9,0.8,0.2,0.2,7260,3205,868,0.50,0.01,0.21,0.03
840,0.63,0.7464,0.9071,851,0.8349,0.7193,16,2,-1.00,5,20,2,1,2,0.9,0.8,0.2,0.2,4413,3842,865,0.48,0.01,0.14,0.03
850,0.70,0.7485,0.9092,859,0.8348,0.7198,24,2,-1.00,2,16,2,1,4,0.9,0.8,0.2,0.2,25863,3794,889,0.50,0.05,0.15,0.03
851,0.70,0.7486,0.9089,859,0.8347,0.7195,24,2,-1.00,3,16,2,1,4,0.9,0.8,0.2,0.2,14801,4002,890,0.52,0.03,0.15,0.03

k=40
886,0.68,0.7395,0.9075,895,0.8260,0.7075,20,2,-1.00,3,8,4,1,2,0.9,0.8,0.2,0.2,12292,4125,912,0.45,0.01,0.22,0.03
886,0.72,0.7352,0.9037,897,0.8284,0.7107,16,2,-1.00,2,16,2,1,3,0.9,0.8,0.2,0.2,16958,5491,918,0.48,0.03,0.21,0.03
886,0.75,0.7602,0.9283,892,0.8230,0.7017,12,2,-1.00,2,8,4,1,2,0.9,0.8,0.2,0.2,12666,5083,902,0.49,0.01,0.25,0.03
894,0.70,0.7289,0.9036,902,0.8265,0.7086,24,2,-1.00,2,12,4,1,3,0.9,0.8,0.2,0.2,25863,5906,919,0.49,0.03,0.18,0.03
907,0.68,0.7275,0.9016,914,0.8256,0.7072,24,2,-1.00,3,12,4,1,3,0.9,0.8,0.2,0.2,14801,6466,931,0.47,0.01,0.20,0.03
910,0.72,0.7336,0.9019,920,0.8265,0.7080,16,2,-1.00,3,16,2,1,3,0.9,0.8,0.2,0.2,9686,6360,941,0.49,0.02,0.21,0.03
916,0.61,0.7264,0.8942,933,0.8249,0.7066,28,2,-1.00,4,20,4,1,2,0.9,0.8,0.2,0.2,10960,6828,960,0.47,0.02,0.12,0.03
924,0.75,0.7400,0.9066,935,0.8261,0.7069,16,2,-1.00,4,12,2,1,2,0.9,0.8,0.2,0.2,6205,3712,956,0.50,0.01,0.24,0.03
924,0.89,0.7265,0.8993,937,0.8237,0.7044,28,2,-1.00,2,8,4,1,3,0.9,0.8,0.2,0.2,29899,4652,959,0.64,0.03,0.22,0.03
927,0.74,0.7343,0.8999,935,0.8273,0.7091,20,2,-1.00,4,12,2,1,3,0.9,0.8,0.2,0.2,7953,4015,968,0.49,0.01,0.24,0.02
935,0.73,0.7390,0.9056,950,0.8241,0.7042,12,2,-1.00,3,12,2,1,2,0.9,0.8,0.2,0.2,7260,4746,970,0.47,0.01,0.25,0.03
942,0.89,0.7257,0.8989,953,0.8223,0.7024,28,2,-1.00,3,8,4,1,3,0.9,0.8,0.2,0.2,17002,5117,975,0.63,0.01,0.25,0.03
944,0.62,0.7282,0.8974,954,0.8248,0.7058,16,2,-1.00,2,20,2,1,3,0.9,0.8,0.2,0.2,16958,6848,976,0.46,0.04,0.12,0.03
947,0.75,0.7490,0.9218,960,0.8180,0.6953,12,2,-1.00,2,12,4,1,2,0.9,0.8,0.2,0.2,12666,7623,970,0.49,0.02,0.24,0.03
997,0.75,0.7256,0.8946,1011,0.8185,0.6972,20,2,-1.00,3,12,4,1,2,0.9,0.8,0.2,0.2,12292,6182,1032,0.49,0.01,0.25,0.03
1003,0.78,0.7326,0.8996,1019,0.8194,0.6976,12,2,-1.00,3,16,2,1,2,0.9,0.8,0.2,0.2,7260,6286,1041,0.48,0.03,0.27,0.03
1005,0.61,0.7158,0.8882,1017,0.8189,0.6980,24,2,-1.00,3,20,4,1,3,0.9,0.8,0.2,0.2,14801,10646,1039,0.46,0.02,0.13,0.03
1006,0.66,0.7136,0.8872,1018,0.8188,0.6981,24,2,-1.00,2,20,4,1,3,0.9,0.8,0.2,0.2,25863,9742,1040,0.49,0.05,0.12,0.03
1006,0.74,0.7432,0.9180,1022,0.8136,0.6895,12,2,-1.00,2,16,4,1,2,0.9,0.8,0.2,0.2,12666,10136,1032,0.48,0.01,0.25,0.04
1029,0.91,0.7130,0.8883,1043,0.8165,0.6951,28,2,-1.00,2,12,4,1,3,0.9,0.8,0.2,0.2,29899,6987,1069,0.62,0.05,0.24,0.03
1031,0.64,0.7404,0.9158,1047,0.8117,0.6868,12,2,-1.00,2,20,4,1,2,0.9,0.8,0.2,0.2,12666,12664,1061,0.47,0.01,0.16,0.03
1043,0.70,0.7125,0.8871,1056,0.8156,0.6937,28,2,-1.00,3,12,4,1,3,0.9,0.8,0.2,0.2,17002,7699,1082,0.54,0.01,0.15,0.03
1051,0.78,0.7207,0.8931,1070,0.8137,0.6905,24,2,-1.00,3,8,4,1,2,0.9,0.8,0.2,0.2,14801,4944,1094,0.51,0.01,0.26,0.03
1063,0.75,0.7260,0.8939,1082,0.8155,0.6925,12,2,-1.00,3,20,2,1,2,0.9,0.8,0.2,0.2,7260,7833,1107,0.48,0.02,0.25,0.03
1070,0.77,0.7184,0.8881,1083,0.8151,0.6922,20,2,-1.00,3,8,2,1,3,0.9,0.8,0.2,0.2,12292,4151,1115,0.50,0.01,0.26,0.03
1075,0.77,0.7166,0.8859,1095,0.8127,0.6893,20,2,-1.00,3,16,4,1,2,0.9,0.8,0.2,0.2,12292,8178,1121,0.49,0.01,0.27,0.03
1087,0.79,0.7212,0.8874,1110,0.8150,0.6919,20,2,-1.00,4,8,2,1,2,0.9,0.8,0.2,0.2,7953,3336,1151,0.49,0.01,0.29,0.03
1097,0.53,0.7232,0.8899,1116,0.8146,0.6909,16,2,-1.00,4,20,2,1,2,0.9,0.8,0.2,0.2,6205,6143,1141,0.37,0.02,0.14,0.04
