#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
k=20
206,0.54,0.8472,0.9793,208,0.8918,0.8049,20,2,-1.00,5,8,4,1,4,0.9,0.8,0.2,0.2,5689,875,212,0.50,0.01,0.03,0.03
208,0.52,0.8434,0.9776,208,0.8911,0.8033,16,2,-1.00,5,16,4,1,4,0.9,0.8,0.2,0.2,4413,1313,210,0.48,0.00,0.04,0.02
209,0.54,0.8448,0.9785,209,0.8920,0.8048,16,2,-1.00,5,12,4,1,3,0.9,0.8,0.2,0.2,4413,1043,211,0.48,0.02,0.04,0.02
209,0.55,0.8464,0.9744,209,0.8917,0.8042,16,2,-1.00,3,8,4,1,4,0.9,0.8,0.2,0.2,9686,942,212,0.50,0.01,0.04,0.03
210,0.52,0.8434,0.9775,211,0.8922,0.8053,20,2,-1.00,4,16,4,1,5,0.9,0.8,0.2,0.2,7953,1423,215,0.48,0.00,0.04,0.02
211,0.53,0.8442,0.9779,212,0.8919,0.8049,20,2,-1.00,5,16,4,1,5,0.9,0.8,0.2,0.2,5689,1488,216,0.49,0.01,0.03,0.03
211,0.55,0.8460,0.9743,211,0.8915,0.8040,16,2,-1.00,2,8,4,1,4,0.9,0.8,0.2,0.2,16958,935,214,0.50,0.01,0.04,0.02
213,0.53,0.8434,0.9766,215,0.8919,0.8047,20,2,-1.00,3,16,4,1,5,0.9,0.8,0.2,0.2,12292,1356,219,0.49,0.01,0.03,0.03
214,0.52,0.8448,0.9744,214,0.8906,0.8027,16,2,-1.00,4,8,4,1,4,0.9,0.8,0.2,0.2,6205,1032,218,0.47,0.01,0.04,0.03
217,0.53,0.8483,0.9754,218,0.8919,0.8044,12,2,-1.00,5,16,2,1,5,0.9,0.8,0.2,0.2,3328,1265,223,0.49,0.01,0.03,0.03
221,0.52,0.8497,0.9776,221,0.8885,0.7992,12,2,-1.00,4,8,4,1,2,0.9,0.8,0.2,0.2,4638,882,225,0.48,0.00,0.04,0.03
221,0.54,0.8415,0.9767,221,0.8905,0.8023,16,2,-1.00,5,12,4,1,2,0.9,0.8,0.2,0.2,4413,1060,223,0.48,0.00,0.06,0.02
221,0.55,0.8416,0.9754,223,0.8908,0.8030,20,2,-1.00,2,16,4,1,5,0.9,0.8,0.2,0.2,21361,1359,227,0.49,0.02,0.04,0.03
222,0.55,0.8460,0.9763,222,0.8888,0.7996,12,2,-1.00,4,12,4,1,3,0.9,0.8,0.2,0.2,4638,1286,226,0.49,0.01,0.05,0.02
239,0.54,0.8351,0.9757,241,0.8873,0.7982,20,2,-1.00,5,8,4,1,3,0.9,0.8,0.2,0.2,5689,937,245,0.49,0.00,0.05,0.03
239,0.55,0.8386,0.9696,239,0.8875,0.7976,16,2,-1.00,3,12,4,1,4,0.9,0.8,0.2,0.2,9686,1422,242,0.49,0.01,0.05,0.02

k=40
322,0.55,0.8200,0.9656,323,0.8763,0.7806,16,2,-1.00,4,8,4,1,2,0.9,0.8,0.2,0.2,6205,1294,327,0.49,0.00,0.06,0.03
324,0.55,0.8169,0.9636,324,0.8761,0.7805,16,2,-1.00,4,12,4,1,3,0.9,0.8,0.2,0.2,6205,1881,328,0.49,0.01,0.05,0.04
328,0.57,0.8169,0.9610,330,0.8762,0.7810,20,2,-1.00,3,12,4,1,4,0.9,0.8,0.2,0.2,12292,1925,337,0.50,0.01,0.06,0.02
331,0.55,0.8254,0.9631,333,0.8779,0.7825,12,2,-1.00,3,16,2,1,4,0.9,0.8,0.2,0.2,7260,1856,341,0.47,0.01,0.07,0.02
332,0.55,0.8120,0.9602,332,0.8768,0.7816,20,2,-1.00,5,16,4,1,3,0.9,0.8,0.2,0.2,5689,1873,338,0.48,0.01,0.06,0.03
333,0.56,0.8167,0.9602,334,0.8756,0.7801,20,2,-1.00,4,12,4,1,4,0.9,0.8,0.2,0.2,7953,2106,342,0.50,0.01,0.05,0.03
333,0.57,0.8163,0.9608,335,0.8757,0.7802,20,2,-1.00,2,12,4,1,4,0.9,0.8,0.2,0.2,21361,1898,342,0.49,0.02,0.06,0.03
341,0.55,0.8225,0.9609,342,0.8769,0.7811,12,2,-1.00,4,16,2,1,4,0.9,0.8,0.2,0.2,4638,2100,352,0.49,0.00,0.06,0.03
342,0.58,0.8205,0.9630,342,0.8739,0.7771,12,2,-1.00,2,8,4,1,3,0.9,0.8,0.2,0.2,12666,1796,347,0.50,0.01,0.07,0.02
344,0.55,0.8205,0.9592,346,0.8781,0.7827,20,2,-1.00,4,8,2,1,5,0.9,0.8,0.2,0.2,7953,1058,360,0.48,0.01,0.06,0.03
345,0.57,0.8194,0.9622,345,0.8733,0.7762,12,2,-1.00,3,8,4,1,3,0.9,0.8,0.2,0.2,7260,1908,350,0.49,0.01,0.07,0.03
347,0.57,0.8203,0.9607,347,0.8752,0.7781,16,2,-1.00,5,8,2,1,4,0.9,0.8,0.2,0.2,4413,1112,354,0.49,0.01,0.07,0.02
349,0.55,0.8188,0.9581,351,0.8770,0.7809,20,2,-1.00,5,8,2,1,5,0.9,0.8,0.2,0.2,5689,1128,367,0.48,0.02,0.05,0.03
356,0.55,0.8049,0.9560,356,0.8743,0.7779,20,2,-1.00,5,16,4,1,2,0.9,0.8,0.2,0.2,5689,1911,362,0.47,0.01,0.07,0.03

k=60
430,0.59,0.7974,0.9517,431,0.8649,0.7637,16,2,-1.00,4,16,4,1,2,0.9,0.8,0.2,0.2,6205,2601,435,0.48,0.01,0.10,0.03
437,0.58,0.7988,0.9529,440,0.8648,0.7637,20,2,-1.00,4,8,4,1,2,0.9,0.8,0.2,0.2,7953,1771,448,0.49,0.01,0.08,0.02
443,0.60,0.7948,0.9514,444,0.8645,0.7634,20,2,-1.00,4,12,4,1,3,0.9,0.8,0.2,0.2,7953,2544,453,0.49,0.02,0.09,0.02
444,0.60,0.8024,0.9517,446,0.8658,0.7641,16,2,-1.00,2,12,2,1,4,0.9,0.8,0.2,0.2,16958,1789,458,0.50,0.03,0.07,0.03
449,0.57,0.8020,0.9514,451,0.8653,0.7632,16,2,-1.00,3,12,2,1,4,0.9,0.8,0.2,0.2,9686,1886,463,0.47,0.03,0.07,0.02
450,0.57,0.7997,0.9483,451,0.8680,0.7671,20,2,-1.00,5,16,2,1,5,0.9,0.8,0.2,0.2,5689,2184,469,0.49,0.02,0.06,0.03
456,0.58,0.8040,0.9520,456,0.8624,0.7595,12,2,-1.00,3,8,4,1,2,0.9,0.8,0.2,0.2,7260,2173,462,0.46,0.02,0.10,0.03
460,0.57,0.8007,0.9506,462,0.8641,0.7614,16,2,-1.00,4,12,2,1,4,0.9,0.8,0.2,0.2,6205,2161,475,0.49,0.01,0.07,0.04
460,0.58,0.7953,0.9492,463,0.8641,0.7618,16,2,-1.00,5,8,2,1,3,0.9,0.8,0.2,0.2,4413,1349,470,0.48,0.01,0.09,0.03
460,0.62,0.7989,0.9491,462,0.8639,0.7613,12,2,-1.00,5,12,2,1,2,0.9,0.8,0.2,0.2,3328,1640,472,0.50,0.01,0.11,0.04
466,0.60,0.7992,0.9527,469,0.8633,0.7608,12,2,-1.00,4,12,2,1,3,0.9,0.8,0.2,0.2,4638,2150,480,0.50,0.01,0.09,0.03
479,0.59,0.7977,0.9477,481,0.8629,0.7596,16,2,-1.00,3,16,2,1,4,0.9,0.8,0.2,0.2,9686,2481,493,0.50,0.01,0.08,0.03
479,0.60,0.7970,0.9472,481,0.8631,0.7601,16,2,-1.00,2,16,2,1,4,0.9,0.8,0.2,0.2,16958,2350,493,0.49,0.03,0.08,0.02

k=80
541,0.62,0.7848,0.9446,545,0.8555,0.7495,12,2,-1.00,2,8,2,1,3,0.9,0.8,0.2,0.2,12666,2070,554,0.48,0.03,0.11,0.03
548,0.62,0.7897,0.9415,550,0.8571,0.7509,20,2,-1.00,2,8,2,1,4,0.9,0.8,0.2,0.2,21361,1583,570,0.50,0.03,0.09,0.03
552,0.58,0.7889,0.9410,553,0.8568,0.7506,20,2,-1.00,3,8,2,1,4,0.9,0.8,0.2,0.2,12292,1683,573,0.47,0.01,0.10,0.03
552,0.62,0.7753,0.9361,553,0.8532,0.7468,16,2,-1.00,2,12,4,1,3,0.9,0.8,0.2,0.2,16958,3848,560,0.48,0.02,0.12,0.02
553,0.64,0.7939,0.9458,556,0.8548,0.7476,12,2,-1.00,4,8,2,1,2,0.9,0.8,0.2,0.2,4638,1739,567,0.50,0.00,0.14,0.02
556,0.62,0.7752,0.9361,557,0.8528,0.7461,16,2,-1.00,3,12,4,1,3,0.9,0.8,0.2,0.2,9686,4113,564,0.49,0.01,0.12,0.03
557,0.62,0.7828,0.9428,561,0.8538,0.7470,12,2,-1.00,3,8,2,1,3,0.9,0.8,0.2,0.2,7260,2378,570,0.48,0.00,0.14,0.02
558,0.62,0.7848,0.9416,562,0.8524,0.7448,12,2,-1.00,3,16,4,1,2,0.9,0.8,0.2,0.2,7260,4324,569,0.47,0.02,0.13,0.02
571,0.65,0.7830,0.9383,575,0.8546,0.7473,16,2,-1.00,5,8,2,1,2,0.9,0.8,0.2,0.2,4413,1550,585,0.48,0.01,0.16,0.03
574,0.62,0.7739,0.9333,578,0.8542,0.7472,16,2,-1.00,5,16,2,1,3,0.9,0.8,0.2,0.2,4413,2631,589,0.47,0.02,0.13,0.03
575,0.59,0.7833,0.9382,576,0.8543,0.7473,20,2,-1.00,4,8,2,1,4,0.9,0.8,0.2,0.2,7953,1939,597,0.48,0.01,0.10,0.02
578,0.62,0.7734,0.9376,583,0.8517,0.7446,20,2,-1.00,4,16,4,1,2,0.9,0.8,0.2,0.2,7953,3525,593,0.50,0.01,0.11,0.02
589,0.64,0.7719,0.9361,595,0.8516,0.7442,12,2,-1.00,2,12,2,1,3,0.9,0.8,0.2,0.2,12666,3050,607,0.49,0.01,0.14,0.03
590,0.63,0.7690,0.9325,593,0.8498,0.7419,16,2,-1.00,3,16,4,1,3,0.9,0.8,0.2,0.2,9686,5433,600,0.47,0.02,0.14,0.02
591,0.64,0.7663,0.9305,593,0.8496,0.7418,16,2,-1.00,2,16,4,1,3,0.9,0.8,0.2,0.2,16958,5082,600,0.49,0.02,0.13,0.02

k=100
638,0.66,0.7793,0.9384,644,0.8481,0.7379,12,2,-1.00,4,12,2,1,2,0.9,0.8,0.2,0.2,4638,2583,658,0.49,0.01,0.16,0.03
641,0.64,0.7666,0.9301,647,0.8475,0.7381,12,2,-1.00,3,16,2,1,3,0.9,0.8,0.2,0.2,7260,4605,659,0.47,0.02,0.15,0.03
