k,ARI,MSE,MAE,purity,total time,embedding time,c time
20,0.028077,0.9319,0.9648,0.161481,7.669888945,7.470,0.199888945
40,0.047918,0.9211,0.9586,0.236802,7.729124994,7.470,0.259124994
60,0.066615,0.9144,0.9549,0.287585,7.791073055,7.470,0.321073055
80,0.055592,0.9085,0.9514,0.286983,7.833523006,7.470,0.363523006
100,0.071593,0.9094,0.9519,0.328282,7.877742023,7.470,0.407742023
120,0.064275,0.9007,0.9464,0.321608,7.902743073,7.470,0.432743073
140,0.060085,0.8963,0.9442,0.340676,7.938005896,7.470,0.468005896
160,0.061057,0.8930,0.9416,0.350462,7.966489048,7.470,0.496489048
180,0.067248,0.8898,0.9397,0.365967,7.978984089,7.470,0.508984089
200,0.060591,0.8848,0.9362,0.364613,8.013025017,7.470,0.543025017
