k,ARI,MSE,MAE,Purity,silhouette,AMI,homo,compl,V-measure,C_time,embedding time,total time
20,0.04272,0.9242,0.9607,0.193597,0.04115,0.164125,0.166691,0.197022,0.180592,0.192336,2.13,2.322336082
40,0.059334,0.9219,0.9595,0.25266,0.012921,0.210523,0.235924,0.215089,0.225025,0.250367,2.13,2.380367165
60,0.056841,0.9166,0.9565,0.29722,-0.006554,0.216279,0.274631,0.222433,0.245791,0.308111,2.13,2.438110952
80,0.052747,0.9115,0.9538,0.30284,0.004904,0.20556,0.286628,0.213264,0.244563,0.354962,2.13,2.484962111
100,0.050174,0.9099,0.9529,0.30279,-0.0311,0.197232,0.29544,0.206462,0.243064,0.398552,2.13,2.528551941
120,0.044447,0.9077,0.9516,0.317242,-0.011591,0.197239,0.306026,0.208087,0.247728,0.427159,2.13,2.557159071
140,0.043175,0.9049,0.95,0.329837,-0.019386,0.195137,0.317517,0.20745,0.250945,0.4607,2.13,2.590700035
160,0.044276,0.9035,0.9492,0.34454,-0.035793,0.201858,0.335414,0.215695,0.262551,0.489833,2.13,2.619833117
180,0.038342,0.9006,0.9476,0.342583,-0.035345,0.192412,0.334133,0.207758,0.25621,0.513959,2.13,2.643959169
200,0.039897,0.8982,0.946,0.350512,-0.042911,0.19406,0.345835,0.210853,0.261979,0.5418,2.13,2.671800022
